Unnamed: 0,       國立中央大學         學院              系     年暑假第    期開授課程配當表,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
開課單位：,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,
課程,課號,,,班,科              目,必(選)修,學分數,全/半,  每週授課時數,,任課教師,時   間,教   室,是否接受社會人士修課申請,備   註
流水號,,,,次,          新開課程請填英文名稱,,數,年,講演,實驗,,(星期~節次),,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
附註：每週授課時數：每一學分每週應上課三小時,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
院長:                                                             系所主任：                                                     填表人：                                                        填表日期：,,,,,,,,,,,,,,,
