表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十八        學年度,,,,,,,,,,,,,,,,
學年報：根據03月10日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
碩士班小計,,3002,2018,984,912,439,887,384,160,100,59,61,,,,,,,,
文學院,,285,89,196,21,49,22,51,25,48,21,48,,,,,,,,
    中國文學系碩士班,  ,55,13,42,3,8,5,11,4,16,1,7,,,,,,,,
    英美語文學系碩士班,  ,48,15,33,3,6,4,5,3,10,5,12,,,,,,,,
    法國語文學系碩士班,  ,22,2,20,,4,,6,2,5,,5,,,,,,,,
    哲學研究所碩士班,  ,40,17,23,4,4,5,6,6,5,2,8,,,,,,,,
    歷史研究所碩士班,  ,51,36,15,8,5,7,2,9,5,12,3,,,,,,,,
    藝術學研究所碩士班,  ,40,2,38,,11,1,10,,4,1,13,,,,,,,,
    學習與教學研究所碩士班,  ,26,3,23,2,9,,11,1,3,,,,,,,,,,
    戲曲研究所碩士班,  ,3,1,2,1,2,,,,,,,,,,,,,,
理學院,,560,378,182,169,93,166,73,35,16,8,,,,,,,,,
    數學系碩士班,  ,58,42,16,12,9,27,7,3,,,,,,,,,,,
    物理學系碩士班,  ,79,66,13,27,6,24,4,10,3,5,,,,,,,,,
    化學學系碩士班,  ,109,65,44,30,29,33,15,1,,1,,,,,,,,,
    生命科學系碩士班,  ,50,17,33,9,16,6,14,2,3,,,,,,,,,,
    統計研究所碩士班,  ,40,19,21,9,10,10,11,,,,,,,,,,,,
    光電科學與工程學系碩士班,  ,131,117,14,59,6,46,7,10,1,2,,,,,,,,,
    認知與神經科學研究所碩士班,  ,15,5,10,1,3,3,4,1,3,,,,,,,,,,
    應用地質研究所碩士班(不要用),  ,0,0,0,,,,,,,,,,,,,,,,
    天文研究所碩士班,  ,27,13,14,5,6,3,4,5,4,,,,,,,,,,
    生物物理研究所碩士班,  ,13,9,4,5,,2,2,2,2,,,,,,,,,,
    生物資訊與系統生物研究所碩士班,  ,0,0,0,,,,,,,,,,,,,,,,
    照明與顯示科技研究所,  ,14,12,2,7,2,5,,,,,,,,,,,,,
    系統生物與生物資訊研究所碩士班,  ,24,13,11,5,6,7,5,1,,,,,,,,,,,
    地球物理研究所碩士班(不要用),  ,0,0,0,,,,,,,,,,,,,,,,
