表4-3  年齡別別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
103,8,國立中央大學,,,TOTAL,11864,8082,3782,0,0,0,0,5,5,820,462,895,523,949,491,930,462,879,390,849,325,492,200,231,103,186,68,139,54,115,59,140,44,530,224,397,123,251,106,136,95,122,44,16,4
103,8,國立中央大學,D,學士班,1,1510,966,544,0,0,0,0,5,5,813,456,117,71,19,8,6,1,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,2,1459,924,535,0,0,0,0,0,0,7,6,766,444,126,78,8,5,5,1,2,0,2,0,3,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,3,1497,997,500,0,0,0,0,0,0,0,0,12,8,789,399,157,79,23,10,10,1,3,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,4,1432,974,458,0,0,0,0,0,0,0,0,0,0,13,6,754,370,154,70,35,8,10,4,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,5,179,134,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,35,31,7,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,6,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
