表4-1  科系別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,,,TOTAL,全校班級,11864,8082,3782,2418,1186,2322,1119,1473,722,1278,588,325,102,130,30,130,34,6,1,234,67
103,8,國立中央大學,D,1,SUBT1,學士班           共計,6098,4013,2085,966,544,924,535,997,500,974,458,134,45,17,3,1,0,0,0,152,48
103,8,國立中央大學,D,學士班,220201,    中國文學系,241,45,196,8,50,9,41,14,46,11,42,0,0,0,0,0,0,0,0,3,17
103,8,國立中央大學,D,學士班,220310,    英美語文學系,239,58,181,12,45,11,46,18,40,15,46,0,0,0,0,0,0,0,0,2,4
103,8,國立中央大學,D,學士班,220314,    法國語文學系,209,41,168,13,38,12,39,2,48,12,39,0,0,0,0,0,0,0,0,2,4
103,8,國立中央大學,D,學士班,460101,    數學系,304,249,55,70,13,60,10,61,15,45,16,0,0,0,0,0,0,0,0,13,1
103,8,國立中央大學,D,學士班,440301,    物理學系,222,200,22,50,5,45,8,52,4,45,4,0,0,0,0,0,0,0,0,8,1
103,8,國立中央大學,D,學士班,440101,    化學學系,176,120,56,30,12,23,19,35,9,28,15,0,0,0,0,0,0,0,0,4,1
103,8,國立中央大學,D,學士班,520106,    光電科學與工程學系,167,133,34,35,11,28,7,31,9,34,7,0,0,0,0,0,0,0,0,5,0
103,8,國立中央大學,D,學士班,449999,    理學院學士班,83,63,20,12,7,11,6,20,5,19,1,0,0,0,0,0,0,0,0,1,1
103,8,國立中央大學,D,學士班,520301,    土木工程學系,430,360,70,94,14,71,26,93,12,90,17,0,0,0,0,0,0,0,0,12,1
103,8,國立中央大學,D,學士班,520201,    機械工程學系,620,563,57,139,18,131,15,136,12,129,12,0,0,0,0,0,0,0,0,28,0
103,8,國立中央大學,D,學士班,520403,    化學工程與材料工程學系,230,159,71,36,17,38,14,41,18,39,22,0,0,0,0,0,0,0,0,5,0
103,8,國立中央大學,D,學士班,340301,    企業管理學系,442,179,263,40,73,38,67,39,67,56,50,0,0,0,0,0,0,0,0,6,6
103,8,國立中央大學,D,學士班,480109,    資訊管理學系,407,226,181,57,45,52,46,54,45,56,43,0,0,0,0,0,0,0,0,7,2
103,8,國立中央大學,D,學士班,340501,    財務金融學系,252,102,150,22,41,26,33,28,36,25,36,0,0,0,0,0,0,0,0,1,4
103,8,國立中央大學,D,學士班,310101,    經濟學系,257,121,136,18,35,32,32,37,35,31,34,0,0,0,0,0,0,0,0,3,0
103,8,國立中央大學,D,學士班,520101,    電機工程學系,423,371,52,87,16,88,13,91,14,94,9,0,0,0,0,0,0,0,0,11,0
103,8,國立中央大學,D,學士班,520114,    資訊工程學系,441,364,77,85,23,98,15,88,23,85,13,0,0,0,0,0,0,0,0,8,3
103,8,國立中央大學,D,學士班,520126,    通訊工程學系,216,171,45,38,14,37,14,48,6,40,11,0,0,0,0,0,0,0,0,8,0
103,8,國立中央大學,D,學士班,440401,    大氣科學學系,304,224,80,57,13,51,28,54,21,53,17,0,0,0,0,0,0,0,0,9,1
103,8,國立中央大學,D,學士班,440201,    地球科學學系,224,151,73,38,19,33,24,31,19,39,11,0,0,0,0,0,0,0,0,10,0
103,8,國立中央大學,D,學士班,311025,    客家語文暨社會科學學系,37,5,32,4,14,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,學士班,420103,    生命科學系,174,108,66,21,21,29,14,24,16,28,13,0,0,0,0,0,0,0,0,6,2
103,8,國立中央大學,D,2,SUBT2,碩士班           共計,3257,2255,1002,965,421,964,389,234,122,91,67,0,0,0,0,0,0,0,0,1,3
103,8,國立中央大學,D,碩士班,449904,    遙測科技碩士學位學程,18,14,4,5,4,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,220201,    中國文學系碩士班,55,21,34,7,8,3,9,4,11,7,6,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,220310,    英美語文學系碩士班,39,9,30,1,4,3,5,1,7,4,13,0,0,0,0,0,0,0,0,0,1
103,8,國立中央大學,D,碩士班,220314,    法國語文學系碩士班,15,5,10,2,3,0,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,221101,    哲學研究所碩士班,23,15,8,4,0,4,3,3,1,4,4,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,220901,    歷史研究所碩士班,56,30,26,7,11,7,4,5,5,11,6,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,210701,    藝術學研究所碩士班,41,6,35,3,10,1,7,1,9,1,9,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,140111,    學習與教學研究所碩士班,27,4,23,2,4,2,10,0,6,0,2,0,0,0,0,0,0,0,0,0,1
103,8,國立中央大學,D,碩士班,220201,    中國文學系戲曲碩士班,5,2,3,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,229916,    亞際文化研究國際碩士學位學程,6,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,460101,    數學系碩士班,55,47,8,20,2,16,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440301,    物理學系碩士班,73,61,12,26,5,19,4,13,2,3,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440101,    化學學系碩士班,125,80,45,36,23,38,19,6,3,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,460201,    統計研究所碩士班,36,19,17,7,6,12,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520106,    光電科學與工程學系碩士班,123,105,18,45,10,49,6,10,1,1,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440601,    天文研究所碩士班,20,12,8,5,3,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440301,    物理學系生物物理碩士班,23,20,3,8,0,5,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520106,    光電科學與工程學系照明與顯示科技碩士班,30,23,7,10,4,7,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520301,    土木工程學系碩士班,213,170,43,76,22,70,18,13,3,11,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520201,    機械工程學系碩士班,235,214,21,88,11,94,6,24,4,8,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520403,    化學工程與材料工程學系碩士班,136,99,37,47,21,46,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,349927,    營建管理研究所碩士班,29,21,8,11,3,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520901,    環境工程研究所碩士班,68,36,32,18,10,10,16,7,6,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520201,    機械工程學系光機電工程碩士班,54,44,10,22,6,20,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,521309,    能源工程研究所碩士班,49,45,4,18,3,19,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520502,    材料科學與工程研究所碩士班,44,36,8,19,2,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520527,    應用材料科學國際研究生碩士學位學程,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,340301,    企業管理學系碩士班,136,60,76,27,36,28,38,5,1,0,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,480109,    資訊管理學系碩士班,109,69,40,34,18,34,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,310104,    產業經濟研究所碩士班,54,25,29,11,11,9,14,2,2,3,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,349906,    工業管理研究所碩士班,62,39,23,23,9,15,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,349919,    人力資源管理研究所碩士班,56,11,45,4,24,6,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0
