學年度,學制代碼,學制班別,年級,十五歲及以下男,十五歲及以下女,十六歲男,十六歲女,十七歲男,十七歲女,十八歲男,十八歲女,十九歲男,十九歲女,二十歲男,二十歲女,廿一歲男,廿一歲女,廿二歲男,廿二歲女,廿三歲男,廿三歲女,廿四歲男,廿四歲女,廿五歲男,廿五歲女,廿六歲男,廿六歲女,廿七歲男,廿七歲女,廿八歲男,廿八歲女,廿九歲男,廿九歲女,三十至三十四歲男,三十至三十四歲女,三十五至三十九歲男,三十五至三十九歲女,四十至四十四歲男,四十至四十四歲女,四五至四十九歲男,四五至四十九歲女,五十至五十九歲男,五十至五十九歲女,六十歲及以上男,六十歲及以上女,補充說明
105,d1,博士班,1,,,,,0,0,0,0,0,0,0,0,0,0,2,0,12,2,23,3,14,10,16,9,18,7,8,6,7,0,25,11,17,5,9,7,6,3,9,2,1,0,
105,d1,博士班,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,13,4,6,3,7,6,14,2,8,3,16,12,11,9,19,2,9,6,12,3,3,0,
105,d1,博士班,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,12,2,5,6,12,0,6,4,15,15,20,7,10,2,10,3,8,6,3,1,
105,d1,博士班,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,2,8,5,15,2,12,1,19,8,9,3,14,3,9,5,6,0,1,0,
105,d1,博士班,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,2,9,2,33,7,23,2,11,3,7,1,9,2,2,1,
105,d1,博士班,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,41,11,13,0,9,1,7,8,9,3,0,0,
105,d1,博士班,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,17,23,11,16,1,3,2,4,0,2,1,
105,d1,博士班,8,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,
105,d1,博士班,9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,m1,碩士班,1,,,,,0,0,0,0,0,0,1,2,7,8,589,296,210,118,85,26,26,17,21,6,13,6,7,1,3,0,10,9,2,2,1,3,0,1,1,0,0,1,
105,m1,碩士班,2,,,,,0,0,0,0,0,0,0,0,1,1,7,5,616,278,183,82,77,34,24,21,22,5,10,2,2,4,8,10,3,1,1,1,0,1,0,2,1,0,
