表4-1  科系別學生人數統計1051(依據105/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
105,8,國立中央大學,,,TOTAL,全校班級,11943,7871,4072,2422,1281,2353,1233,1459,767,1135,637,280,82,126,39,91,33,5,0,214,70
105,8,國立中央大學,D,1,SUBT1,學士班           共計,6107,3902,2205,948,544,975,529,932,542,875,531,135,49,36,10,1,0,0,0,172,59
105,8,國立中央大學,D,D,220201,    中國文學系,215,45,170,9,40,13,37,7,39,9,41,6,10,1,3,0,0,0,0,7,13
105,8,國立中央大學,D,D,220310,    英美語文學系,230,43,187,10,41,9,44,12,47,10,46,2,7,0,2,0,0,0,0,2,9
105,8,國立中央大學,D,D,220314,    法國語文學系,214,47,167,11,39,9,42,15,38,12,41,0,6,0,1,0,0,0,0,0,7
105,8,國立中央大學,D,D,460101,    數學系,302,239,63,59,21,56,18,58,12,46,10,17,1,3,1,0,0,0,0,20,2
105,8,國立中央大學,D,D,440301,    物理學系,219,190,29,41,10,46,7,46,5,43,7,8,0,5,0,1,0,0,0,14,0
105,8,國立中央大學,D,D,440101,    化學學系,166,108,58,23,17,32,11,28,10,21,19,3,1,1,0,0,0,0,0,4,1
105,8,國立中央大學,D,D,520106,    光電科學與工程學系,173,140,33,33,4,34,12,37,10,29,7,4,0,3,0,0,0,0,0,7,0
105,8,國立中央大學,D,D,449999,    理學院學士班,74,50,24,14,5,12,7,10,6,10,6,4,0,0,0,0,0,0,0,4,0
105,8,國立中央大學,D,D,520301,    土木工程學系,394,314,80,77,20,70,18,86,13,68,27,12,1,1,1,0,0,0,0,13,2
105,8,國立中央大學,D,D,520201,    機械工程學系,622,546,76,130,24,140,16,126,21,127,14,16,1,7,0,0,0,0,0,23,1
105,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,208,142,66,35,15,30,16,38,18,37,14,1,3,1,0,0,0,0,0,2,3
105,8,國立中央大學,D,D,340301,    企業管理學系,436,157,279,32,76,44,60,40,70,37,67,4,5,0,1,0,0,0,0,4,6
105,8,國立中央大學,D,D,480109,    資訊管理學系,416,232,184,61,50,61,39,56,47,52,45,2,3,0,0,0,0,0,0,2,3
105,8,國立中央大學,D,D,340501,    財務金融學系,266,115,151,32,32,25,38,25,43,26,35,7,2,0,1,0,0,0,0,7,3
105,8,國立中央大學,D,D,310101,    經濟學系,267,126,141,26,28,35,33,25,43,32,35,7,2,1,0,0,0,0,0,8,2
105,8,國立中央大學,D,D,520101,    電機工程學系,412,352,60,88,9,83,20,87,18,79,12,15,1,0,0,0,0,0,0,15,1
105,8,國立中央大學,D,D,520114,    資訊工程學系,475,383,92,88,27,100,22,86,26,98,15,9,2,2,0,0,0,0,0,11,2
105,8,國立中央大學,D,D,520126,    通訊工程學系,213,163,50,42,9,38,11,42,15,34,14,5,1,2,0,0,0,0,0,7,1
105,8,國立中央大學,D,D,440401,    大氣科學學系,302,218,84,48,22,62,19,52,14,49,26,6,3,1,0,0,0,0,0,7,3
105,8,國立中央大學,D,D,440201,    地球科學學系,215,143,72,43,17,34,18,30,16,29,21,3,0,4,0,0,0,0,0,7,0
105,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,75,23,52,10,11,8,12,4,12,1,17,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,D,420103,    生命科學系,174,98,76,20,23,22,22,22,19,26,12,4,0,4,0,0,0,0,0,8,0
105,8,國立中央大學,D,D,521116,    生醫科學與工程學系,39,28,11,16,4,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,2,SUBT2,碩士班           共計,3431,2312,1119,976,496,953,444,301,127,82,51,0,1,0,0,0,0,0,0,0,1
105,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,23,14,9,7,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,220201,    中國文學系碩士班,57,19,38,6,12,3,14,7,7,3,5,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,220310,    英美語文學系碩士班,24,9,15,2,3,2,4,1,2,4,6,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,220314,    法國語文學系碩士班,23,5,18,1,6,2,5,1,4,1,3,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,221101,    哲學研究所碩士班,13,10,3,6,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,220901,    歷史研究所碩士班,51,24,27,3,7,7,4,6,11,8,5,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,36,6,30,0,7,2,7,3,9,1,7,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,25,3,22,1,8,1,10,1,0,0,3,0,1,0,0,0,0,0,0,0,1
105,8,國立中央大學,D,M,229916,"    亞際文化研究國際碩士學位學程
    (台灣聯合大學系統)",12,4,8,2,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,460101,    數學系碩士班,68,45,23,16,11,20,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440301,    物理學系碩士班,96,83,13,26,6,39,5,13,2,5,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440101,    化學學系碩士班,126,85,41,43,15,34,24,7,2,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,460201,    統計研究所碩士班,50,33,17,18,11,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,143,123,20,54,6,48,11,19,3,2,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440601,    天文研究所碩士班,25,19,6,8,0,6,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,15,13,2,3,1,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520106,"    光電科學與工程學系
    照明與顯示科技碩士班",22,18,4,5,0,10,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520301,    土木工程學系碩士班,211,162,49,68,25,70,21,19,2,5,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520201,    機械工程學系碩士班,245,224,21,95,9,93,7,29,5,7,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,139,90,49,41,28,44,19,5,1,0,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,34,22,12,11,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,81,46,35,13,14,17,13,16,8,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,67,55,12,27,3,23,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,55,44,11,20,4,17,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,51,39,12,19,7,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520527,"    應用材料科學國際研究生
    碩士學位學程",2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,340301,    企業管理學系碩士班,143,77,66,38,34,30,28,8,4,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,110,63,47,28,25,34,20,0,2,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,62,31,31,11,11,14,16,3,3,3,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,72,44,28,18,16,20,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,60,16,44,6,21,8,20,2,2,0,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,340501,    財務金融學系碩士班,50,27,23,13,11,12,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,310101,    經濟學系碩士班,30,16,14,5,8,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
