年齡別別學生人數統計1061(依據106/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,8,國立中央大學,,,TOTAL,11924,7797,4127,0,0,0,0,7,6,811,465,874,487,921,529,937,534,850,454,864,416,494,239,256,113,148,97,134,68,114,65,105,42,468,192,316,147,203,106,150,81,120,74,25,12
106,8,國立中央大學,D,B,1,1504,972,532,0,0,0,0,7,6,803,463,125,55,22,4,9,1,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,2,1480,949,531,0,0,0,0,0,0,8,2,742,426,159,94,26,7,11,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,3,1458,934,524,0,0,0,0,0,0,0,0,6,5,733,426,150,77,30,11,9,1,1,3,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
106,8,國立中央大學,D,B,4,1444,904,540,0,0,0,0,0,0,0,0,0,0,4,5,747,443,119,74,23,14,4,2,3,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,5,199,131,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,52,32,13,4,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,6,30,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,3,1,2,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,1,1485,989,496,0,0,0,0,0,0,0,0,1,1,3,0,3,3,588,304,215,97,82,34,36,25,19,8,12,5,8,3,3,3,11,4,2,3,2,4,2,0,2,1,0,1
106,8,國立中央大學,D,M,2,1370,908,462,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,8,551,282,194,106,78,24,24,16,19,6,12,5,5,1,12,4,3,4,1,2,0,1,1,0,0,1
106,8,國立中央大學,D,M,3,465,314,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,175,75,62,32,31,20,14,12,12,1,3,0,7,6,3,2,1,0,1,1,0,2,1,0
106,8,國立中央大學,D,M,4,126,77,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,10,12,14,16,4,11,4,4,3,5,6,1,2,0,2,0,3,0,0,1,0
106,8,國立中央大學,D,M,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,V,M,1,495,286,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,5,4,9,15,13,14,14,18,10,10,77,36,61,39,36,34,38,20,16,16,5,0
106,8,國立中央大學,V,M,2,476,311,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,9,4,5,6,8,5,19,9,65,35,80,31,52,28,40,23,25,16,6,2
106,8,國立中央大學,V,M,3,189,123,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,5,6,1,0,51,18,31,10,11,7,8,4,8,14,4,4
106,8,國立中央大學,V,M,4,104,71,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,23,6,23,8,13,7,6,3,5,3,0,1
106,8,國立中央大學,V,M,5,61,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,13,7,8,1,3,3,3,3,0,0
106,8,國立中央大學,D,D,1,203,145,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,6,17,8,9,11,9,5,13,4,9,2,8,3,27,3,13,8,13,1,8,4,8,1,0,1
106,8,國立中央大學,D,D,2,208,148,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,22,2,12,10,15,9,12,4,5,3,29,12,12,7,11,5,7,3,9,3,1,0
106,8,國立中央大學,D,D,3,154,108,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,10,3,6,3,7,6,13,2,22,12,10,7,15,4,9,4,12,4,1,0
106,8,國立中央大學,D,D,4,140,102,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,12,2,5,5,11,0,20,13,18,6,8,3,8,4,10,4,2,1
106,8,國立中央大學,D,D,5,108,84,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,7,4,11,1,27,4,8,6,11,2,6,3,8,3,1,0
106,8,國立中央大學,D,D,6,94,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,1,26,6,18,2,10,1,6,1,6,2,2,1
106,8,國立中央大學,D,D,7,122,92,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,19,18,3,10,2,7,4,7,2,1,0
106,8,國立中央大學,D,D,8,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0
106,8,國立中央大學,D,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
