106學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3282,2105,1177,1998,1098,27,17,80,62
,8,國立中央大學,N,,SUBT1,學士班           共計,1443,888,555,859,538,25,13,4,4
,8,國立中央大學,N,,220201,中國文學系,54,9,45,7,42,,2,2,1
,8,國立中央大學,N,,220310,英美語文學系,62,15,47,14,46,1,1,,
,8,國立中央大學,N,,220314,法國語文學系,50,10,40,10,38,,2,,
,8,國立中央大學,N,,460101,數學系,62,50,12,48,12,2,,,
,8,國立中央大學,N,,440301,物理學系,55,49,6,48,6,1,,,
,8,國立中央大學,N,,440101,化學學系,40,30,10,29,10,1,,,
,8,國立中央大學,N,,520106,光電科學與工程學系,39,30,9,29,8,1,1,,
,8,國立中央大學,N,,449999,理學院學士班,14,9,5,9,5,,,,
,8,國立中央大學,N,,520301,土木工程學系,93,79,14,77,14,1,,1,
,8,國立中央大學,N,,520201,機械工程學系,147,123,24,122,24,1,,,
,8,國立中央大學,N,,520403,化學工程與材料工程學系,54,37,17,36,17,1,,,
,8,國立中央大學,N,,340301,企業管理學系,105,37,68,34,66,3,,,2
,8,國立中央大學,N,,480109,資訊管理學系,106,53,53,52,51,1,2,,
,8,國立中央大學,N,,340501,財務金融學系,71,27,44,27,42,,2,,
,8,國立中央大學,N,,310101,經濟學系,71,29,42,27,39,2,2,,1
,8,國立中央大學,N,,520101,電機工程學系,96,77,19,76,19,1,,,
,8,國立中央大學,N,,520114,資訊工程學系,110,85,25,80,24,4,1,1,
,8,國立中央大學,N,,520126,通訊工程學系,50,35,15,32,15,3,,,
,8,國立中央大學,N,,440401,大氣科學學系,65,51,14,51,14,,,,
,8,國立中央大學,N,,440201,地球科學學系,51,34,17,32,17,2,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系,14,3,11,3,11,,,,
,8,國立中央大學,N,,420103,生命科學系,34,16,18,16,18,,,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1297,862,435,802,384,1,4,59,47
,8,國立中央大學,N,,449904,遙測科技碩士學位學程,8,4,4,3,2,,,1,2
,8,國立中央大學,N,,220201,中國文學系碩士班,14,6,8,4,7,,,2,1
,8,國立中央大學,N,,220310,英美語文學系碩士班,4,0,4,,4,,,,
,8,國立中央大學,N,,220314,法國語文學系碩士班,4,2,2,2,2,,,,
,8,國立中央大學,N,,221101,哲學研究所碩士班,3,3,0,1,,,,2,
,8,國立中央大學,N,,220901,歷史研究所碩士班,10,5,5,5,5,,,,
,8,國立中央大學,N,,210701,藝術學研究所碩士班,6,3,3,2,2,,,1,1
,8,國立中央大學,N,,140111,學習與教學研究所碩士班,9,1,8,1,8,,,,
,8,國立中央大學,N,,229916,亞際文化研究國際碩士學位學程(台灣聯合大學系統),1,1,0,,,,,1,
,8,國立中央大學,N,,460101,數學系碩士班,26,19,7,18,7,,,1,
,8,國立中央大學,N,,440301,物理學系碩士班,29,25,4,21,1,,1,4,2
,8,國立中央大學,N,,440101,化學學系碩士班,57,41,16,41,16,,,,
,8,國立中央大學,N,,460201,統計研究所碩士班,24,15,9,15,8,,,,1
,8,國立中央大學,N,,520106,光電科學與工程學系碩士班,48,37,11,37,10,,,,1
,8,國立中央大學,N,,440601,天文研究所碩士班,7,5,2,5,2,,,,
,8,國立中央大學,N,,440301,物理學系生物物理碩士班,3,2,1,2,,,,,1
,8,國立中央大學,N,,520106,光電科學與工程學系照明與顯示科技碩士班,7,6,1,6,1,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士班,91,67,24,60,20,,,7,4
,8,國立中央大學,N,,520201,機械工程學系碩士班,93,87,6,79,5,,,8,1
,8,國立中央大學,N,,520403,化學工程與材料工程學系碩士班,59,36,23,35,22,,,1,1
,8,國立中央大學,N,,349927,營建管理研究所碩士班,18,9,9,4,8,,,5,1
,8,國立中央大學,N,,520901,環境工程研究所碩士班,31,18,13,17,13,,,1,
,8,國立中央大學,N,,520201,機械工程學系光機電工程碩士班,21,16,5,16,4,,,,1
,8,國立中央大學,N,,521309,能源工程研究所碩士班,19,15,4,14,4,,,1,
,8,國立中央大學,N,,520502,材料科學與工程研究所碩士班,16,13,3,11,3,,,2,
,8,國立中央大學,N,,520527,應用材料科學國際研究生碩士學位學程,1,1,0,,,,,1,
,8,國立中央大學,N,,340301,企業管理學系碩士班,70,38,32,35,30,,1,3,1
,8,國立中央大學,N,,480109,資訊管理學系碩士班,52,27,25,27,24,,1,,
,8,國立中央大學,N,,310104,產業經濟研究所碩士班,20,10,10,10,10,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士班,28,14,14,14,12,,,,2
,8,國立中央大學,N,,349919,人力資源管理研究所碩士班,26,6,20,6,19,,,,1
,8,國立中央大學,N,,340501,財務金融學系碩士班,22,13,9,12,7,,1,1,1
,8,國立中央大學,N,,310101,經濟學系碩士班,11,4,7,4,7,,,,
,8,國立中央大學,N,,340201,會計研究所碩士班,13,4,9,4,9,,,,
,8,國立中央大學,N,,520101,電機工程學系碩士班,109,93,16,91,16,,,2,
,8,國立中央大學,N,,520114,資訊工程學系碩士班,110,84,26,81,20,,,3,6
,8,國立中央大學,N,,520126,通訊工程學系碩士班,38,32,6,31,6,,,1,
,8,國立中央大學,N,,140805,網路學習科技研究所碩士班,18,9,9,7,5,,,2,4
,8,國立中央大學,N,,520114,資訊工程學系軟體工程碩士班,12,11,1,11,1,,,,
,8,國立中央大學,N,,440401,大氣科學學系大氣物理碩士班,17,10,7,9,7,,,1,
,8,國立中央大學,N,,440201,地球科學學系地球物理碩士班,21,10,11,10,5,,,,6
,8,國立中央大學,N,,440603,太空科學研究所碩士班,14,9,5,9,5,,,,
,8,國立中央大學,N,,440204,應用地質研究所碩士班,18,9,9,7,6,,,2,3
,8,國立中央大學,N,,440207,水文與海洋科學研究所碩士班,6,3,3,3,1,,,,2
,8,國立中央大學,N,,380103,法律與政府研究所碩士班,16,5,11,5,11,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家社會文化碩士班,2,0,2,,2,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家語文碩士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家政治經濟碩士班,10,2,8,2,8,,,,
,8,國立中央大學,N,,420103,生命科學系碩士班,18,11,7,7,6,,,4,1
,8,國立中央大學,N,,310510,認知神經科學研究所碩士班,7,2,5,1,5,1,,,
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊碩士班,8,5,3,4,3,,,1,
,8,國立中央大學,N,,521108,生醫科學與工程學系生物醫學工程碩士班,20,13,7,12,4,,,1,3
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,412,256,156,254,152,,,2,4
,8,國立中央大學,N,,220201,中國文學系碩士在職專班,1,0,1,,1,,,,
,8,國立中央大學,N,,221101,哲學研究所碩士在職專班,5,0,5,,5,,,,
,8,國立中央大學,N,,220901,歷史研究所碩士在職專班,22,13,9,13,9,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系碩士在職專班,13,11,2,11,2,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士在職專班,23,20,3,20,3,,,,
,8,國立中央大學,N,,520201,機械工程學系碩士在職專班,18,16,2,16,2,,,,
,8,國立中央大學,N,,349927,營建管理研究所碩士在職專班,5,3,2,3,2,,,,
,8,國立中央大學,N,,520901,環境工程研究所碩士在職專班,20,16,4,16,4,,,,
,8,國立中央大學,N,,520911,國際永續發展碩士在職專班,6,2,4,,,,,2,4
,8,國立中央大學,N,,349939,管理學院高階主管企管碩士班,70,50,20,50,20,,,,
,8,國立中央大學,N,,340301,企業管理學系碩士在職專班,21,12,9,12,9,,,,
,8,國立中央大學,N,,480109,資訊管理學系碩士在職專班,33,23,10,23,10,,,,
,8,國立中央大學,N,,310104,產業經濟研究所碩士在職專班,22,10,12,10,12,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士在職專班,33,27,6,27,6,,,,
,8,國立中央大學,N,,349919,人力資源管理研究所碩士在職專班,30,7,23,7,23,,,,
,8,國立中央大學,N,,340501,財務金融學系碩士在職專班,29,14,15,14,15,,,,
,8,國立中央大學,N,,340201,會計研究所企業資源規劃會計碩士在職專班,8,1,7,1,7,,,,
,8,國立中央大學,N,,520101,電機工程學系碩士在職專班,1,1,0,1,,,,,
,8,國立中央大學,N,,520114,資訊工程學系碩士在職專班,14,10,4,10,4,,,,
,8,國立中央大學,N,,520126,通訊工程學系碩士在職專班,14,12,2,12,2,,,,
,8,國立中央大學,N,,140805,網路學習科技研究所碩士在職專班,10,3,7,3,7,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究碩士在職專班,14,5,9,5,9,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,130,99,31,83,24,1,0,15,7
,8,國立中央大學,N,,220201,中國文學系博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,,221101,哲學研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,140111,學習與教學研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,460101,數學系博士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,440301,物理學系博士班,7,5,2,3,1,,,2,1
,8,國立中央大學,N,,440101,化學學系博士班,5,4,1,4,1,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,440601,天文研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,520301,土木工程學系博士班,9,7,2,7,1,,,,1
,8,國立中央大學,N,,520201,機械工程學系博士班,9,9,0,7,,,,2,
,8,國立中央大學,N,,520403,化學工程與材料工程學系博士班,6,6,0,6,,,,,
,8,國立中央大學,N,,349927,營建管理研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,520901,環境工程研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,521309,能源工程研究所博士班,2,0,2,,,,,,2
,8,國立中央大學,N,,520502,材料科學與工程研究所博士班,5,5,0,4,,,,1,
,8,國立中央大學,N,,340301,企業管理學系博士班,14,9,5,7,5,,,2,
,8,國立中央大學,N,,480109,資訊管理學系博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,349919,人力資源管理研究所博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,340501,財務金融學系博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,310101,經濟學系博士班,2,0,2,,2,,,,
,8,國立中央大學,N,,520101,電機工程學系博士班,11,11,0,9,,,,2,
,8,國立中央大學,N,,520114,資訊工程學系博士班,14,10,4,6,3,,,4,1
,8,國立中央大學,N,,520126,通訊工程學系博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,140805,網路學習科技研究所博士班,1,1,0,,,1,,,
,8,國立中央大學,N,,440201,地球科學學系地球物理博士班,5,3,2,3,2,,,,
,8,國立中央大學,N,,440603,太空科學研究所博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,440204,應用地質研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,440213,地球系統科學國際研究生博士學位學程,3,1,2,1,1,,,,1
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,420103,生命科學系博士班,6,5,1,5,,,,,1
,8,國立中央大學,N,,310510,認知神經科學研究所博士班,2,1,1,,1,,,1,
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊博士班,2,1,1,1,1,,,,
