表4-3  年齡別別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abab112,8,國立中央大學,,,TOTAL,12497,7898,4599,0,0,0,0,2,1,776,518,916,548,879,533,861,555,890,513,932,499,557,245,298,135,204,102,148,103,155,64,97,79,372,226,232,139,202,132,179,107,159,87,39,13
112,8,國立中央大學,D,B,1,1547,938,609,0,0,0,0,2,1,774,517,128,71,20,13,3,6,5,0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,2,1521,957,564,0,0,0,0,0,0,2,1,783,473,137,73,19,12,6,1,7,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,3,1521,956,565,0,0,0,0,0,0,0,0,5,4,720,446,182,86,30,23,9,6,4,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,4,1456,867,589,0,0,0,0,0,0,0,0,0,0,2,1,652,450,160,108,35,20,11,6,3,2,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,5,204,117,87,0,0,0,0,0,0,0,0,0,0,0,0,2,0,79,65,22,17,11,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,6,24,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,M,1,1591,1045,546,0,0,0,0,0,0,0,0,0,0,0,0,3,1,605,315,260,142,79,36,34,18,28,7,13,10,9,4,3,2,6,5,3,2,1,3,0,0,1,0,0,1
112,8,國立中央大學,D,M,2,1470,974,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,576,302,228,107,78,29,32,18,21,13,12,8,6,6,12,4,1,3,2,2,0,1,2,1,0,1
112,8,國立中央大學,D,M,3,521,363,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,83,90,36,40,13,13,8,8,4,6,3,3,5,2,1,2,4,0,1,3,0,0,0
112,8,國立中央大學,D,M,4,175,101,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,21,18,17,6,10,6,3,5,9,7,4,3,0,2,0,1,0,1,0,1
112,8,國立中央大學,D,M,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
112,8,國立中央大學,V,M,1,575,326,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,12,9,18,14,17,20,26,12,24,20,66,55,42,32,40,30,42,34,30,19,4,0
112,8,國立中央大學,V,M,2,535,315,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,12,9,16,19,25,14,16,13,58,58,48,27,45,31,49,26,32,19,9,2
112,8,國立中央大學,V,M,3,223,150,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,7,1,13,5,10,5,47,14,24,11,17,12,13,6,9,13,3,1
112,8,國立中央大學,V,M,4,105,73,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,2,19,4,13,9,12,6,10,6,11,1,2,2
112,8,國立中央大學,V,M,5,72,51,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,12,3,11,2,10,3,7,3,6,7,2,2
112,8,國立中央大學,D,D,1,172,117,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,3,10,5,7,3,3,5,6,5,4,0,23,10,11,8,9,5,8,6,13,2,2,0
112,8,國立中央大學,D,D,2,165,107,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,13,4,14,6,5,2,9,0,3,5,19,13,11,7,9,7,9,7,7,4,1,0
112,8,國立中央大學,D,D,3,155,105,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,13,4,17,9,8,5,5,2,14,7,9,5,14,9,6,2,9,5,3,0
112,8,國立中央大學,D,D,4,143,104,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,4,10,0,5,8,21,7,10,4,19,6,10,2,9,5,4,0
112,8,國立中央大學,D,D,5,100,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,6,4,17,12,14,10,6,3,9,0,6,1,2,0
112,8,國立中央大學,D,D,6,92,64,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,24,9,10,6,7,4,3,3,11,5,2,0
112,8,國立中央大學,D,D,7,101,67,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,11,15,7,7,4,12,7,8,2,5,2
112,8,國立中央大學,D,D,8,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,0,0,0
112,8,國立中央大學,D,D,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
112,8,國立中央大學,D,M,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,M,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
