1131(依據113/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
113,8,國立中央大學,,,TOTAL,全校班級,12563,7930,4633,2493,1450,2292,1394,1493,872,1270,724,251,133,62,27,60,30,9,3,206,113
113,8,國立中央大學,D,1,SUBT1,學士班           共計,6275,3876,2399,934,577,920,611,932,563,950,559,125,82,13,7,1,0,1,0,140,89
113,8,國立中央大學,D,D,1146,    中國文學系,188,51,137,10,37,10,30,15,28,14,31,1,11,1,0,0,0,0,0,2,11
113,8,國立中央大學,D,D,1150,    英美語文學系,192,58,134,11,32,18,27,12,32,15,34,2,9,0,0,0,0,0,0,2,9
113,8,國立中央大學,D,D,1152,    法國語文學系,198,39,159,10,32,7,41,5,35,12,34,4,16,1,1,0,0,0,0,5,17
113,8,國立中央大學,D,D,15182,    文學院學士班,80,19,61,6,13,6,16,2,13,4,16,1,3,0,0,0,0,0,0,1,3
113,8,國立中央大學,D,D,1162,    數學系,314,234,80,55,23,52,20,62,15,54,20,11,2,0,0,0,0,0,0,11,2
113,8,國立中央大學,D,D,1165,    物理學系,187,142,45,37,10,32,10,39,13,33,11,1,1,0,0,0,0,0,0,1,1
113,8,國立中央大學,D,D,1168,    化學學系,152,75,77,17,19,15,19,19,18,19,21,4,0,1,0,0,0,0,0,5,0
113,8,國立中央大學,D,D,5470,    光電科學與工程學系,202,154,48,40,4,38,15,34,12,36,17,6,0,0,0,0,0,0,0,6,0
113,8,國立中央大學,D,D,7077,    理學院學士班,74,49,25,14,6,11,8,11,4,9,7,3,0,1,0,0,0,0,0,4,0
113,8,國立中央大學,D,D,1186,    土木工程學系,356,277,79,75,19,66,18,61,24,64,17,10,1,0,0,1,0,0,0,11,1
113,8,國立中央大學,D,D,1190,    機械工程學系,545,458,87,112,23,113,20,109,20,113,21,10,2,1,1,0,0,0,0,11,3
113,8,國立中央大學,D,D,1183,    化學工程與材料工程學系,219,154,65,34,13,32,21,38,17,45,14,5,0,0,0,0,0,0,0,5,0
113,8,國立中央大學,D,D,14515,    工學院學士班,99,71,28,17,8,18,7,15,11,19,2,2,0,0,0,0,0,0,0,2,0
113,8,國立中央大學,D,D,1205,    企業管理學系,414,179,235,46,64,42,59,42,58,37,49,11,5,1,0,0,0,0,0,12,5
113,8,國立中央大學,D,D,1209,    資訊管理學系,421,244,177,54,52,55,43,62,36,62,42,10,4,1,0,0,0,0,0,11,4
113,8,國立中央大學,D,D,1216,    財務金融學系,275,124,151,26,36,32,38,28,31,32,39,5,6,1,1,0,0,0,0,6,7
113,8,國立中央大學,D,D,1213,    經濟學系,265,111,154,35,30,20,46,24,37,26,37,5,4,1,0,0,0,0,0,6,4
113,8,國立中央大學,D,D,1229,    電機工程學系,445,366,79,78,20,94,20,96,14,92,22,4,1,1,2,0,0,1,0,6,3
113,8,國立中央大學,D,D,1233,    資訊工程學系,429,345,84,78,19,84,25,88,19,86,20,8,1,1,0,0,0,0,0,9,1
113,8,國立中央大學,D,D,1237,    通訊工程學系,191,133,58,27,15,33,12,35,12,33,17,5,2,0,0,0,0,0,0,5,2
113,8,國立中央大學,D,D,14516,    資訊電機學院學士班,95,77,18,15,5,21,5,20,4,21,3,0,1,0,0,0,0,0,0,0,1
113,8,國立中央大學,D,D,1243,    大氣科學學系,127,67,60,16,13,13,14,13,21,21,11,4,1,0,0,0,0,0,0,4,1
113,8,國立中央大學,D,D,1246,    地球科學學系,184,121,63,36,14,27,16,24,17,34,13,0,3,0,0,0,0,0,0,0,3
113,8,國立中央大學,D,D,14765,    地球科學學院學士班,67,46,21,15,4,11,4,8,9,10,4,2,0,0,0,0,0,0,0,2,0
113,8,國立中央大學,D,D,15188,    太空科學與工程學系,130,97,33,24,7,24,7,22,11,24,7,3,1,0,0,0,0,0,0,3,1
113,8,國立中央大學,D,D,9250,    客家語文暨社會科學學系,141,36,105,8,29,9,30,10,18,7,20,2,6,0,2,0,0,0,0,2,8
113,8,國立中央大學,D,D,1177,    生命科學系,162,73,89,23,18,13,29,16,20,16,21,3,1,2,0,0,0,0,0,5,1
113,8,國立中央大學,D,D,10236,    生醫科學與工程學系,123,76,47,15,12,24,11,22,14,12,9,3,1,0,0,0,0,0,0,3,1
113,8,國立中央大學,D,2,SUBT2,碩士班           共計,3888,2535,1353,1104,583,963,507,333,184,135,78,0,1,0,0,0,0,0,0,0,1
113,8,國立中央大學,D,M,7073,    遙測科技碩士學位學程,23,16,7,9,2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1148,    中國文學系碩士班,56,26,30,5,4,8,8,6,12,7,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1151,    英美語文學系碩士班,30,9,21,2,2,3,7,1,5,3,7,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1153,    法國語文學系碩士班,11,3,8,0,1,0,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1155,    哲學研究所碩士班,19,10,9,1,4,2,2,3,2,4,0,0,1,0,0,0,0,0,0,0,1
113,8,國立中央大學,D,M,1157,    歷史研究所碩士班,43,28,15,10,4,6,3,3,2,9,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1159,    藝術學研究所碩士班,34,5,29,0,8,1,7,0,8,4,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1160,    學習與教學研究所碩士班,28,6,22,2,8,3,5,1,5,0,4,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9253,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),14,2,12,0,2,1,2,0,2,1,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1164,    數學系碩士班,61,49,12,21,4,18,7,8,1,2,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1167,    物理學系碩士班,88,69,19,28,11,25,5,8,2,8,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1170,    化學學系碩士班,157,83,74,34,35,40,35,6,4,3,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1176,    統計研究所碩士班,56,40,16,21,7,18,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1174,    光電科學與工程學系碩士班,202,169,33,67,15,62,12,28,4,12,2,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1172,    天文研究所碩士班,16,13,3,4,1,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9935,    光電科學與工程學系照明與顯示科技碩士班,13,12,1,4,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1188,    土木工程學系碩士班,181,125,56,67,30,42,22,12,4,4,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1192,    機械工程學系碩士班,339,291,48,120,23,113,18,52,6,6,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1185,    化學工程與材料工程學系碩士班,162,95,67,46,35,42,31,5,1,2,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1195,    環境工程研究所碩士班,72,46,26,21,7,14,8,5,10,6,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9932,    機械工程學系光機電工程碩士班,53,46,7,16,3,19,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1203,    能源工程研究所碩士班,34,26,8,9,5,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1200,    材料科學與工程研究所碩士班,54,37,17,17,10,16,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,14902,    土木工程學系營建管理碩士班,20,14,6,11,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1207,    企業管理學系碩士班,127,57,70,23,35,27,27,6,8,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1211,    資訊管理學系碩士班,146,71,75,36,34,32,37,2,4,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1221,    產業經濟研究所碩士班,62,25,37,10,13,8,13,4,8,3,3,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1227,    工業管理研究所碩士班,60,33,27,16,13,17,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0
