表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,D,B,TOTAL,全校班級,11954,8205,3749,2476,1164,2450,1122,1460,676,1205,621,202,59,99,20,85,30,228,57
97,0008,國立中央大學,D,B,SUBT1,學士班           共計,5792,3800,1992,946,510,916,521,859,451,851,453,0,0,0,0,0,0,228,57
97,0008,國立中央大學,D,B,220201,中國文學系,215,33,182,5,44,5,49,9,36,7,43,,,,,,,7,10
97,0008,國立中央大學,D,B,220310,英美語文學系,219,43,176,12,45,8,45,15,33,6,41,,,,,,,2,12
97,0008,國立中央大學,D,B,220314,法國語文學系,189,30,159,6,43,8,37,6,36,6,35,,,,,,,4,8
97,0008,國立中央大學,D,B,460101,數學系,279,230,49,59,11,55,16,40,10,50,10,,,,,,,26,2
97,0008,國立中央大學,D,B,440301,物理學系,221,199,22,45,4,52,4,41,8,50,4,,,,,,,11,2
97,0008,國立中央大學,D,B,440101,化學學系,181,128,53,24,13,31,14,30,13,32,13,,,,,,,11,
97,0008,國立中央大學,D,B,420103,生命科學系,158,89,69,17,17,19,22,26,15,23,15,,,,,,,4,
97,0008,國立中央大學,D,B,520106,光電科學與工程學系,128,105,23,40,7,40,8,25,8,,,,,,,,,,
97,0008,國立中央大學,D,B,449999,理學院學士班,14,13,1,13,1,,,,,,,,,,,,,,
97,0008,國立中央大學,D,B,520301,土木工程學系,401,323,78,94,17,76,18,63,18,68,21,,,,,,,22,4
97,0008,國立中央大學,D,B,520201,機械工程學系,593,521,72,127,23,128,22,126,12,106,14,,,,,,,34,1
97,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,222,159,63,36,15,42,11,35,20,38,17,,,,,,,8,
97,0008,國立中央大學,D,B,340301,企業管理學系,464,162,302,43,76,44,77,29,75,41,71,,,,,,,5,3
97,0008,國立中央大學,D,B,480109,資訊管理學系,420,260,160,70,37,57,47,53,40,68,33,,,,,,,12,3
97,0008,國立中央大學,D,B,340501,財務金融學系,254,106,148,23,34,25,37,25,41,28,35,,,,,,,5,1
97,0008,國立中央大學,D,B,310101, 經濟學系,252,105,147,22,34,24,34,29,34,22,37,,,,,,,8,8
97,0008,國立中央大學,D,B,520101,電機工程學系,475,424,51,93,16,96,12,106,7,107,15,,,,,,,22,1
97,0008,國立中央大學,D,B,520114,資訊工程學系,435,365,70,89,19,82,23,85,13,91,15,,,,,,,18,
97,0008,國立中央大學,D,B,520126,通訊工程學系,221,181,40,44,10,43,11,45,6,40,12,,,,,,,9,1
97,0008,國立中央大學,D,B,440401,大氣科學學系,251,191,60,46,22,48,18,41,13,40,7,,,,,,,16,
97,0008,國立中央大學,D,B,440201,地球科學學系,200,133,67,38,22,33,16,30,13,28,15,,,,,,,4,1
97,0008,國立中央大學,D,M,SUBT2,碩士班           共計,3119,2128,991,941,408,899,395,224,105,64,83,0,0,0,0,0,0,0,0
97,0008,國立中央大學,D,M,449904,遙測科技碩士學位學程,9,7,2,7,2,,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,220201,中國文學系碩士班,67,16,51,5,12,5,16,3,10,3,13,,,,,,,,
97,0008,國立中央大學,D,M,220310,英美語文學系碩士班,57,19,38,6,6,4,10,4,6,5,16,,,,,,,,
97,0008,國立中央大學,D,M,220314,法國語文學系碩士班,26,3,23,,8,2,6,,3,1,6,,,,,,,,
