1041「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,企業管理,財務金融,會計,資訊管理(103二退場),水土保持(102二退場),企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,系(所)總合
中國文學系,6,,1,1,,,,,,3,,,,,1,,,22,1,,,,,,,,,,35
英美語文學系,17,19,3,,,,,,,3,,,,,,1,,2,8,,,,,3,,,,,56
法國語文學系,9,7,1,1,,,,,,9,,,,,,1,,3,,,,,,1,,,,,32
英美語文學系碩士班,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
法國語文學系碩士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
亞際文化研究國際碩士學位學程,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
中國文學系碩士在職專班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
數學系,,3,5,,,,,,,,,,,,,,,,2,,,,,,4,,,,14
物理學系,,,,,,,,1,1,,,5,,,1,,,,,,,,1,1,,1,,,11
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
理學院學士班,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2
統計研究所碩士班,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4
光電科學與工程學系碩士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,6
機械工程學系,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3
化學工程與材料工程學系,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,3
營建管理研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
機械工程學系博士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
企業管理學系,,7,21,2,,35,,,,2,,,,,,3,,2,2,,,,1,3,,,8,,86
資訊管理學系,,6,10,,,42,1,,,1,,,,,1,31,1,2,2,,,,,24,,,3,,124
財務金融學系,,,36,,,3,,,,,,,,,,,,,,,,,,,,,2,,41
經濟學系,,9,12,1,,8,,,,,,,,,2,,,,1,,,,,11,,,4,,48
企業管理學系碩士班,,,,,,62,,,,,,,,5,,,,,,,4,,,1,,,6,,78
產業經濟研究所碩士班,,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,,4
工業管理研究所碩士班,,,,,,28,,,,,,,,4,,,,,,,,,,,,,7,,39
財務金融學系碩士班,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6
會計研究所碩士班,,,,,,28,,,,,,,,,,,,,,,,,,,,,5,,33
工業管理研究所碩士在職專班,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,36
企業管理學系博士班,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,4
資訊管理學系博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,1,,,,,,,,,,,,,1,,,,,,,,,4,,,,,6
資訊工程學系,,1,,,,,,,,,,,,,1,,,,,,,,,2,,,,,4
通訊工程學系,,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,9
大氣科學學系,1,,1,,,,,48,38,2,,3,,,,1,,,,,,,2,,,75,,,171
地球科學學系,,,,,1,,,25,16,,,1,,,,,,1,1,,,,,,,2,,,47
客家語文暨社會科學學系,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4
客家語文暨社會科學學系客家政治經濟碩士班,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,4
生命科學系,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,3
總合,33,61,93,5,1,251,1,74,55,23,5,9,10,9,10,38,1,37,23,1,4,,4,60,4,78,38,,928
