1071「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,太陽光電與氫能(104二退場),綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,系(所)總合
中國文學系,1,2,4,1,,,5,,,,,1,4,6,,,,4,,,1,1,,,,,30
英美語文學系,6,20,4,4,,,1,,,,,,4,4,,,,,,,1,,,,1,,45
法國語文學系,9,14,2,1,,,12,,,,,2,6,3,,,,1,,,,,,,2,,52
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
歷史研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
數學系,,5,1,,,,,,,,,2,,,,,,,5,,,1,,,,,14
物理學系,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
化學學系,,,,,,,,,,,,,,,,,,1,,,,,,,2,,3
光電科學與工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
理學院學士班,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
統計研究所碩士班,,,,,,,,,,7,,,,,,,,,,,,,7,,,,14
土木工程學系,1,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,5
機械工程學系,,1,,,,,,,1,,,,,,,,,3,,,,,,,5,,10
工學院學士班,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
機械工程學系博士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
化學工程與材料工程學系博士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,31,31,44,,,,,,,,,29,,,,,1,1,,7,,,1,2,,147
資訊管理學系,,6,6,18,,,1,,,,,,16,1,,,,7,,,4,,1,,4,2,66
財務金融學系,,,28,3,,,,,,,,,3,,,,,,,,2,,,,,,36
經濟學系,,25,29,13,,,2,,,,,1,7,1,,,,5,2,,5,,,,,,90
企業管理學系碩士班,,,,53,,,,,,,,,,,,,,,,,8,,,,,,61
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,1,,2,,,,,,3
工業管理研究所碩士班,,,,9,,,,,,,,,,,,,,,,,,,,,,,9
財務金融學系碩士班,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2
會計研究所碩士班,,,,29,,,,,,,,,,,,,,,,,,,,,,,29
工業管理研究所碩士在職專班,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
企業管理學系博士班,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2
電機工程學系,,,,,,,,,,,,,1,,,,,4,,,,,,,1,,6
資訊工程學系,,2,,,,,,,,,,1,,1,,,,1,,,,,2,,2,2,11
通訊工程學系,,,,,,,,,1,,,,,,,,,7,,,,,,,2,1,11
通訊工程學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,2,,,40,25,1,,7,,,,,,,,,,,65,,,,,2,,142
地球科學學系,,,,,39,16,,,,,,,,,,,,,,8,,,,,2,,65
客家語文暨社會科學學系,,,,,,,,,,,,,,1,,,,,,,,,,2,3,,6
法律與政府研究所碩士班,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,3
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
總合,17,109,109,182,79,41,26,,11,8,,8,70,21,,1,,35,9,74,32,2,12,3,30,5,884
