113學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,天文,財務工程,英文MBA,電子商務(EC),華語文教學,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),金融科技,跨領域榮譽,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,法律,人工智慧探索應用,人工智慧工業應用,人工智慧自然語言技術,人工智慧視覺技術,半導體國際,前瞻半導體,系(所)總合
中國文學系,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
英美語文學系,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
法國語文學系,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
機械工程學系,,,,,,,,,,,,,,,,,,,,,,1,,27,,,,,,,,,,,,,,,,,,28
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
工學院學士班,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,,,,13
企業管理學系,,1,1,15,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,20
資訊管理學系,,,,,,,,,,2,,,1,,,6,,,,,,,,,12,3,,,,,,,,,,,,,,,,24
財務金融學系,,,19,4,,,,,,,,,,,,2,,,,,,,,,7,5,,,,,,,,,,,,,,,,37
經濟學系,,,4,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,6
企業管理學系碩士班,,,,8,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,12
會計研究所碩士班,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
國際經營管理碩士學位學程,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3
資訊工程學系,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,4
資訊電機學院學士班,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
大氣科學學系,,,,,18,6,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,33
地球科學學系,,,,,23,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25
地球科學學院學士班,,,,,2,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8
太空科學與工程學系,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,7
總合,,1,25,35,44,9,1,6,,2,2,,23,,13,15,,,,11,1,4,3,39,25,8,,,,2,,5,,,1,,,,,,,275
