96學年度第2學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,企業管理,財務金融,會計,資訊管理,資訊科學,半導體,材料,環境與工業安全,機械設計,工程管理,橋樑工程,水土保持,生物資訊,企業資源規劃,光電,工程防災,軟體工程,積體電路設計,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學,天文,都市環境,財務工程,英文MBA,防災科技,奈米科技,創意,通訊工程,無線電工程,電子商務,系(所)總合
中國文學系,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2
英美語文學系,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3
法國語文學系,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3
物理學系,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2
化學學系,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
生命科學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
土木工程學系,,,,,,,,,,1,,4,,,,,,,,,,,,,3,,,,,,,,,8
機械工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,3
化學工程與材料工程學系,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,8,,,,,12
企業管理學系,,4,3,,,,,,,,,,,21,,,,1,,,,,,,,,,,,,,,1,30
資訊管理學系,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,1,,,22,43
財務金融學系,,,32,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,34
經濟學系,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
企業管理學系碩士班,,,,,,,,,,,,,,12,,,,,,,,,,,,,5,,,,,,,17
資訊管理學系碩士班,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,3
工業管理研究所碩士班,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,9
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,9
工業管理研究所碩士在職專班,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12
電機工程學系,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,2,,32
資訊工程學系,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
資訊工程學系碩士班,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
資訊工程學系博士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,14
地球科學學系,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,18
總合,1,9,36,,,,2,,,1,,4,,78,,,4,31,20,12,14,,,1,3,10,7,,10,1,,2,24,270
