101學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,奈米科技,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,3,,2,,,,,,,,,,,,,2,,,4,,,,,,,,11
英美語文學系,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,5
法國語文學系,4,1,1,,,,,,,,,,,,,1,2,,1,,,,,,,1,11
英美語文學系碩士班,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
法國語文學系碩士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
數學系,,1,,1,,,,,,,,,,,,2,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,,,,4,,,,,,,,,,,,,,4
土木工程學系,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2
土木工程學系博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,1,7,,,26,,,,5,,,,,,,2,,1,,,,,,,,42
資訊管理學系,,,2,,,18,,,,,,,,,,,15,,1,,,,,,,8,44
財務金融學系,,,42,,,2,,,,1,,,,,,,,,,,,,,,,,45
經濟學系,,,4,,,3,,,,,,,,,,,1,,,,,,1,,,,9
企業管理學系碩士班,,,,,,36,,,,,,,,4,,,,,,,,,,,,,40
工業管理研究所碩士班,,,,,,11,,,,,,,,,,,,,,,,,,,,,11
財務金融學系碩士班,,,1,,,,,,,,,,4,,,,,,,,,,,,,,5
會計研究所碩士班,,,,,,16,,,,,,,,,,,,,,,,,,,,,16
電機工程學系,,,,,,,,,,,,,,,,1,,,,,,,,,,3,4
資訊工程學系,,,,,,1,,,,,,,,,,,,,,,,,,,,5,6
通訊工程學系,2,,,,,3,,,,,,,,,,,,,,,,,,,,2,7
網路學習科技研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
大氣科學學系,,1,,,,,,19,32,,,,,,,,,,,,,,,,,,52
地球科學學系,,,,,,,,4,6,,,,,,,,,,,,,,,,,,10
客家語文研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
客家政治經濟研究所碩士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
總合,12,4,59,1,,117,,23,38,6,4,,8,4,,7,22,,10,,,,1,,,20,336
