103學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,系(所)總合
中國文學系,2,1,,,,,,1,,,,,,,,2,,,,,,,,,,,6
英美語文學系,5,2,1,,,,,1,,,,,,,,,,,,,,3,,,,,12
法國語文學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
中國文學系碩士班,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
物理學系,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
土木工程學系,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
機械工程學系,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
化學工程與材料工程學系,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
企業管理學系,,1,2,18,,,,1,,,,,,,,,1,,,,,2,,,2,,27
資訊管理學系,,3,1,4,1,,,1,,,,,,12,,1,,,,,,3,,,,,26
財務金融學系,,,14,,,,,,,,,,,,,,,,,,,1,,,,,15
經濟學系,,2,4,3,,,,,,,,,,,,,,,,,,5,,,2,,16
工業管理研究所碩士班,,,,,,,,,,,,27,,,,,,,,,,,,,,,27
財務金融學系碩士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
會計研究所碩士班,,,,14,,,,,,,,,,,,,,,,,,,,,,,14
企業管理學系博士班,,,,2,,,,,,,,,,,,,,,,,,,,,1,,3
電機工程學系,,,,,,,,,,,,,,,,,,,,,,3,,,,,3
資訊工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,6,,,,,6
大氣科學學系,,,,,,7,8,,,,,,,1,,,,,,,,,,2,,,18
地球科學學系,,,,,,4,,,,,,,1,,,,,,,,,,,,,,5
總合,8,11,22,41,1,11,8,6,,1,4,27,2,13,,3,2,,,,,23,2,2,5,,192
