106學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,,,1,,,,1,,1,,,1,,1,,,1,,,,,,,,6
英美語文學系,3,10,,3,,,,,,,,,1,,,,,,,1,,,,,18
法國語文學系,,2,,,,,,,,,,1,2,,,,,,,,,,,1,6
數學系,,4,,,,,,,,,,2,,,,,,7,,,1,,,,14
理學院學士班,,,,,,,,,,,,,,1,,,,,,,,,,,1
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,1
統計研究所碩士班,,,,,,,,,,12,,,,,,,,,,,,2,,,14
機械工程學系,,1,,,,,,,,,,,,,,,2,,,,,,,,3
企業管理學系,,10,8,12,,,,,,,,,10,,,,1,,,2,,,1,,44
資訊管理學系,,2,1,4,,,,,,,,,8,1,,,4,,,1,,,,,21
財務金融學系,,,11,2,,,,,,,,,,,,,,,,1,,,,,14
經濟學系,,3,6,2,,,,,,,,,3,1,,,3,1,,2,,,,,21
企業管理學系碩士班,,,,24,,,,,,,,,,,,,,,,1,,,,,25
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,1,,,,,,,1
工業管理研究所碩士班,,,,7,,,,,,,,,,,,,,,,,,,,,7
財務金融學系碩士班,,,,,,,,,,2,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,13,,,,,,,,,,,,,,,,,,,,,13
企業管理學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,1,,,,,,,,,,,,1
資訊工程學系,,,,,,,,,,,,,,1,,,1,,,,,1,,,3
通訊工程學系,,,,,,,,,,,,,,,,,2,,,,,,,,2
大氣科學學系,,1,,,13,6,,,2,,,,,,,,,,29,,,,,,51
地球科學學系,,,,,6,9,,,,,,,,,,,,,3,,,,,,18
客家語文暨社會科學學系,,,,,,,,,,,,,,,1,,,,,,,,1,,2
法律與政府研究所碩士班,,,2,,,,,,,,,,,,,,,,,,,,,,2
總合,3,33,29,68,19,15,1,,3,14,,4,25,5,1,,14,9,32,8,1,4,2,1,291
