107學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,系(所)總合
中國文學系,,1,,,,,1,,,,,,,,,,,,,,,,,,,2
英美語文學系,1,,,,,,,,,,,,1,,,,,,,,,,,,,2
法國語文學系,,1,1,,,,5,,,,,,,2,,,,,,,,,,,,9
數學系,,,,,,,,,,,,,,,,,,3,,,,,,,,3
物理學系,,,,,,,,,2,,,,,,,,,,,,,,,,,2
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,1
企業管理學系,,4,10,14,,,,,,,,,9,,,,1,,,3,,,,,,41
資訊管理學系,,,,13,,,,,,,,,12,,,,,,,1,,,,1,,27
財務金融學系,,,15,1,,,,,,,,,1,,,,,,,4,,,,,,21
經濟學系,,2,2,,,,,,,,,,,,,,,,,,,,,,,4
企業管理學系碩士班,,,,4,,,,,,,,,,,,,,,,5,,,,,,9
工業管理研究所碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
經濟學系碩士班,,,,,,,,,,,,,,,,,,,,5,,,,,,5
電機工程學系,,,1,,,,,,1,,,,,,,,,,,,,,,1,,3
資訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,1,,2
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,1
資訊電機學院學士班,,,,,,,,,,,,,,,,,21,,,,,,,,,21
大氣科學學系,,,,,10,5,,,1,,,,,,,,,,9,,,,,,,25
地球科學學系,,,,,12,11,,,,,,,,,,,,,3,,,,,,,26
客家語文暨社會科學學系,,,,,,,,,,,,,,,1,,,,,,,,,1,,2
總合,1,8,29,33,22,16,6,,4,,,,23,2,1,,23,3,12,18,,,,6,,207
