109學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,系(所)總合
中國文學系,,,2,1,,,2,,,,,,1,,1,,1,,,2,,,,,,,,2,,1,,,,,,13
英美語文學系,2,1,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,2,,,,1,,12
法國語文學系,,3,2,,,,1,,,,,,,4,,,,,,,,,,,,1,,1,,3,,,,,,15
文學院學士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,3
數學系,,4,,,,,,,,,,,,,,,,3,,,,,,,3,,,,2,,,,1,,,13
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2
化學學系,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,2
統計研究所碩士班,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,9
土木工程學系,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,48,,,,,,,52
機械工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,25,,,,,,,29
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
企業管理學系,,7,18,24,,,,,,,,,16,,,,,,,5,,,,,,2,,6,,14,,,1,,4,97
資訊管理學系,,3,1,,,,,,,,,,6,,,,,,,2,,,,,2,,,,,3,,,1,,,18
財務金融學系,,,21,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,25
經濟學系,,,6,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,8
企業管理學系碩士班,,,,24,,,,,,,2,,,,,1,,,,10,,,,,,,,,,,,,,,,37
資訊管理學系碩士班,,,,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,12
工業管理研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
經濟學系碩士班,,,,11,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,26
會計研究所碩士班,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
資訊工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,7
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
資訊電機學院學士班,,,,,,,,,,,,,,,,,23,,,,,,,,1,,,,,,,,,,,24
大氣科學學系,1,1,,1,13,11,,,5,,,,1,,,,1,,15,,,,,,,,2,,15,,,,,,,66
地球科學學系,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
地球科學學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
客家語文暨社會科學學系,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,4
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,11
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,26
總合,3,23,51,83,20,12,6,,5,5,2,,29,4,1,1,31,3,15,43,,8,1,1,8,4,6,9,143,25,,2,4,1,5,554
