099學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,企業管理,財務金融,會計,資訊管理,材料,水土保持,企業資源規劃,光電,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,都市環境,財務工程,英文MBA,奈米科技,創意,電子商務(EC),嵌入式系統,華語文教學,RFID物流與供應鏈,世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,1,8
英美語文學系,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,4
法國語文學系,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,6
英美語文學系碩士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
物理學系,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,7
機械工程學系,1,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,5
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
企業管理學系,,1,1,1,,,11,,,,,,,,,,,,,2,,,2,,,,,,,1,19
資訊管理學系,,1,3,,,,13,,,,,,,,,,,,,14,,,,,,,,,,5,36
財務金融學系,,,4,2,,,11,,,,,,,,,,,,,2,,,1,,,,,,,1,21
經濟學系,,,1,,,,3,,,,,1,,,,,,,1,,,,,1,,,,,,1,8
產業經濟研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
人力資源管理研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5
會計研究所碩士班,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
資訊工程學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
通訊工程學系,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
資訊工程學系碩士班,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,21
地球科學學系,,,,,,,,,,7,12,,,,,,,,,,,,,,,,,,,,19
總合,3,2,9,4,,,46,,2,9,31,9,1,1,,12,,,3,19,,5,3,2,,2,,,,16,179
