表4-1  科系別學生人數統計 依據99/10/15在學學生人數統計（不含休學及交換生）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
99,0008,國立中央大學,,,TOTAL,全校班級,12403,8476,3927,2580,1147,2452,1160,1510,784,1276,679,153,28,121,33,101,24,283,72
99,0008,國立中央大學,D,,SUBT1,學士班           共計,6090,4011,2079,1027,493,999,517,932,510,859,507,0,0,0,0,0,0,194,52
99,0008,國立中央大學,D,B,220201,    中國文學系,236,29,207,9,53,5,51,7,45,4,48,0,0,0,0,0,0,4,10
99,0008,國立中央大學,D,B,220310,    英美語文學系,225,39,186,12,43,8,48,10,43,7,45,0,0,0,0,0,0,2,7
99,0008,國立中央大學,D,B,220314,    法國語文學系,204,40,164,18,33,7,47,6,44,8,36,0,0,0,0,0,0,1,4
99,0008,國立中央大學,D,B,460101,    數學系,277,217,60,53,14,45,15,57,13,44,14,0,0,0,0,0,0,18,4
99,0008,國立中央大學,D,B,440301,    物理學系,218,197,21,51,4,48,7,42,6,50,4,0,0,0,0,0,0,6,0
99,0008,國立中央大學,D,B,440101,    化學學系,192,132,60,37,11,26,19,27,14,29,14,0,0,0,0,0,0,13,2
99,0008,國立中央大學,D,B,420103,    生命科學系,166,91,75,21,18,26,17,21,19,17,20,0,0,0,0,0,0,6,1
99,0008,國立中央大學,D,B,520106,    光電科學與工程學系,179,155,24,34,6,40,8,39,5,36,5,0,0,0,0,0,0,6,0
99,0008,國立中央大學,D,B,449999,    理學院學士班,53,46,7,20,3,17,3,9,1,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,B,520301,    土木工程學系,419,342,77,96,19,86,23,82,15,68,17,0,0,0,0,0,0,10,3
99,0008,國立中央大學,D,B,520201,    機械工程學系,646,580,66,157,10,150,11,125,22,125,20,0,0,0,0,0,0,23,3
99,0008,國立中央大學,D,B,520403,    化學工程與材料工程學系,223,160,63,38,16,41,18,34,16,37,11,0,0,0,0,0,0,10,2
99,0008,國立中央大學,D,B,340301,    企業管理學系,474,183,291,43,70,43,67,44,73,43,76,0,0,0,0,0,0,10,5
99,0008,國立中央大學,D,B,480109,    資訊管理學系,427,252,175,69,39,55,50,65,39,53,45,0,0,0,0,0,0,10,2
99,0008,國立中央大學,D,B,340501,    財務金融學系,259,112,147,24,37,28,37,26,35,28,36,0,0,0,0,0,0,6,2
99,0008,國立中央大學,D,B,310101,    經濟學系,247,113,134,27,34,35,28,25,34,25,35,0,0,0,0,0,0,1,3
99,0008,國立中央大學,D,B,520101,    電機工程學系,464,410,54,93,9,103,16,99,16,90,12,0,0,0,0,0,0,25,1
99,0008,國立中央大學,D,B,520114,    資訊工程學系,452,358,94,79,29,88,20,91,19,80,24,0,0,0,0,0,0,20,2
99,0008,國立中央大學,D,B,520126,    通訊工程學系,223,183,40,42,14,45,6,43,10,42,10,0,0,0,0,0,0,11,0
99,0008,國立中央大學,D,B,440401,    大氣科學學系,290,223,67,62,15,63,12,45,22,43,18,0,0,0,0,0,0,10,0
99,0008,國立中央大學,D,B,440201,    地球科學學系,216,149,67,42,16,40,14,35,19,30,17,0,0,0,0,0,0,2,1
99,0008,國立中央大學,D,M,SUBT2,碩士班           共計,3240,2137,1103,970,444,876,433,208,140,79,86,0,0,0,0,0,0,4,0
99,0008,國立中央大學,D,M,449904,    遙測科技碩士學位學程,18,14,4,7,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0
