1072(依據108/03/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
107,8,國立中央大學,,,TOTAL,全校班級,11469,7486,3983,2377,1232,2230,1249,1341,740,1118,631,247,82,86,25,85,23,2,1,188,55
107,8,國立中央大學,D,1,SUBT1,學士班           共計,5905,3766,2139,909,553,926,529,906,522,890,503,110,28,24,4,1,0,0,0,135,32
107,8,國立中央大學,D,D,220201,    中國文學系,197,39,158,12,39,5,43,10,35,10,36,1,5,1,0,0,0,0,0,2,5
107,8,國立中央大學,D,D,220310,    英美語文學系,212,39,173,9,42,14,42,7,43,6,44,1,2,2,0,0,0,0,0,3,2
107,8,國立中央大學,D,D,220314,    法國語文學系,205,41,164,14,35,5,46,9,40,8,39,5,4,0,0,0,0,0,0,5,4
107,8,國立中央大學,D,D,460101,    數學系,295,232,63,56,18,65,10,48,18,52,16,11,1,0,0,0,0,0,0,11,1
107,8,國立中央大學,D,D,440301,    物理學系,198,167,31,33,10,43,6,40,9,44,6,6,0,1,0,0,0,0,0,7,0
107,8,國立中央大學,D,D,440101,    化學學系,167,106,61,24,17,27,16,24,18,26,10,4,0,1,0,0,0,0,0,5,0
107,8,國立中央大學,D,D,520106,    光電科學與工程學系,171,128,43,23,16,30,12,37,4,32,11,5,0,0,0,1,0,0,0,6,0
107,8,國立中央大學,D,D,449999,    理學院學士班,74,50,24,13,8,14,3,10,5,11,7,2,1,0,0,0,0,0,0,2,1
107,8,國立中央大學,D,D,520301,    土木工程學系,358,299,59,79,13,81,15,64,15,66,16,6,0,3,0,0,0,0,0,9,0
107,8,國立中央大學,D,D,520201,    機械工程學系,563,489,74,111,21,115,18,127,20,117,15,16,0,3,0,0,0,0,0,19,0
107,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,204,139,65,30,16,39,15,38,18,30,16,2,0,0,0,0,0,0,0,2,0
107,8,國立中央大學,D,D,529999,    工學院學士班,26,21,5,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,D,340301,    企業管理學系,411,163,248,43,66,43,52,26,66,45,60,5,4,1,0,0,0,0,0,6,4
107,8,國立中央大學,D,D,480109,    資訊管理學系,413,228,185,56,47,54,46,55,51,54,37,8,4,1,0,0,0,0,0,9,4
107,8,國立中央大學,D,D,340501,    財務金融學系,254,101,153,22,38,23,40,29,35,25,39,1,1,1,0,0,0,0,0,2,1
107,8,國立中央大學,D,D,310101,    經濟學系,253,139,114,32,23,39,23,30,33,33,31,4,2,1,2,0,0,0,0,5,4
107,8,國立中央大學,D,D,520101,    電機工程學系,417,350,67,73,16,95,18,94,14,80,19,6,0,2,0,0,0,0,0,8,0
107,8,國立中央大學,D,D,520114,    資訊工程學系,464,361,103,80,22,83,31,99,27,95,23,3,0,1,0,0,0,0,0,4,0
107,8,國立中央大學,D,D,520126,    通訊工程學系,193,148,45,29,9,32,16,41,9,35,10,9,1,2,0,0,0,0,0,11,1
107,8,國立中央大學,D,D,520199,    資訊電機學院學士班,21,17,4,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,D,440401,    大氣科學學系,286,210,76,51,20,51,20,49,19,52,16,6,0,1,1,0,0,0,0,7,1
107,8,國立中央大學,D,D,440201,    地球科學學系,193,131,62,37,20,33,12,26,14,31,15,3,0,1,1,0,0,0,0,4,1
107,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,83,34,49,9,21,9,9,9,7,6,10,1,2,0,0,0,0,0,0,1,2
107,8,國立中央大學,D,D,420103,    生命科學系,158,84,74,24,16,17,18,16,18,20,21,5,1,2,0,0,0,0,0,7,1
107,8,國立中央大學,D,D,521116,    生醫科學與工程學系,89,50,39,11,11,9,18,18,4,12,6,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,2,SUBT2,碩士班           共計,3277,2168,1109,986,482,909,456,198,113,74,57,1,1,0,0,0,0,0,0,1,1
107,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,28,14,14,7,6,4,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,220201,    中國文學系碩士班,54,19,35,8,10,6,6,2,11,3,8,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,220310,    英美語文學系碩士班,24,8,16,3,5,2,7,1,0,2,4,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,220314,    法國語文學系碩士班,16,6,10,3,2,2,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,221101,    哲學研究所碩士班,26,16,10,5,3,4,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,220901,    歷史研究所碩士班,30,11,19,1,4,5,4,2,4,3,6,0,1,0,0,0,0,0,0,0,1
107,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,25,6,19,3,4,2,5,0,5,1,5,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,34,7,27,4,8,2,9,1,5,0,5,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),11,3,8,1,3,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,460101,    數學系碩士班,56,34,22,14,12,16,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,440301,    物理學系碩士班,80,65,15,35,6,20,6,8,3,2,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,440101,    化學學系碩士班,125,77,48,39,23,35,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,460201,    統計研究所碩士班,46,34,12,15,6,19,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,135,118,17,60,6,40,9,14,1,4,1,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,440601,    天文研究所碩士班,24,16,8,1,4,9,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,16,13,3,3,2,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520301,    土木工程學系碩士班,183,138,45,68,20,63,22,5,2,2,1,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520201,    機械工程學系碩士班,233,206,27,94,10,81,14,23,3,8,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,133,100,33,53,13,45,18,1,2,1,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,30,17,13,8,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,71,43,28,14,15,17,9,10,4,2,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,65,60,5,24,2,28,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,50,40,10,17,5,20,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,45,35,10,17,6,15,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,6,4,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,340301,    企業管理學系碩士班,120,57,63,25,31,29,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,114,71,43,34,21,35,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,61,27,34,9,15,11,15,3,2,4,2,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,67,36,31,17,18,17,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,56,13,43,5,22,6,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0
