107學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3347,2168,1179,2049,1091,30,15,89,73
,8,國立中央大學,N,,SUBT1,學士班           共計,1390,875,515,848,499,24,12,3,4
,8,國立中央大學,N,,220201,中國文學系,50,14,36,12,35,1,1,1,
,8,國立中央大學,N,,220310,英美語文學系,58,8,50,8,48,,2,,
,8,國立中央大學,N,,220314,法國語文學系,51,14,37,14,36,,1,,
,8,國立中央大學,N,,460101,數學系,61,44,17,44,17,,,,
,8,國立中央大學,N,,440301,物理學系,50,43,7,41,7,2,,,
,8,國立中央大學,N,,440101,化學學系,34,25,9,25,9,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系,43,31,12,31,11,,1,,
,8,國立中央大學,N,,449999,理學院學士班,16,9,7,9,7,,,,
,8,國立中央大學,N,,520301,土木工程學系,84,68,16,62,16,5,,1,
,8,國立中央大學,N,,520201,機械工程學系,125,111,14,111,14,,,,
,8,國立中央大學,N,,520403,化學工程與材料工程學系,47,30,17,29,16,1,1,,
,8,國立中央大學,N,,340301,企業管理學系,106,42,64,41,62,1,1,,1
,8,國立中央大學,N,,480109,資訊管理學系,95,58,37,55,37,3,,,
,8,國立中央大學,N,,340501,財務金融學系,62,22,40,21,38,,,1,2
,8,國立中央大學,N,,310101,經濟學系,68,33,35,29,34,4,1,,
,8,國立中央大學,N,,520101,電機工程學系,96,78,18,77,18,1,,,
,8,國立中央大學,N,,520114,資訊工程學系,105,84,21,83,20,1,,,1
,8,國立中央大學,N,,520126,通訊工程學系,55,44,11,42,11,2,,,
,8,國立中央大學,N,,440401,大氣科學學系,68,49,19,48,18,1,1,,
,8,國立中央大學,N,,440201,地球科學學系,46,31,15,29,14,2,1,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系,12,4,8,4,8,,,,
,8,國立中央大學,N,,420103,生命科學系,40,21,19,21,17,,2,,
,8,國立中央大學,N,,521116,生醫科學與工程學系,18,12,6,12,6,,,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1364,923,441,854,378,5,3,64,60
,8,國立中央大學,N,,449904,遙測科技碩士學位學程,15,8,7,4,4,,,4,3
,8,國立中央大學,N,,220201,中國文學系碩士班,15,6,9,4,6,,2,2,1
,8,國立中央大學,N,,220310,英美語文學系碩士班,3,0,3,,3,,,,
,8,國立中央大學,N,,220314,法國語文學系碩士班,4,0,4,,3,,,,1
,8,國立中央大學,N,,221101,哲學研究所碩士班,2,2,0,2,,,,,
,8,國立中央大學,N,,220901,歷史研究所碩士班,7,2,5,2,5,,,,
,8,國立中央大學,N,,210701,藝術學研究所碩士班,5,1,4,1,4,,,,
,8,國立中央大學,N,,140111,學習與教學研究所碩士班,6,1,5,1,5,,,,
,8,國立中央大學,N,,229916,亞際文化研究國際碩士學位學程(台灣聯合大學系統),3,1,2,1,1,,,,1
,8,國立中央大學,N,,460101,數學系碩士班,28,17,11,17,11,,,,
,8,國立中央大學,N,,440301,物理學系碩士班,32,24,8,23,6,,,1,2
,8,國立中央大學,N,,440101,化學學系碩士班,59,34,25,32,24,,,2,1
,8,國立中央大學,N,,460201,統計研究所碩士班,27,20,7,18,7,,,2,
,8,國立中央大學,N,,520106,光電科學與工程學系碩士班,47,38,9,37,8,,,1,1
,8,國立中央大學,N,,440601,天文研究所碩士班,10,10,0,9,,1,,,
,8,國立中央大學,N,,440301,物理學系生物物理碩士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系照明與顯示科技碩士班,10,9,1,9,1,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士班,86,64,22,63,19,,,1,3
,8,國立中央大學,N,,520201,機械工程學系碩士班,105,91,14,88,10,,,3,4
,8,國立中央大學,N,,520403,化學工程與材料工程學系碩士班,63,43,20,43,17,,,,3
,8,國立中央大學,N,,349927,營建管理研究所碩士班,16,9,7,5,6,,,4,1
,8,國立中央大學,N,,520901,環境工程研究所碩士班,22,13,9,13,8,,,,1
,8,國立中央大學,N,,520201,機械工程學系光機電工程碩士班,28,26,2,25,2,,,1,
,8,國立中央大學,N,,521309,能源工程研究所碩士班,27,22,5,22,4,,,,1
,8,國立中央大學,N,,520502,材料科學與工程研究所碩士班,17,14,3,14,3,,,,
,8,國立中央大學,N,,520527,應用材料科學國際研究生碩士學位學程,2,1,1,,,,,1,1
,8,國立中央大學,N,,340301,企業管理學系碩士班,49,28,21,24,19,1,,3,2
,8,國立中央大學,N,,480109,資訊管理學系碩士班,58,38,20,36,20,1,,1,
,8,國立中央大學,N,,310104,產業經濟研究所碩士班,20,12,8,12,8,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士班,27,14,13,13,11,,,1,2
,8,國立中央大學,N,,349919,人力資源管理研究所碩士班,22,6,16,5,14,,,1,2
,8,國立中央大學,N,,340501,財務金融學系碩士班,32,19,13,17,13,,,2,
,8,國立中央大學,N,,310101,經濟學系碩士班,13,5,8,5,8,,,,
,8,國立中央大學,N,,340201,會計研究所碩士班,15,5,10,4,9,,,1,1
,8,國立中央大學,N,,520101,電機工程學系碩士班,108,95,13,94,13,,,1,
,8,國立中央大學,N,,520114,資訊工程學系碩士班,119,83,36,70,29,,,13,7
,8,國立中央大學,N,,520126,通訊工程學系碩士班,43,32,11,31,11,1,,,
,8,國立中央大學,N,,140805,網路學習科技研究所碩士班,26,17,9,14,7,,,3,2
,8,國立中央大學,N,,520114,資訊工程學系軟體工程碩士班,11,10,1,10,1,,,,
,8,國立中央大學,N,,440401,大氣科學學系大氣物理碩士班,22,17,5,17,4,,,,1
,8,國立中央大學,N,,440201,地球科學學系地球物理碩士班,24,16,8,13,6,,,3,2
,8,國立中央大學,N,,440603,太空科學研究所碩士班,13,11,2,11,2,,,,
,8,國立中央大學,N,,440204,應用地質研究所碩士班,24,13,11,8,8,,,5,3
,8,國立中央大學,N,,440207,水文與海洋科學研究所碩士班,7,4,3,4,3,,,,
,8,國立中央大學,N,,380103,法律與政府研究所碩士班,12,6,6,5,6,1,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家社會文化碩士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家語文碩士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家政治經濟碩士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,420103,生命科學系碩士班,30,10,20,10,13,,,,7
,8,國立中央大學,N,,310510,認知神經科學研究所碩士班,10,1,9,,6,,1,1,2
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊碩士班,11,7,4,7,4,,,,
,8,國立中央大學,N,,521108,生醫科學與工程學系生物醫學工程碩士班,20,12,8,5,3,,,7,5
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,455,263,192,262,191,,,1,1
,8,國立中央大學,N,,220201,中國文學系碩士在職專班,1,0,1,,1,,,,
,8,國立中央大學,N,,221101,哲學研究所碩士在職專班,3,3,0,3,,,,,
,8,國立中央大學,N,,220901,歷史研究所碩士在職專班,8,4,4,4,4,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系碩士在職專班,12,10,2,10,2,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士在職專班,22,18,4,18,4,,,,
,8,國立中央大學,N,,520201,機械工程學系碩士在職專班,26,23,3,23,3,,,,
,8,國立中央大學,N,,349927,營建管理研究所碩士在職專班,12,8,4,8,4,,,,
,8,國立中央大學,N,,520901,環境工程研究所碩士在職專班,20,15,5,15,5,,,,
,8,國立中央大學,N,,520911,國際永續發展碩士在職專班,2,1,1,,,,,1,1
,8,國立中央大學,N,,349939,管理學院高階主管企管碩士班,75,52,23,52,23,,,,
,8,國立中央大學,N,,340301,企業管理學系碩士在職專班,36,15,21,15,21,,,,
,8,國立中央大學,N,,480109,資訊管理學系碩士在職專班,33,22,11,22,11,,,,
,8,國立中央大學,N,,310104,產業經濟研究所碩士在職專班,25,11,14,11,14,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士在職專班,28,16,12,16,12,,,,
,8,國立中央大學,N,,349919,人力資源管理研究所碩士在職專班,30,8,22,8,22,,,,
,8,國立中央大學,N,,340501,財務金融學系碩士在職專班,27,6,21,6,21,,,,
,8,國立中央大學,N,,340201,會計研究所企業資源規劃會計碩士在職專班,17,2,15,2,15,,,,
,8,國立中央大學,N,,520114,資訊工程學系碩士在職專班,32,26,6,26,6,,,,
,8,國立中央大學,N,,520126,通訊工程學系碩士在職專班,17,15,2,15,2,,,,
,8,國立中央大學,N,,140805,網路學習科技研究所碩士在職專班,11,5,6,5,6,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究碩士在職專班,18,3,15,3,15,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,137,106,31,84,23,1,0,21,8
,8,國立中央大學,N,,220201,中國文學系博士班,9,3,6,2,5,,,1,1
,8,國立中央大學,N,,221101,哲學研究所博士班,6,3,3,3,3,,,,
,8,國立中央大學,N,,140111,學習與教學研究所博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,440301,物理學系博士班,6,5,1,4,,,,1,1
,8,國立中央大學,N,,440101,化學學系博士班,4,4,0,2,,,,2,
,8,國立中央大學,N,,520106,光電科學與工程學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,440601,天文研究所博士班,2,1,1,1,,,,,1
,8,國立中央大學,N,,520301,土木工程學系博士班,3,2,1,1,1,,,1,
,8,國立中央大學,N,,520201,機械工程學系博士班,5,5,0,3,,,,2,
,8,國立中央大學,N,,520403,化學工程與材料工程學系博士班,6,5,1,4,1,,,1,
,8,國立中央大學,N,,349927,營建管理研究所博士班,4,4,0,3,,,,1,
,8,國立中央大學,N,,520901,環境工程研究所博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,,520201,機械工程學系光機電工程博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,521309,能源工程研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520502,材料科學與工程研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,340301,企業管理學系博士班,21,12,9,9,6,,,3,3
,8,國立中央大學,N,,480109,資訊管理學系博士班,4,2,2,2,2,,,,
,8,國立中央大學,N,,349919,人力資源管理研究所博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,310101,經濟學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520101,電機工程學系博士班,5,5,0,4,,,,1,
,8,國立中央大學,N,,520114,資訊工程學系博士班,12,11,1,9,,,,2,1
,8,國立中央大學,N,,520126,通訊工程學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,140805,網路學習科技研究所博士班,3,2,1,2,,,,,1
,8,國立中央大學,N,,440401,大氣科學學系大氣物理博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,440201,地球科學學系地球物理博士班,3,2,1,1,1,1,,,
,8,國立中央大學,N,,440603,太空科學研究所博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,440204,應用地質研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,440207,水文與海洋科學研究所博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,,440213,地球系統科學國際研究生博士學位學程,3,3,0,1,,,,2,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,420103,生命科學系博士班,8,8,0,8,,,,,
,8,國立中央大學,N,,310510,認知神經科學研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊博士班,5,5,0,4,,,,1,
,8,國立中央大學,N,,SUBT5,產業研發碩士專班           共計,1,1,0,1,0,,,,
,8,國立中央大學,N,,520188,光電科學與工程學系光電產業碩士專班,1,1,0,1,,,,,
