表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十五        學年度,,,,,,,,,,,,,,,,
學年報：根據04月19日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
碩士在職進修專班小計,,1290,921,369,359,158,345,133,138,47,55,27,24,4,,,,,,
文學院,,210,66,144,19,44,22,47,14,35,8,17,3,1,,,,,,
    中國文學系碩士在職專班,  ,79,9,70,2,22,3,24,2,18,2,6,,,,,,,,
    哲學研究所碩士在職專班,  ,44,19,25,4,6,4,8,5,5,3,5,3,1,,,,,,
    歷史研究所碩士在職專班,  ,87,38,49,13,16,15,15,7,12,3,6,,,,,,,,
理學院,,52,48,4,13,2,15,,10,,6,1,4,1,,,,,,
    光電科學研究所碩士在職專班,  ,52,48,4,13,2,15,,10,,6,1,4,1,,,,,,
工學院,,220,195,25,75,16,75,8,29,,11,1,5,,,,,,,
    土木工程學系碩士在職專班,  ,72,65,7,25,5,24,2,5,,6,,5,,,,,,,
    機械工程學系碩士在職專班,  ,71,69,2,29,,22,1,16,,2,1,,,,,,,,
    環境工程研究所碩士在職專班,  ,70,56,14,19,9,26,5,8,,3,,,,,,,,,
    國際永續發展碩士在職專班,  ,7,5,2,2,2,3,,,,,,,,,,,,,
管理學院,,541,385,156,164,69,154,71,44,9,15,5,8,2,,,,,,
    管理學院高階主管企管碩士班,  ,141,117,24,54,11,51,12,6,1,4,,2,,,,,,,
    企業管理學系碩士在職專班,  ,76,50,26,21,9,13,13,7,2,5,1,4,1,,,,,,
    資訊管理學系碩士在職專班,  ,62,53,9,26,3,26,5,1,1,,,,,,,,,,
    產業經濟研究所碩士在職專班,  ,65,44,21,11,11,16,8,17,2,,,,,,,,,,
    工業管理研究所碩士在職專班,  ,72,57,15,22,7,22,6,11,2,2,,,,,,,,,
    人力資源管理研究所碩士在職專班,  ,55,21,34,12,17,7,17,1,,,,1,,,,,,,
    財務金融學系碩士在職專班,  ,70,43,27,18,11,19,10,1,1,4,4,1,1,,,,,,
資訊電機學院,,238,216,22,77,9,79,7,41,3,15,3,4,,,,,,,
    電機工程學系碩士在職專班,  ,56,50,6,24,5,26,1,,,,,,,,,,,,
    資訊工程學系碩士在職專班,  ,88,74,14,26,4,24,6,12,3,8,1,4,,,,,,,
    通訊工程學系碩士在職專班,  ,94,92,2,27,,29,,29,,7,2,,,,,,,,
地球科學學院,,0,0,0,,,,,,,,,,,,,,,,
客家學院,,29,11,18,11,18,,,,,,,,,,,,,,
    客家政治經濟與政策研究所碩士在職專班,  ,29,11,18,11,18,,,,,,,,,,,,,,
