表5-1A  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
學年度 ,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生,,
 2碼,4碼,(中文),1碼,1碼,6碼,(中文),計,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M1,F1
96,0008,國立中央大學,D,B,TOTAL,全校班級,3062,2119,943
96,0008,國立中央大學,D,B,SUBT1,學士班           共計,1301,850,451
96,0008,國立中央大學,D,B,220201,中國文學系,51,6,45
96,0008,國立中央大學,D,B,220310,英美語文學系,46,4,42
96,0008,國立中央大學,D,B,220314,法國語文學系,35,4,31
96,0008,國立中央大學,D,B,460101,數學系,86,69,17
96,0008,國立中央大學,D,B,440301,物理學系,60,51,9
96,0008,國立中央大學,D,B,440101,化學學系,36,26,10
96,0008,國立中央大學,D,B,420103,生命科學系,35,23,12
96,0008,國立中央大學,D,B,520301,土木工程學系,67,44,23
96,0008,國立中央大學,D,B,520201,機械工程學系,133,117,16
96,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,62,49,13
96,0008,國立中央大學,D,B,340301,企業管理學系,116,57,59
96,0008,國立中央大學,D,B,480109,資訊管理學系,113,71,42
96,0008,國立中央大學,D,B,340501,財務金融學系,65,32,33
96,0008,國立中央大學,D,B,310101,經濟學系,54,31,23
96,0008,國立中央大學,D,B,520101,電機工程學系,107,93,14
96,0008,國立中央大學,D,B,520114,資訊工程學系,92,75,17
96,0008,國立中央大學,D,B,520126,通訊工程學系,57,42,15
96,0008,國立中央大學,D,B,440401,大氣科學學系,46,33,13
96,0008,國立中央大學,D,B,440201,地球科學學系,40,23,17
96,0008,國立中央大學,D,M,SUBT2,碩士班           共計,1142,824,318
96,0008,國立中央大學,D,M,220201,中國文學系碩士班,16,4,12
96,0008,國立中央大學,D,M,220310,英美語文學系碩士班,10,3,7
96,0008,國立中央大學,D,M,220314,法國語文學系碩士班,1,0,1
96,0008,國立中央大學,D,M,221101,哲學研究所碩士班,4,3,1
96,0008,國立中央大學,D,M,220901,歷史研究所碩士班,7,4,3
96,0008,國立中央大學,D,M,210701,藝術學研究所碩士班,9,3,6
96,0008,國立中央大學,D,M,140111,學習與教學研究所碩士班,11,2,9
96,0008,國立中央大學,D,M,460101,數學系碩士班,34,25,9
96,0008,國立中央大學,D,M,440301,物理學系碩士班,27,19,8
96,0008,國立中央大學,D,M,440101,化學學系碩士班,48,30,18
96,0008,國立中央大學,D,M,420103,生命科學系碩士班,13,8,5
96,0008,國立中央大學,D,M,460201,統計研究所碩士班,23,13,10
96,0008,國立中央大學,D,M,520108,光電科學與工程學系碩士班,59,52,7
96,0008,國立中央大學,D,M,310510,認知與神經科學研究所碩士班,7,3,4
96,0008,國立中央大學,D,M,440601,天文研究所碩士班,7,6,1
96,0008,國立中央大學,D,M,440304,生物物理研究所碩士班,2,2,0
96,0008,國立中央大學,D,M,420604,生物資訊與系統生物研究所碩士班,12,8,4
96,0008,國立中央大學,D,M,520301,土木工程學系碩士班,62,45,17
96,0008,國立中央大學,D,M,520201,機械工程學系碩士班,100,93,7
96,0008,國立中央大學,D,M,520403,化學工程與材料工程學系碩士班,51,41,10
96,0008,國立中央大學,D,M,349927,營建管理研究所碩士班,13,9,4
96,0008,國立中央大學,D,M,520901,環境工程研究所碩士班,14,9,5
96,0008,國立中央大學,D,M,520229,光機電工程研究所碩士班,18,18,0
96,0008,國立中央大學,D,M,521309,能源工程研究所碩士班,10,9,1
96,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,12,11,1
96,0008,國立中央大學,D,M,340301,企業管理學系碩士班,61,35,26
96,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,45,30,15
96,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,19,9,10
96,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,31,24,7
