國立中央大學九十學年度第二學期碩士班退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3
院別,系所別,各年級退學生人數,
,,一年級,二年級以上
文學院,中國文學系碩士班,0,0
,英美語文學系碩士班,0,0
,哲學研究所碩士班,0,1
,哲學研究所碩士班,0,1
,哲學研究所碩士班,0,1
,哲學碩士在職專班,1,0
,總計,1,1
理學院,數學系碩士班,0,0
,物理學系碩士班,0,1
,化學學系碩士班,1,0
,光電科學碩士在職專班,0,1
,天文研究所碩士班,1,0
,總計,2,2
工學院,化學工程學系碩士班,0,0
,土木工程學系碩士班,1,3
,機械工程學系碩士班,0,1
,總計,1,4
管理學院,企業管理學系碩士班,0,0
,資訊管理學系碩士班,0,0
,產業經濟研究所碩士班,2,0
,財務管理研究所,0,0
,工業管理研究所碩士班,0,1
,人力資源管理研究所碩士班,0,0
,管理學院高階企管碩士專班,1,0
,企業管理學系碩士在職專班,1,1
,資訊管理學系碩士在職專班,0,0
,總計,4,2
資電學院,電機工程學系碩士班,0,2
,總計,0,2
地科學院,大氣物理研究所碩士班,0,1
,地球物理研究所碩士班,0,0
,太空科學研究所碩士班,1,0
,應用地質研究所碩士班,0,0
,應用地質研究所碩士班,0,0
,,0,0
,總計,1,1
總         計  ：,,9,12
