106學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,系(所)總合
中國文學系,,,,,,,1,,,,,,,1,,,,,,,,,,,,2
英美語文學系,4,,1,1,,,,,,,,,,1,,,,,,,,,,,,7
法國語文學系,,,,,,,1,,,,,,,,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,1
數學系,,,,,,,,,,,,,,,,,,8,,,,,,,,8
物理學系,,,,,,,,,2,,,,,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,,1
統計研究所碩士班,,,,,,,,,,6,,,,,,,,,,,,,,,,6
土木工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,1
企業管理學系,,1,12,20,,,,,,,,,2,,,,1,,,,,,,,,36
資訊管理學系,,,,4,,,,,,,,,9,,,,14,,,1,,,,,,28
財務金融學系,,,28,,,,,,,,,,,,,,,,,4,,,,,,32
經濟學系,,,2,,,,1,,,,,,,,,,,1,,,,,,,,4
企業管理學系碩士班,,,,14,,,,,,,5,,,,,,,,,,,,,,,19
工業管理研究所碩士班,,,,5,,,,,,,,,,,,,,,,,,,,,,5
財務金融學系碩士班,,,,,,,,,,2,,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,9,,,,,,,,,,,,,,,,,,,,,,9
工業管理研究所碩士在職專班,,,,11,,,,,,,,,,,,,,,,,,,,,,11
電機工程學系,,,,,,,,,,,,1,,,,,2,,,,,,,,,3
大氣科學學系,,,,,11,12,,,2,,,,,,,,,,25,,,,,,,50
地球科學學系,,,,,17,17,,,,,,,,,,,,,4,,,,,,,38
客家語文暨社會科學學系,,,,,,,,,,,,1,,,1,,,,,,,,,,,2
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,1,,,,,,,,,,,,,,,,,,,,,,,,1
總合,4,2,43,65,28,29,3,,4,8,5,2,11,3,1,,17,9,30,5,,1,,,,270
