106學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,,,1,,,,3,,,,,,,4,,,,,,,,,,,8
英美語文學系,,1,,1,,,,,,,,,,,,,,,,,,,,1,3
法國語文學系,3,1,,,,,2,,,,,1,3,,,,,,,,,,,1,11
歷史研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,1
物理學系,,,,,,,,,1,,,,,,,,,,,,,,,,1
化學學系,,,,,,,,,,,,,,,,,1,,,,,,,2,3
土木工程學系,,,,,,,1,,,,,,,,,,1,,,,,,,2,4
機械工程學系,,,,,,,,,1,,,,,,,,,,,,,,,5,6
企業管理學系,,4,8,23,,,,,,,,,3,,,,,,,1,,,,2,41
資訊管理學系,,,1,5,,,1,,,,,,5,,,,3,,,1,,,,4,20
財務金融學系,,,7,,,,,,,,,,1,,,,,,,2,,,,,10
經濟學系,,3,5,2,,,1,,,,,,1,,,,1,,,1,,,,,14
企業管理學系碩士班,,,,9,,,,,,,3,,,,,,,,,4,,,,,16
財務金融學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,1
工業管理研究所碩士在職專班,,,,10,,,,,,,,,,,,,,,,,,,,,10
電機工程學系,,,,,,,,,,,,,,,,,2,,,,,,,1,3
資訊工程學系,,1,,,,,,,,,,1,,,,,,,,,,,,2,4
通訊工程學系,,,,,,,,,2,,,,,,,,1,,,,,,,2,5
通訊工程學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,9,14,,,3,,,,,,,,,,11,,,,,2,39
地球科學學系,,,,,11,4,,,,,,,,,,,,,2,,,,,2,19
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,,,,,,,,1,1
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,1
總合,3,10,22,51,20,18,9,,7,1,3,2,13,4,,,9,,13,9,,,,28,222
