1052「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"              輔系
 所屬系所",中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,生科,生醫,系(所)總合
中國文學系,1,1,1,,,,,,,,,,,1,,,,,,,,1,,5
英美語文學系,,,3,,,,,,,,,1,1,3,3,,,,,,,,,11
法國語文學系,1,3,,,,,,,,,,,2,2,2,,,,,1,,1,,12
數學系,,,,,,,,,,,,,,1,,1,1,,,,,1,,4
物理學系,,,,,,,,,,,,,,,,1,1,,,,,,,2
化學學系,,,,,,,,,,,,,,,,,,,,,,1,,1
理學院學士班,,,,,,,,,,1,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,1,,,,,,1,,,,,,,,2
機械工程學系,,,,,,,,,,,,,,1,,,1,,,,,,,2
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,1,,1
企業管理學系,1,1,,,,,,,,,,,,22,2,,,,1,,,,1,28
資訊管理學系,,,,,,,,,,,,,,9,,1,7,,,,,,,17
財務金融學系,,1,1,,,,,,,1,,,,,,,,,,,,,,3
經濟學系,1,1,,1,,,,,,,,,1,6,1,,,,,,,,,11
電機工程學系,,,,1,,,,,,,1,,,,,,,,,,,,,2
資訊工程學系,,,,,,,,,,,,,1,,,1,,1,1,,,,2,6
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,1,,,1,1,,,,3
地球科學學系,,,,1,1,,,,,,,,,,1,1,1,,6,,,2,,13
客家語文暨社會科學學系,,,1,,,,,,,,,,,1,1,,,,,,,,,3
生命科學系,,,,,,1,,,,,2,,,,,,,,,,,,,3
總合,4,7,6,3,1,1,,,,3,3,1,5,46,10,7,12,1,9,2,,7,3,131
