表4-3A  年齡別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,本表以981015資料為準，同報教育部統計資料,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
學年度 ,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30歲及以上,
 2碼,4碼,(中文),1碼,1碼,1碼,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30
98,0008,國立中央大學,D,B,1,1526,1016,510,0,0,0,0,4,2,797,416,178,80,19,10,9,0,4,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
98,0008,國立中央大學,D,B,2,1481,963,518,0,0,0,0,0,0,4,4,753,406,155,91,25,11,10,1,8,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,B,3,1391,879,512,0,0,0,0,0,0,0,0,8,6,631,411,201,69,25,13,6,4,2,5,4,1,1,0,0,1,0,1,0,0,1,1
98,0008,國立中央大學,D,B,4,1282,838,444,0,0,0,0,0,0,0,0,0,0,10,3,621,334,156,93,28,8,9,3,5,3,3,0,4,0,0,0,0,0,2,0
98,0008,國立中央大學,D,B,8,295,240,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,23,56,19,22,3,5,5,2,1,3,1,0,2,2,0,2,1
98,0008,國立中央大學,D,M,1,1384,937,447,0,0,0,0,0,0,0,0,0,0,0,0,7,3,458,242,244,123,108,29,56,18,26,6,19,5,3,4,2,2,14,15
98,0008,國立中央大學,D,M,2,1288,900,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,385,205,277,92,108,41,51,20,30,9,16,6,10,1,18,9
98,0008,國立中央大學,D,M,3,356,231,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,45,59,29,33,16,25,9,11,5,5,4,18,14
98,0008,國立中央大學,D,M,4,145,76,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,17,18,14,14,4,5,7,5,15,14
98,0008,國立中央大學,V,M,1,545,376,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,10,8,22,9,22,13,22,9,295,125
98,0008,國立中央大學,V,M,2,488,320,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,7,6,14,20,12,283,132
98,0008,國立中央大學,V,M,3,279,198,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,6,3,8,4,179,70
98,0008,國立中央大學,V,M,4,136,101,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,97,30
98,0008,國立中央大學,V,M,8,88,66,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,21
98,0008,國立中央大學,D,D,1,312,248,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,56,5,37,7,17,6,15,4,19,9,9,1,88,29
98,0008,國立中央大學,D,D,2,281,222,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,33,7,32,7,26,9,17,4,13,3,90,27
98,0008,國立中央大學,D,D,3,275,226,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,36,8,27,4,18,3,12,6,123,27
98,0008,國立中央大學,D,D,4,221,181,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,33,5,31,2,15,5,92,26
98,0008,國立中央大學,D,D,5,204,162,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,29,8,20,7,110,25
98,0008,國立中央大學,D,D,6,161,126,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,22,4,94,30
98,0008,國立中央大學,D,D,7,108,91,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,87,17
