表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,本表以981015資料為準，同報教育部統計資料,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
98,0008,國立中央大學,,,TOTAL,全校班級,12246,8397,3849,2577,1190,2405,1133,1534,767,1196,588,228,64,126,35,91,17,306,77
98,0008,國立中央大學,D,,SUBT1,學士班           共計,5975,3936,2039,1016,510,963,518,879,512,838,444,0,0,0,0,0,0,240,55
98,0008,國立中央大學,D,B,220201,    中國文學系,217,28,189,4,52,6,43,4,48,9,33,0,0,0,0,0,0,5,13
98,0008,國立中央大學,D,B,220310,    英美語文學系,223,44,179,10,46,10,45,7,44,15,33,0,0,0,0,0,0,2,11
98,0008,國立中央大學,D,B,220314,    法國語文學系,197,28,169,7,45,6,46,8,36,5,36,0,0,0,0,0,0,2,6
98,0008,國立中央大學,D,B,460101,    數學系,280,226,54,54,15,59,12,50,15,36,10,0,0,0,0,0,0,27,2
98,0008,國立中央大學,D,B,440301,    物理學系,222,198,24,46,7,47,5,50,4,41,8,0,0,0,0,0,0,14,0
98,0008,國立中央大學,D,B,440101,    化學學系,187,126,61,28,19,27,14,29,14,30,13,0,0,0,0,0,0,12,1
98,0008,國立中央大學,D,B,420103,    生命科學系,170,99,71,26,16,22,19,19,21,26,15,0,0,0,0,0,0,6,0
98,0008,國立中央大學,D,B,520106,    光電科學與工程學系,168,143,25,39,6,44,6,36,5,24,8,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,B,449999,    理學院學士班,33,28,5,17,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,B,520301,    土木工程學系,391,316,75,91,22,83,17,70,17,60,17,0,0,0,0,0,0,12,2
98,0008,國立中央大學,D,B,520201,    機械工程學系,631,559,72,153,13,128,23,126,22,121,12,0,0,0,0,0,0,31,2
98,0008,國立中央大學,D,B,520403,    化學工程與材料工程學系,230,165,65,41,17,38,17,38,11,34,20,0,0,0,0,0,0,14,0
98,0008,國立中央大學,D,B,340301,    企業管理學系,473,173,300,47,69,44,73,43,76,29,75,0,0,0,0,0,0,10,7
98,0008,國立中央大學,D,B,480109,    資訊管理學系,417,241,176,58,50,66,41,52,45,54,40,0,0,0,0,0,0,11,0
98,0008,國立中央大學,D,B,340501,    財務金融學系,261,113,148,28,34,27,35,28,37,22,41,0,0,0,0,0,0,8,1
98,0008,國立中央大學,D,B,310101,    經濟學系,246,114,132,34,27,22,33,25,36,30,32,0,0,0,0,0,0,3,4
98,0008,國立中央大學,D,B,520101,    電機工程學系,471,421,50,89,15,102,16,91,12,107,7,0,0,0,0,0,0,32,0
98,0008,國立中央大學,D,B,520114,    資訊工程學系,443,366,77,88,20,93,19,81,24,83,12,0,0,0,0,0,0,21,2
98,0008,國立中央大學,D,B,520126,    通訊工程學系,221,187,34,45,6,43,11,44,10,45,6,0,0,0,0,0,0,10,1
98,0008,國立中央大學,D,B,440401,    大氣科學學系,275,211,64,67,11,46,22,46,18,41,13,0,0,0,0,0,0,11,0
98,0008,國立中央大學,D,B,440201,    地球科學學系,219,150,69,44,16,39,20,32,17,26,13,0,0,0,0,0,0,9,3
98,0008,國立中央大學,D,,SUBT2,碩士班           共計,3152,2125,1027,937,447,892,386,223,125,73,69,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,449904,    遙測科技碩士學位學程,18,15,3,8,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
