表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十八        學年度,,,,,,,,,,,,,,,,
學年報：根據03月10日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
研究所共計,,0,,,,,,,,,,,,,,,,,,
博士班小計,,1478,1187,291,233,59,208,59,224,48,167,39,156,38,110,31,89,17,,
文學院,,119,54,65,10,14,11,13,11,10,10,9,4,8,3,6,5,5,,
    中國文學系博士班,  ,56,26,30,5,6,4,4,6,3,5,6,2,6,3,3,1,2,,
    哲學研究所博士班,  ,46,22,24,3,4,3,5,5,4,5,3,2,2,,3,4,3,,
    學習與教學研究所博士班,  ,17,6,11,2,4,4,4,,3,,,,,,,,,,
理學院,,277,227,50,39,12,52,12,50,13,37,3,17,5,16,3,16,2,,
    數學系博士班,  ,25,21,4,3,,4,2,5,,5,,3,1,1,,,1,,
    物理學系博士班,  ,50,44,6,6,1,12,3,12,2,4,,2,,5,,3,,,
    化學學系博士班,  ,36,32,4,5,3,6,,9,,3,1,2,,4,,3,,,
    生命科學系博士班,  ,31,22,9,6,2,8,,3,5,4,,1,2,,,,,,
    統計研究所博士班,  ,17,11,6,1,1,1,,1,3,3,,1,1,1,1,3,,,
    光電科學與工程學系博士班,  ,76,66,10,14,2,13,3,11,3,12,,7,1,5,,4,1,,
    物理與天文研究所博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    天文研究所博士班,  ,22,15,7,2,1,4,2,2,,3,2,1,,,2,3,,,
    生物物理研究所博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    生物資訊與系統生物研究所博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    系統生物與生物資訊研究所博士班,  ,20,16,4,2,2,4,2,7,,3,,,,,,,,,
工學院,,336,315,21,49,3,41,5,57,3,53,5,55,2,36,,24,3,,
    化學工程學系博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    土木工程學系博士班,  ,80,74,6,7,2,9,,10,1,12,3,16,,11,,9,,,
    機械工程學系博士班,  ,171,167,4,21,,17,2,30,,36,,31,2,21,,11,,,
    化學工程與材料工程學系博士班,  ,42,39,3,9,,7,,12,1,3,,2,,3,,3,2,,
    營建管理研究所博士班,  ,8,7,1,2,1,2,,1,,2,,,,,,,,,
