表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十八        學年度,,,,,,,,,,,,,,,,
學年報：根據03月10日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
碩士在職進修專班小計,,1439,1002,437,361,160,307,168,175,61,87,29,72,19,,,,,,
文學院,,198,69,129,16,33,14,30,17,36,13,17,9,13,,,,,,
    中國文學系碩士在職專班,  ,72,12,60,3,12,3,10,2,21,3,12,1,5,,,,,,
    哲學研究所碩士在職專班,  ,33,12,21,2,4,1,3,4,10,4,3,1,1,,,,,,
    歷史研究所碩士在職專班,  ,93,45,48,11,17,10,17,11,5,6,2,7,7,,,,,,
理學院,,44,39,5,13,2,6,2,10,,5,1,5,,,,,,,
    光電科學與工程學系碩士在職專班,  ,44,39,5,13,2,6,2,10,,5,1,5,,,,,,,
工學院,,290,253,37,93,15,81,18,43,3,17,,19,1,,,,,,
    土木工程學系碩士在職專班,  ,68,64,4,29,1,20,1,9,1,1,,5,1,,,,,,
    機械工程學系碩士在職專班,  ,98,93,5,27,1,23,4,19,,13,,11,,,,,,,
    營建管理研究所碩士在職專班,  ,32,22,10,8,6,9,4,5,,,,,,,,,,,
    環境工程研究所碩士在職專班,  ,78,62,16,23,7,23,7,10,2,3,,3,,,,,,,
    國際永續發展碩士在職專班,  ,14,12,2,6,,6,2,,,,,,,,,,,,
管理學院,,533,340,193,153,81,126,90,35,14,13,5,13,3,,,,,,
    管理學院高階主管企管碩士班,  ,144,113,31,52,15,42,14,11,1,3,,5,1,,,,,,
    企業管理學系碩士在職專班,  ,66,37,29,14,9,10,10,6,8,4,1,3,1,,,,,,
    資訊管理學系碩士在職專班,  ,60,48,12,27,5,21,7,,,,,,,,,,,,
    產業經濟研究所碩士在職專班,  ,74,40,34,14,12,12,15,8,4,3,3,3,,,,,,,
    工業管理研究所碩士在職專班,  ,67,48,19,17,10,22,6,6,1,2,1,1,1,,,,,,
    人力資源管理研究所碩士在職專班,  ,64,20,44,9,21,7,23,4,,,,,,,,,,,
    財務金融學系碩士在職專班,  ,58,34,24,20,9,12,15,,,1,,1,,,,,,,
資訊電機學院,,297,271,26,76,10,70,7,62,3,37,4,26,2,,,,,,
    電機工程學系碩士在職專班,  ,104,100,4,28,1,29,,25,1,15,2,3,,,,,,,
    資訊工程學系碩士在職專班,  ,100,85,15,23,6,26,4,16,1,8,2,12,2,,,,,,
    通訊工程學系碩士在職專班,  ,93,86,7,25,3,15,3,21,1,14,,11,,,,,,,
地球科學學院,,0,0,0,,,,,,,,,,,,,,,,
客家學院,,77,30,47,10,19,10,21,8,5,2,2,,,,,,,,
    客家政治經濟與政策研究所碩士在職專班,  ,0,0,0,,,,,,,,,,,,,,,,
    客家研究碩士在職專班,  ,77,30,47,10,19,10,21,8,5,2,2,,,,,,,,
太空及遙測研究中心,,0,0,0,,,,,,,,,,,,,,,,
校長：,,主辦業務人員：,,,,,,審核：,,,,,,填表：,,,中華民國99年03月10日編報,,,
,,主辦統計人員：,,,,,,,,,,,,,,聯絡電話：（03）4227151＃7121,,,,
