表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十八        學年度,,,,,,,,,,,,,,,,
學年報：根據03月10日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
小計,,19,17,2,,,8,2,7,,2,,,,,,,,,
文學院,,0,0,0,,,,,,,,,,,,,,,,
理學院,,9,9,0,,,,,7,,2,,,,,,,,,
    光電科學與工程學系光電產業研發碩士專班,  ,2,2,0,,,,,,,2,,,,,,,,,
    光電科學與工程學系光電顯示產業研發碩士專班,  ,7,7,0,,,,,7,,,,,,,,,,,
工學院,,0,0,0,,,,,,,,,,,,,,,,
    化學工程與材料工程學系積體電路載板產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
    機械工程學系機電整合產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
    化學工程與材料工程學系半導體製程及材料產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
管理學院,,0,0,0,,,,,,,,,,,,,,,,
資訊電機學院,,10,8,2,,,8,2,,,,,,,,,,,,
    電機工程學系IC設計產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
    資訊工程學系嵌入式系統產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
    電機工程學系通訊暨微波半導體製程研發產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
    資電學院嵌入式系統產業研發碩士外國學生專班,  ,10,8,2,,,8,2,,,,,,,,,,,,
    電機工程學系電子產業研發碩士專班,  ,0,0,0,,,,,,,,,,,,,,,,
地球科學學院,,0,0,0,,,,,,,,,,,,,,,,
客家學院,,0,0,0,,,,,,,,,,,,,,,,
太空及遙測研究中心,,0,0,0,,,,,,,,,,,,,,,,
校長：,,主辦業務人員：,,,,,,審核：,,,,,,填表：,,,中華民國99年03月10日編報,,,
,,主辦統計人員：,,,,,,,,,,,,,,聯絡電話：（03）4227151＃7121,,,,
