表4-1  科系別學生人數統計    依據100/3/15在學學生人數統計（不含休學及交換生）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
99,8,國立中央大學,,,TOTAL,全校班級,11926,8145,3781,2518,1146,2396,1132,1407,734,1224,644,218,45,113,28,110,21,159,31
99,8,國立中央大學,N,,SUBT1,學士班           共計,5961,3913,2048,1010,491,972,510,925,514,847,502,0,0,0,0,0,0,159,31
99,8,國立中央大學,N,,220201,    中國文學系,235,31,204,9,53,5,51,7,46,4,48,0,0,0,0,0,0,6,6
99,8,國立中央大學,N,,220310,    英美語文學系,215,35,180,8,42,8,47,10,44,7,44,0,0,0,0,0,0,2,3
99,8,國立中央大學,N,,220314,    法國語文學系,202,40,162,18,33,7,47,6,44,8,36,0,0,0,0,0,0,1,2
99,8,國立中央大學,N,,460101,    數學系,263,207,56,53,14,43,15,54,12,41,14,0,0,0,0,0,0,16,1
99,8,國立中央大學,N,,440301,    物理學系,213,192,21,51,4,43,7,43,6,50,4,0,0,0,0,0,0,5,0
99,8,國立中央大學,N,,440101,    化學學系,188,130,58,36,11,27,19,27,14,29,13,0,0,0,0,0,0,11,1
99,8,國立中央大學,N,,420103,    生命科學系,163,88,75,21,18,25,16,20,20,17,19,0,0,0,0,0,0,5,2
99,8,國立中央大學,N,,520106,    光電科學與工程學系,175,151,24,33,6,38,7,40,6,35,5,0,0,0,0,0,0,5,0
99,8,國立中央大學,N,,449999,    理學院學士班,52,45,7,20,3,16,3,9,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520301,    土木工程學系,413,335,78,94,19,86,22,81,16,67,17,0,0,0,0,0,0,7,4
99,8,國立中央大學,N,,520201,    機械工程學系,623,559,64,154,10,146,11,123,22,121,19,0,0,0,0,0,0,15,2
99,8,國立中央大學,N,,520403,    化學工程與材料工程學系,218,156,62,37,16,39,18,34,16,37,11,0,0,0,0,0,0,9,1
99,8,國立中央大學,N,,340301,    企業管理學系,470,182,288,43,70,43,67,43,73,43,76,0,0,0,0,0,0,10,2
99,8,國立中央大學,N,,480109,    資訊管理學系,422,247,175,68,39,54,49,65,39,53,46,0,0,0,0,0,0,7,2
99,8,國立中央大學,N,,340501,    財務金融學系,257,112,145,24,36,27,37,27,35,27,36,0,0,0,0,0,0,7,1
99,8,國立中央大學,N,,310101,    經濟學系,243,110,133,26,34,34,27,25,34,25,35,0,0,0,0,0,0,0,3
99,8,國立中央大學,N,,520101,    電機工程學系,451,399,52,93,9,101,16,97,16,91,11,0,0,0,0,0,0,17,0
99,8,國立中央大學,N,,520114,    資訊工程學系,439,347,92,77,29,85,20,91,19,80,23,0,0,0,0,0,0,14,1
99,8,國立中央大學,N,,520126,    通訊工程學系,220,180,40,42,14,44,6,44,10,42,10,0,0,0,0,0,0,8,0
99,8,國立中央大學,N,,440401,    大氣科學學系,285,218,67,61,15,61,12,44,22,42,18,0,0,0,0,0,0,10,0
99,8,國立中央大學,N,,440201,    地球科學學系,214,149,65,42,16,40,13,35,19,28,17,0,0,0,0,0,0,4,0
99,8,國立中央大學,N,,SUBT2,碩士班           共計,3064,2025,1039,953,449,859,422,146,101,67,67,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,449904,    遙測科技碩士學位學程,16,12,4,5,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0
