表4-1  科系別學生人數統計(依據100/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
100,0008,國立中央大學,,,TOTAL,全校班級,12377,8480,3897,2517,1146,2478,1121,1537,759,1258,688,181,41,114,22,112,34,283,86
100,0008,國立中央大學,D,B,SUBT1,學士班              共計,6141,4102,2039,1019,462,1022,501,958,517,907,507,0,0,0,0,0,0,196,52
100,0008,國立中央大學,D,B,220201,中國文學系,232,33,199,11,45,9,47,4,52,6,46,0,0,0,0,0,0,3,9
100,0008,國立中央大學,D,B,220310,英美語文學系,230,39,191,13,48,7,44,8,47,10,43,0,0,0,0,0,0,1,9
100,0008,國立中央大學,D,B,220314,法國語文學系,215,43,172,12,41,16,36,7,47,6,41,0,0,0,0,0,0,2,7
100,0008,國立中央大學,D,B,460101,數學系,286,226,60,57,19,53,13,40,15,55,12,0,0,0,0,0,0,21,1
100,0008,國立中央大學,D,B,440301,物理學系,225,202,23,50,5,57,4,43,7,40,6,0,0,0,0,0,0,12,1
100,0008,國立中央大學,D,B,440101,化學學系,185,125,60,31,15,34,12,26,18,28,15,0,0,0,0,0,0,6,0
100,0008,國立中央大學,D,B,420103,生命科學系,159,90,69,27,13,21,18,23,17,18,19,0,0,0,0,0,0,1,2
100,0008,國立中央大學,D,B,520106,光電科學與工程學系,176,151,25,32,7,34,5,39,8,39,5,0,0,0,0,0,0,7,0
100,0008,國立中央大學,D,B,449999,理學院學士班,73,66,7,22,1,21,2,15,3,8,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,B,520301,土木工程學系,433,355,78,95,19,84,20,86,23,80,16,0,0,0,0,0,0,10,0
100,0008,國立中央大學,D,B,520201,機械工程學系,654,599,55,143,12,162,10,138,11,121,22,0,0,0,0,0,0,35,0
100,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,231,159,72,38,18,41,19,39,18,35,15,0,0,0,0,0,0,6,2
100,0008,國立中央大學,D,B,340301,企業管理學系,459,192,267,56,51,42,69,43,66,44,73,0,0,0,0,0,0,7,8
100,0008,國立中央大學,D,B,480109,資訊管理學系,419,249,170,60,42,68,39,51,48,65,38,0,0,0,0,0,0,5,3
100,0008,國立中央大學,D,B,340501,財務金融學系,257,105,152,23,36,22,41,29,39,26,35,0,0,0,0,0,0,5,1
100,0008,國立中央大學,D,B,310101,經濟學系,265,133,132,34,28,29,35,36,30,26,34,0,0,0,0,0,0,8,5
100,0008,國立中央大學,D,B,520101,電機工程學系,456,404,52,86,9,101,11,100,16,95,16,0,0,0,0,0,0,22,0
100,0008,國立中央大學,D,B,520114,資訊工程學系,449,363,86,91,13,81,32,86,20,88,19,0,0,0,0,0,0,17,2
100,0008,國立中央大學,D,B,520126,通訊工程學系,216,175,41,42,11,40,14,46,6,41,10,0,0,0,0,0,0,6,0
100,0008,國立中央大學,D,B,440401,大氣科學學系,300,233,67,52,17,63,14,61,12,41,22,0,0,0,0,0,0,16,2
100,0008,國立中央大學,D,B,440201,地球科學學系,221,160,61,44,12,37,16,38,14,35,19,0,0,0,0,0,0,6,0
100,0008,國立中央大學,D,M,SUBT2,碩士班              共計,3279,2183,1096,979,456,918,422,205,129,77,89,0,0,0,0,0,0,4,0
100,0008,國立中央大學,D,M,449904,遙測科技碩士學位學程,17,12,5,7,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0
