科系別學生人數統計(依據101/3/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
100,8,國立中央大學,,,TOTAL,全校班級,11859,8127,3732,2443,1105,2427,1109,1430,700,1223,648,369,111,129,25,103,29,3,5,224,84
100,8,國立中央大學,D,1,SUBT1,學士班           共計,6004,3996,2008,999,454,996,494,955,512,893,503,132,39,21,5,0,1,0,0,153,45
100,8,國立中央大學,D,D,220201,    中國文學系,228,32,196,11,45,8,47,5,52,6,46,1,6,1,0,0,0,0,0,2,6
100,8,國立中央大學,D,D,220310,    英美語文學系,225,38,187,12,46,7,44,8,47,10,43,1,6,0,1,0,0,0,0,1,7
100,8,國立中央大學,D,D,220314,    法國語文學系,209,42,167,12,39,16,36,7,48,6,41,1,3,0,0,0,0,0,0,1,3
100,8,國立中央大學,D,D,460101,    數學系,276,217,59,56,19,51,12,42,15,51,12,15,1,2,0,0,0,0,0,17,1
100,8,國立中央大學,D,D,440301,    物理學系,218,196,22,49,4,55,4,43,7,40,6,9,1,0,0,0,0,0,0,9,1
100,8,國立中央大學,D,D,440101,    化學學系,184,125,59,31,15,33,10,27,19,27,14,5,1,2,0,0,0,0,0,7,1
100,8,國立中央大學,D,D,420103,    生命科學系,154,86,68,25,13,19,18,24,16,18,20,0,1,0,0,0,0,0,0,0,1
100,8,國立中央大學,D,D,520106,    光電科學與工程學系,171,146,25,32,7,34,5,38,7,39,6,2,0,1,0,0,0,0,0,3,0
100,8,國立中央大學,D,D,449999,    理學院學士班,72,65,7,22,1,20,2,14,3,9,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,520301,    土木工程學系,428,351,77,91,18,82,19,87,22,79,16,11,1,1,1,0,0,0,0,12,2
100,8,國立中央大學,D,D,520201,    機械工程學系,635,580,55,142,12,155,10,137,11,119,21,23,0,4,1,0,0,0,0,27,1
100,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,223,152,71,36,18,42,18,36,18,34,15,4,2,0,0,0,0,0,0,4,2
100,8,國立中央大學,D,D,340301,    企業管理學系,454,189,265,56,51,42,69,43,66,42,73,4,5,2,1,0,0,0,0,6,6
100,8,國立中央大學,D,D,480109,    資訊管理學系,413,246,167,59,42,68,39,51,46,64,37,4,2,0,1,0,0,0,0,4,3
100,8,國立中央大學,D,D,340501,    財務金融學系,251,103,148,22,34,22,40,29,38,26,35,4,1,0,0,0,0,0,0,4,1
100,8,國立中央大學,D,D,310101,    經濟學系,257,127,130,32,28,28,35,36,29,25,32,6,5,0,0,0,1,0,0,6,6
100,8,國立中央大學,D,D,520101,    電機工程學系,446,394,52,86,9,98,11,99,16,95,16,16,0,0,0,0,0,0,0,16,0
100,8,國立中央大學,D,D,520114,    資訊工程學系,435,350,85,89,13,80,32,85,20,86,19,9,1,1,0,0,0,0,0,10,1
100,8,國立中央大學,D,D,520126,    通訊工程學系,213,172,41,41,11,38,14,45,6,42,10,4,0,2,0,0,0,0,0,6,0
100,8,國立中央大學,D,D,440401,    大氣科學學系,293,227,66,51,17,62,14,61,12,40,21,8,2,5,0,0,0,0,0,13,2
100,8,國立中央大學,D,D,440201,    地球科學學系,219,158,61,44,12,36,15,38,14,35,19,5,1,0,0,0,0,0,0,5,1
100,8,國立中央大學,D,2,SUBT2,碩士班           共計,3109,2086,1023,959,441,909,425,141,86,74,70,3,1,0,0,0,0,0,0,3,1
100,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,16,11,5,6,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,220201,    中國文學系碩士班,51,14,37,5,9,4,8,2,8,3,12,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,220310,    英美語文學系碩士班,46,14,32,5,6,1,12,3,6,5,8,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,220314,    法國語文學系碩士班,20,3,17,0,4,3,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,221101,    哲學研究所碩士班,30,14,16,3,5,4,2,2,4,5,5,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,220901,    歷史研究所碩士班,48,31,17,9,4,6,7,7,4,8,2,1,0,0,0,0,0,0,0,1,0
100,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,46,6,40,4,7,1,11,0,11,1,11,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,20,1,19,0,9,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,210520,    中國文學系戲曲碩士班,12,5,7,2,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,460101,    數學系碩士班,62,42,20,16,11,16,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440301,    物理學系碩士班,83,64,19,30,7,24,10,8,2,2,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440101,    化學學系碩士班,118,68,50,40,21,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,420103,    生命科學系碩士班,49,24,25,11,8,10,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,460201,    統計研究所碩士班,44,27,17,13,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,126,113,13,57,6,45,5,5,0,6,2,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,310510,    認知與神經科學研究所碩士班,19,4,15,0,7,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440601,    天文研究所碩士班,17,10,7,3,1,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440304,    物理學系生物物理碩士班,15,10,5,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520165,    光電科學與工程學系照明與顯示科技碩士班,26,21,5,13,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,420604,    系統生物與生物資訊研究所碩士班,24,16,8,6,3,7,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520301,    土木工程學系碩士班,207,169,38,71,20,74,16,23,2,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520201,    機械工程學系碩士班,199,189,10,92,4,84,5,11,1,2,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,128,93,35,42,21,45,14,5,0,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,23,17,6,7,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,62,42,20,19,8,17,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520229,    機械工程學系光機電工程碩士班,45,41,4,20,2,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,40,33,7,14,5,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,42,36,6,18,4,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,521108,    生物醫學工程研究所碩士班,28,24,4,12,2,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,340301,    企業管理學系碩士班,124,57,67,28,35,28,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,107,70,37,30,24,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,56,25,31,9,15,13,11,3,3,0,2,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,62,46,16,22,8,21,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,52,13,39,7,17,6,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,340501,    財務金融學系碩士班,58,31,27,15,16,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
