表4-3  年齡別學生人數統計(依據100/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度 ,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲及以上,
 2碼,4碼,(中文),1碼,1碼,1碼,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
100,0008,國立中央大學,D,B,1,1481,1019,462,0,0,0,0,11,7,821,382,144,60,27,7,11,3,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,B,2,1523,1022,501,0,0,0,0,0,0,8,10,820,424,159,49,24,12,4,2,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,B,3,1475,958,517,0,0,0,0,0,0,0,0,7,4,794,439,116,58,22,13,11,2,3,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,B,4,1414,907,507,0,0,0,0,0,0,0,0,0,0,9,10,753,428,109,52,20,12,10,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,B,8,248,196,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,121,31,48,12,9,3,4,0,5,4,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,1,1435,979,456,0,0,0,0,0,0,0,0,0,0,1,0,7,9,549,272,224,89,105,35,41,9,22,14,9,4,6,4,3,1,8,10,2,4,1,2,1,2,0,1,0,0
100,0008,國立中央大學,D,M,2,1340,918,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,507,236,208,96,98,35,47,17,20,10,11,8,5,2,7,8,3,2,1,2,0,0,2,0,1,0
100,0008,國立中央大學,D,M,3,334,205,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,107,58,42,35,22,12,17,5,5,3,2,2,5,6,1,2,1,1,1,4,1,0,0,0
100,0008,國立中央大學,D,M,4,166,77,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,17,12,17,13,14,11,11,7,6,8,10,2,3,1,3,4,2,0,2,0,1
100,0008,國立中央大學,D,M,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,V,M,1,494,327,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,7,6,13,12,17,12,20,13,98,35,73,36,50,27,22,10,23,12,2,0
100,0008,國立中央大學,V,M,2,506,359,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,4,9,7,16,8,18,8,127,54,81,27,42,19,35,12,23,7,3,0
100,0008,國立中央大學,V,M,3,239,166,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,3,5,12,12,66,25,41,14,23,7,6,3,7,3,2,0
100,0008,國立中央大學,V,M,4,135,98,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,36,18,34,6,10,5,9,4,5,1,0,0
100,0008,國立中央大學,V,M,8,109,77,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,36,10,12,4,6,4,4,2,1,0
100,0008,國立中央大學,D,D,1,253,192,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,30,8,20,8,23,3,18,7,8,3,8,4,33,2,23,5,12,11,9,3,2,2,0,0
100,0008,國立中央大學,D,D,2,225,175,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,21,12,29,5,18,5,11,4,10,2,34,8,17,6,14,5,6,0,8,1,0,0
100,0008,國立中央大學,D,D,3,248,208,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,52,4,27,5,15,2,13,3,39,12,30,2,11,7,9,1,6,2,0,0
100,0008,國立中央大學,D,D,4,231,176,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,1,31,7,22,5,22,9,43,16,23,4,8,7,9,4,4,1,2,0
100,0008,國立中央大學,D,D,5,222,181,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,27,4,26,5,57,20,27,7,20,1,8,3,9,1,0,0
100,0008,國立中央大學,D,D,6,136,114,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,19,1,45,9,14,2,14,6,9,0,4,2,0,1
100,0008,國立中央大學,D,D,7,146,112,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,56,15,16,11,18,4,14,1,6,1,0,0
100,0008,國立中央大學,D,D,8,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,0
100,0008,國立中央大學,D,M,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
