表4-3  年齡別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲及以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
101,8,國立中央大學,D,B,1,1502,998,504,0,0,0,0,12,8,815,413,137,71,20,8,10,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,8,國立中央大學,D,B,2,1497,1036,461,0,0,0,0,0,0,13,6,810,376,160,67,36,8,9,3,2,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,8,國立中央大學,D,B,3,1493,995,498,0,0,0,0,0,0,0,0,7,10,788,421,161,50,28,12,4,2,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,8,國立中央大學,D,B,4,1439,930,509,0,0,0,0,0,0,0,0,0,0,7,4,769,430,112,57,25,15,10,2,2,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,8,國立中央大學,D,B,8,237,186,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128,36,33,7,11,4,7,0,2,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,8,國立中央大學,D,M,1,1404,977,427,0,0,0,0,0,0,0,0,1,0,1,0,7,5,564,267,218,86,99,22,46,16,15,10,7,8,5,4,5,3,5,4,2,1,1,1,0,0,0,0,1,0
101,8,國立中央大學,D,M,2,1357,929,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,524,249,210,86,98,35,41,9,21,13,8,4,6,3,11,12,2,3,1,2,0,2,0,1,0,0
101,8,國立中央大學,D,M,3,383,252,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,116,61,62,25,34,18,17,8,5,2,4,5,6,6,2,1,2,1,0,1,2,0,1,0
101,8,國立中央大學,D,M,4,147,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,16,19,5,8,10,8,5,4,13,15,0,2,1,0,2,3,1,1,0,0
101,8,國立中央大學,D,M,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
101,8,國立中央大學,V,M,1,517,330,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,5,9,15,9,13,12,18,6,89,47,80,48,49,31,25,13,30,7,3,1
101,8,國立中央大學,V,M,2,475,312,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,6,13,11,15,12,94,38,84,36,52,32,24,13,19,12,4,0
101,8,國立中央大學,V,M,3,216,167,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,3,9,2,68,14,48,14,13,5,11,5,8,4,2,0
101,8,國立中央大學,V,M,4,133,100,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,44,16,31,6,12,3,5,2,2,1,0,0
101,8,國立中央大學,V,M,8,83,63,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,23,6,11,2,7,4,4,3,1,0
101,8,國立中央大學,D,D,1,212,162,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,22,5,12,4,11,3,8,3,6,4,17,3,33,9,14,5,12,4,9,4,9,1,1,1
101,8,國立中央大學,D,D,2,212,163,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,24,8,13,5,21,2,18,6,5,2,31,5,22,3,13,9,7,4,2,2,1,0
101,8,國立中央大學,D,D,3,202,155,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,20,10,27,4,15,3,8,4,34,10,23,8,7,4,5,2,9,1,0,0
101,8,國立中央大學,D,D,4,217,181,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,46,4,24,5,14,2,41,10,22,4,15,5,8,3,5,1,0,0
101,8,國立中央大學,D,D,5,201,155,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,27,6,18,4,52,23,19,1,11,6,10,3,5,2,2,0
101,8,國立中央大學,D,D,6,186,159,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,23,3,49,14,38,6,21,0,8,3,12,1,1,0
101,8,國立中央大學,D,D,7,123,98,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,48,10,18,8,11,5,12,1,5,1,0,0
