表5-1  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
學年度 ,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生,,
3碼,4碼,(中文),1碼,1碼,6碼,(中文),計,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M1,F1
102,8,國立中央大學,D,學士班,220201,中國文學系,49,8,41
102,8,國立中央大學,D,學士班,220310,英美語文學系,56,6,50
102,8,國立中央大學,D,學士班,220314,法國語文學系,52,15,37
102,8,國立中央大學,D,學士班,460101,數學系,67,55,12
102,8,國立中央大學,D,學士班,440301,物理學系,55,51,4
102,8,國立中央大學,D,學士班,440101,化學學系,41,31,10
102,8,國立中央大學,D,學士班,420103,生命科學系,32,13,19
102,8,國立中央大學,D,學士班,520106,光電科學與工程學系,39,32,7
102,8,國立中央大學,D,學士班,449999,理學院學士班,21,19,2
102,8,國立中央大學,D,學士班,520301,土木工程學系,97,80,17
102,8,國立中央大學,D,學士班,520201,機械工程學系,152,139,13
102,8,國立中央大學,D,學士班,520403,化學工程與材料工程學系,52,36,16
102,8,國立中央大學,D,學士班,340301,企業管理學系,111,43,68
102,8,國立中央大學,D,學士班,480109,資訊管理學系,105,67,38
102,8,國立中央大學,D,學士班,340501,財務金融學系,59,24,35
102,8,國立中央大學,D,學士班,310101,經濟學系,66,27,39
102,8,國立中央大學,D,學士班,520101,電機工程學系,107,96,11
102,8,國立中央大學,D,學士班,520114,資訊工程學系,106,77,29
102,8,國立中央大學,D,學士班,520126,通訊工程學系,46,32,14
102,8,國立中央大學,D,學士班,440401,大氣科學學系,70,55,15
102,8,國立中央大學,D,學士班,440201,地球科學學系,50,30,20
102,8,國立中央大學,D,碩士班,449904,遙測科技碩士學位學程,13,9,4
102,8,國立中央大學,D,碩士班,220201,中國文學系碩士班,11,3,8
102,8,國立中央大學,D,碩士班,220310,英美語文學系碩士班,5,1,4
102,8,國立中央大學,D,碩士班,220314,法國語文學系碩士班,5,0,5
102,8,國立中央大學,D,碩士班,221101,哲學研究所碩士班,3,1,2
102,8,國立中央大學,D,碩士班,220901,歷史研究所碩士班,7,7,0
102,8,國立中央大學,D,碩士班,210701,藝術學研究所碩士班,13,3,10
102,8,國立中央大學,D,碩士班,140111,學習與教學研究所碩士班,4,0,4
102,8,國立中央大學,D,碩士班,220201,中國文學系戲曲碩士班,2,0,2
102,8,國立中央大學,D,碩士班,460101,數學系碩士班,22,17,5
102,8,國立中央大學,D,碩士班,440301,物理學系碩士班,30,23,7
102,8,國立中央大學,D,碩士班,440101,化學學系碩士班,47,27,20
102,8,國立中央大學,D,碩士班,420103,生命科學系碩士班,24,17,7
102,8,國立中央大學,D,碩士班,460201,統計研究所碩士班,23,16,7
102,8,國立中央大學,D,碩士班,520106,光電科學與工程學系碩士班,59,56,3
102,8,國立中央大學,D,碩士班,440601,天文研究所碩士班,3,0,3
102,8,國立中央大學,D,碩士班,440301,物理學系生物物理碩士班,3,2,1
102,8,國立中央大學,D,碩士班,520106,光電科學與工程學系照明與顯示科技碩士班,14,11,3
102,8,國立中央大學,D,碩士班,420604,系統生物與生物資訊研究所碩士班,7,3,4
102,8,國立中央大學,D,碩士班,310510,認知神經科學研究所碩士班,7,1,6
102,8,國立中央大學,D,碩士班,520301,土木工程學系碩士班,101,85,16
102,8,國立中央大學,D,碩士班,520201,機械工程學系碩士班,87,81,6
102,8,國立中央大學,D,碩士班,520403,化學工程與材料工程學系碩士班,57,39,18
102,8,國立中央大學,D,碩士班,349927,營建管理研究所碩士班,13,9,4
102,8,國立中央大學,D,碩士班,520901,環境工程研究所碩士班,22,17,5
102,8,國立中央大學,D,碩士班,520201,機械工程學系光機電工程碩士班,21,19,2
102,8,國立中央大學,D,碩士班,521309,能源工程研究所碩士班,19,15,4
102,8,國立中央大學,D,碩士班,520502,材料科學與工程研究所碩士班,17,12,5
102,8,國立中央大學,D,碩士班,521108,生物醫學工程研究所碩士班,15,12,3
102,8,國立中央大學,D,碩士班,340301,企業管理學系碩士班,64,32,32
102,8,國立中央大學,D,碩士班,480109,資訊管理學系碩士班,56,31,25
102,8,國立中央大學,D,碩士班,310104,產業經濟研究所碩士班,24,11,13
102,8,國立中央大學,D,碩士班,349906,工業管理研究所碩士班,35,24,11
102,8,國立中央大學,D,碩士班,349919,人力資源管理研究所碩士班,28,8,20
102,8,國立中央大學,D,碩士班,340501,財務金融學系碩士班,30,14,16
102,8,國立中央大學,D,碩士班,310101,經濟學系碩士班,15,10,5
102,8,國立中央大學,D,碩士班,340201,會計研究所碩士班,13,7,6
102,8,國立中央大學,D,碩士班,520101,電機工程學系碩士班,112,90,22
102,8,國立中央大學,D,碩士班,520114,資訊工程學系碩士班,105,93,12
102,8,國立中央大學,D,碩士班,520126,通訊工程學系碩士班,41,31,10
102,8,國立中央大學,D,碩士班,140805,網路學習科技研究所碩士班,17,12,5
102,8,國立中央大學,D,碩士班,520114,資訊工程學系軟體工程碩士班,10,8,2
102,8,國立中央大學,D,碩士班,440401,大氣科學學系大氣物理碩士班,26,18,8
102,8,國立中央大學,D,碩士班,440201,地球科學學系地球物理碩士班,18,13,5
