表5-1  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
104,8,國立中央大學,,,TOTAL,全校班級,3316,2239,1077,2173,1017,22,11,44,49
104,8,國立中央大學,N,,SUBT1,學士班           共計,1425,947,478,929,467,18,10,0,1
104,8,國立中央大學,N,,220201,中國文學系,53,10,43,9,42,1,,,1
104,8,國立中央大學,N,,220310,英美語文學系,55,16,39,16,38,,1,,
104,8,國立中央大學,N,,220314,法國語文學系,49,3,46,3,45,,1,,
104,8,國立中央大學,N,,460101,數學系,67,53,14,53,14,,,,
104,8,國立中央大學,N,,440301,物理學系,57,52,5,52,5,,,,
104,8,國立中央大學,N,,440101,化學學系,41,33,8,33,8,,,,
104,8,國立中央大學,N,,520106,光電科學與工程學系,35,26,9,26,9,,,,
104,8,國立中央大學,N,,449999,理學院學士班,22,17,5,17,5,,,,
104,8,國立中央大學,N,,520301,土木工程學系,98,86,12,85,12,1,,,
104,8,國立中央大學,N,,520201,機械工程學系,146,134,12,133,12,1,,,
104,8,國立中央大學,N,,520403,化學工程與材料工程學系,56,40,16,40,16,,,,
104,8,國立中央大學,N,,340301,企業管理學系,109,43,66,40,64,3,2,,
104,8,國立中央大學,N,,480109,資訊管理學系,96,52,44,49,42,3,2,,
104,8,國立中央大學,N,,340501,財務金融學系,62,26,36,25,35,1,1,,
104,8,國立中央大學,N,,310101,經濟學系,65,33,32,32,31,1,1,,
104,8,國立中央大學,N,,520101,電機工程學系,97,84,13,84,13,,,,
104,8,國立中央大學,N,,520114,資訊工程學系,109,88,21,85,20,3,1,,
104,8,國立中央大學,N,,520126,通訊工程學系,52,47,5,47,5,,,,
104,8,國立中央大學,N,,440401,大氣科學學系,67,48,19,46,18,2,1,,
104,8,國立中央大學,N,,440201,地球科學學系,50,32,18,30,18,2,,,
104,8,國立中央大學,N,,420103,生命科學系,39,24,15,24,15,,,,
104,8,國立中央大學,N,,SUBT2,碩士班           共計,1301,890,411,856,368,4,1,30,42
104,8,國立中央大學,N,,449904,遙測科技碩士學位學程,9,5,4,3,2,1,,1,2
104,8,國立中央大學,N,,220201,中國文學系碩士班,17,5,12,4,10,,,1,2
104,8,國立中央大學,N,,220310,英美語文學系碩士班,12,2,10,1,10,,,1,
104,8,國立中央大學,N,,220314,法國語文學系碩士班,3,2,1,2,1,,,,
104,8,國立中央大學,N,,221101,哲學研究所碩士班,7,4,3,4,2,,,,1
104,8,國立中央大學,N,,220901,歷史研究所碩士班,12,7,5,7,4,,,,1
104,8,國立中央大學,N,,210701,藝術學研究所碩士班,9,1,8,1,6,,,,2
104,8,國立中央大學,N,,140111,學習與教學研究所碩士班,6,1,5,1,5,,,,
104,8,國立中央大學,N,,460101,數學系碩士班,20,16,4,15,3,,,1,1
104,8,國立中央大學,N,,440301,物理學系碩士班,26,25,1,23,1,,,2,
104,8,國立中央大學,N,,440101,化學學系碩士班,65,35,30,35,25,,,,5
104,8,國立中央大學,N,,460201,統計研究所碩士班,13,8,5,8,5,,,,
104,8,國立中央大學,N,,520106,光電科學與工程學系碩士班,54,45,9,44,9,,,1,
104,8,國立中央大學,N,,440601,天文研究所碩士班,4,2,2,2,2,,,,
104,8,國立中央大學,N,,440301,物理學系生物物理碩士班,8,6,2,6,2,,,,
104,8,國立中央大學,N,,520106,光電科學與工程學系照明與顯示科技碩士班,13,10,3,10,3,,,,
104,8,國立中央大學,N,,520301,土木工程學系碩士班,97,70,27,65,23,,,5,4
104,8,國立中央大學,N,,520201,機械工程學系碩士班,94,86,8,81,7,,,5,1
104,8,國立中央大學,N,,520403,化學工程與材料工程學系碩士班,62,43,19,42,19,,,1,
104,8,國立中央大學,N,,349927,營建管理研究所碩士班,15,12,3,11,1,,,1,2
104,8,國立中央大學,N,,520901,環境工程研究所碩士班,16,8,8,8,8,,,,
104,8,國立中央大學,N,,520201,機械工程學系光機電工程碩士班,23,20,3,20,3,,,,
104,8,國立中央大學,N,,521309,能源工程研究所碩士班,18,17,1,17,1,,,,
104,8,國立中央大學,N,,520502,材料科學與工程研究所碩士班,18,15,3,15,2,,,,1
104,8,國立中央大學,N,,520527,應用材料科學國際研究生碩士學位學程,1,0,1,,,,,,1
104,8,國立中央大學,N,,340301,企業管理學系碩士班,62,19,43,18,37,,1,1,5
104,8,國立中央大學,N,,480109,資訊管理學系碩士班,50,35,15,35,15,,,,
104,8,國立中央大學,N,,310104,產業經濟研究所碩士班,25,12,13,12,13,,,,
104,8,國立中央大學,N,,349906,工業管理研究所碩士班,31,21,10,21,10,,,,
104,8,國立中央大學,N,,349919,人力資源管理研究所碩士班,29,3,26,3,21,,,,5
104,8,國立中央大學,N,,340501,財務金融學系碩士班,30,17,13,16,13,,,1,
104,8,國立中央大學,N,,310101,經濟學系碩士班,9,7,2,5,2,1,,1,
104,8,國立中央大學,N,,340201,會計研究所碩士班,12,5,7,5,7,,,,
104,8,國立中央大學,N,,520101,電機工程學系碩士班,98,85,13,85,13,,,,
104,8,國立中央大學,N,,520114,資訊工程學系碩士班,100,82,18,76,15,2,,4,3
104,8,國立中央大學,N,,520126,通訊工程學系碩士班,47,37,10,37,10,,,,
104,8,國立中央大學,N,,140805,網路學習科技研究所碩士班,14,8,6,8,6,,,,
104,8,國立中央大學,N,,520114,資訊工程學系軟體工程碩士班,11,8,3,8,3,,,,
104,8,國立中央大學,N,,440401,大氣科學學系大氣物理碩士班,16,12,4,12,3,,,,1
104,8,國立中央大學,N,,440201,地球科學學系地球物理碩士班,22,14,8,13,5,,,1,3
104,8,國立中央大學,N,,440603,太空科學研究所碩士班,21,18,3,18,3,,,,
104,8,國立中央大學,N,,440204,應用地質研究所碩士班,14,10,4,10,4,,,,
104,8,國立中央大學,N,,440207,水文與海洋科學研究所碩士班,7,5,2,5,1,,,,1
104,8,國立中央大學,N,,380103,法律與政府研究所碩士班,7,2,5,2,5,,,,
104,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家社會文化碩士班,6,1,5,1,4,,,,1
104,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家語文碩士班,6,1,5,1,5,,,,
104,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家政治經濟碩士班,4,1,3,1,3,,,,
104,8,國立中央大學,N,,420103,生命科學系碩士班,23,19,4,18,4,,,1,
104,8,國立中央大學,N,,310510,認知神經科學研究所碩士班,5,2,3,2,3,,,,
104,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊碩士班,12,10,2,9,2,,,1,
104,8,國立中央大學,N,,521108,生醫科學與工程學系生物醫學工程碩士班,18,11,7,10,7,,,1,
104,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,431,281,150,276,148,,,5,2
104,8,國立中央大學,N,,220201,中國文學系碩士在職專班,3,0,3,,3,,,,
104,8,國立中央大學,N,,221101,哲學研究所碩士在職專班,3,1,2,1,2,,,,
104,8,國立中央大學,N,,220901,歷史研究所碩士在職專班,9,4,5,4,5,,,,
104,8,國立中央大學,N,,520106,光電科學與工程學系碩士在職專班,9,8,1,8,1,,,,
104,8,國立中央大學,N,,520301,土木工程學系碩士在職專班,21,16,5,16,5,,,,
104,8,國立中央大學,N,,520201,機械工程學系碩士在職專班,25,22,3,22,3,,,,
104,8,國立中央大學,N,,349927,營建管理研究所碩士在職專班,18,15,3,15,3,,,,
104,8,國立中央大學,N,,520901,環境工程研究所碩士在職專班,15,12,3,12,3,,,,
104,8,國立中央大學,N,,520911,國際永續發展碩士在職專班,7,5,2,,,,,5,2
104,8,國立中央大學,N,,349939,管理學院高階主管企管碩士班,89,66,23,66,23,,,,
104,8,國立中央大學,N,,340301,企業管理學系碩士在職專班,26,12,14,12,14,,,,
104,8,國立中央大學,N,,480109,資訊管理學系碩士在職專班,30,20,10,20,10,,,,
104,8,國立中央大學,N,,310104,產業經濟研究所碩士在職專班,28,13,15,13,15,,,,
104,8,國立中央大學,N,,349906,工業管理研究所碩士在職專班,30,21,9,21,9,,,,
104,8,國立中央大學,N,,349919,人力資源管理研究所碩士在職專班,26,5,21,5,21,,,,
104,8,國立中央大學,N,,340501,財務金融學系碩士在職專班,28,13,15,13,15,,,,
104,8,國立中央大學,N,,520101,電機工程學系碩士在職專班,5,4,1,4,1,,,,
104,8,國立中央大學,N,,520114,資訊工程學系碩士在職專班,24,23,1,23,1,,,,
104,8,國立中央大學,N,,520126,通訊工程學系碩士在職專班,15,14,1,14,1,,,,
104,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究碩士在職專班,20,7,13,7,13,,,,
104,8,國立中央大學,N,,SUBT4,博士班           共計,158,120,38,111,34,,,9,4
104,8,國立中央大學,N,,220201,中國文學系博士班,5,2,3,1,3,,,1,
104,8,國立中央大學,N,,221101,哲學研究所博士班,5,2,3,2,3,,,,
104,8,國立中央大學,N,,460101,數學系博士班,1,1,0,1,,,,,
104,8,國立中央大學,N,,440301,物理學系博士班,8,5,3,4,3,,,1,
104,8,國立中央大學,N,,440101,化學學系博士班,4,4,0,4,,,,,
104,8,國立中央大學,N,,460201,統計研究所博士班,2,2,0,2,,,,,
104,8,國立中央大學,N,,520106,光電科學與工程學系博士班,11,10,1,10,1,,,,
104,8,國立中央大學,N,,440601,天文研究所博士班,2,2,0,2,,,,,
104,8,國立中央大學,N,,520301,土木工程學系博士班,4,3,1,3,1,,,,
104,8,國立中央大學,N,,520201,機械工程學系博士班,12,11,1,9,1,,,2,
104,8,國立中央大學,N,,520403,化學工程與材料工程學系博士班,6,4,2,4,2,,,,
104,8,國立中央大學,N,,349927,營建管理研究所博士班,3,2,1,2,1,,,,
104,8,國立中央大學,N,,520901,環境工程研究所博士班,1,1,0,1,,,,,
104,8,國立中央大學,N,,520201,機械工程學系光機電工程博士班,2,2,0,2,,,,,
104,8,國立中央大學,N,,520502,材料科學與工程研究所博士班,3,2,1,2,1,,,,
104,8,國立中央大學,N,,340301,企業管理學系博士班,12,8,4,7,4,,,1,
104,8,國立中央大學,N,,480109,資訊管理學系博士班,6,6,0,6,,,,,
104,8,國立中央大學,N,,310104,產業經濟研究所博士班,5,2,3,2,3,,,,
104,8,國立中央大學,N,,349906,工業管理研究所博士班,2,1,1,1,1,,,,
104,8,國立中央大學,N,,349919,人力資源管理研究所博士班,2,1,1,1,1,,,,
104,8,國立中央大學,N,,340501,財務金融學系博士班,2,2,0,2,,,,,
104,8,國立中央大學,N,,310101,經濟學系博士班,2,1,1,1,1,,,,
104,8,國立中央大學,N,,520101,電機工程學系博士班,13,11,2,11,,,,,2
104,8,國立中央大學,N,,520114,資訊工程學系博士班,10,9,1,8,1,,,1,
104,8,國立中央大學,N,,520126,通訊工程學系博士班,7,6,1,4,1,,,2,
104,8,國立中央大學,N,,140805,網路學習科技研究所博士班,3,2,1,2,1,,,,
104,8,國立中央大學,N,,440401,大氣科學學系大氣物理博士班,1,0,1,,,,,,1
104,8,國立中央大學,N,,440201,地球科學學系地球物理博士班,5,3,2,3,1,,,,1
104,8,國立中央大學,N,,440603,太空科學研究所博士班,3,3,0,3,,,,,
104,8,國立中央大學,N,,440204,應用地質研究所博士班,2,2,0,2,,,,,
104,8,國立中央大學,N,,440213,地球系統科學國際研究生博士學位學程,2,2,0,1,,,,1,
104,8,國立中央大學,N,,420103,生命科學系博士班,7,4,3,4,3,,,,
104,8,國立中央大學,N,,310510,認知神經科學研究所博士班,1,1,0,1,,,,,
104,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊博士班,4,3,1,3,1,,,,
104,8,國立中央大學,N,,SUBT5,產業碩士專班           共計,1,1,0,1,0,,,,
104,8,國立中央大學,N,,520188,光電科學與工程學系光電產業碩士專班,1,1,0,1,,,,,
