1082(依據109/03/31在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
108,8,國立中央大學,,,TOTAL,全校班級,11335,7324,4011,2261,1303,2259,1180,1292,734,1138,642,218,103,78,28,74,21,4,0,169,71
108,8,國立中央大學,D,1,SUBT1,學士班           共計,5811,3657,2154,858,529,887,544,906,531,882,510,103,39,20,1,0,0,1,0,124,40
108,8,國立中央大學,D,D,220201,    中國文學系,198,38,160,14,37,11,34,5,47,8,36,0,6,0,0,0,0,0,0,0,6
108,8,國立中央大學,D,D,220310,    英美語文學系,211,44,167,13,36,11,46,14,42,6,42,0,1,0,0,0,0,0,0,0,1
108,8,國立中央大學,D,D,220314,    法國語文學系,204,32,172,6,42,12,37,4,46,9,40,1,6,0,1,0,0,0,0,1,7
108,8,國立中央大學,D,D,460101,    數學系,296,233,63,56,17,52,17,63,10,48,18,11,1,3,0,0,0,0,0,14,1
108,8,國立中央大學,D,D,440301,    物理學系,194,160,34,37,8,35,11,39,6,39,9,9,0,1,0,0,0,0,0,10,0
108,8,國立中央大學,D,D,440101,    化學學系,164,95,69,17,19,25,16,26,16,24,17,3,1,0,0,0,0,0,0,3,1
108,8,國立中央大學,D,D,520106,    光電科學與工程學系,169,126,43,29,9,24,17,33,13,35,4,2,0,2,0,0,0,1,0,5,0
108,8,國立中央大學,D,D,449999,    理學院學士班,70,50,20,13,5,9,7,15,3,11,5,1,0,1,0,0,0,0,0,2,0
108,8,國立中央大學,D,D,520301,    土木工程學系,348,287,61,64,22,74,11,79,14,62,14,7,0,1,0,0,0,0,0,8,0
108,8,國立中央大學,D,D,520201,    機械工程學系,545,474,71,103,17,112,17,114,19,125,17,16,1,4,0,0,0,0,0,20,1
108,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,203,138,65,28,16,32,16,39,15,37,18,2,0,0,0,0,0,0,0,2,0
108,8,國立中央大學,D,D,529999,    工學院學士班,49,41,8,20,4,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,D,340301,    企業管理學系,384,154,230,46,53,33,58,40,50,26,66,7,3,2,0,0,0,0,0,9,3
108,8,國立中央大學,D,D,480109,    資訊管理學系,410,227,183,62,40,56,46,53,45,53,51,2,1,1,0,0,0,0,0,3,1
108,8,國立中央大學,D,D,340501,    財務金融學系,249,106,143,29,27,23,42,24,41,26,31,3,2,1,0,0,0,0,0,4,2
108,8,國立中央大學,D,D,310101,    經濟學系,240,134,106,31,22,32,25,40,25,28,31,3,3,0,0,0,0,0,0,3,3
108,8,國立中央大學,D,D,520101,    電機工程學系,420,350,70,70,15,86,22,92,18,91,14,10,1,1,0,0,0,0,0,11,1
108,8,國立中央大學,D,D,520114,    資訊工程學系,437,331,106,63,25,79,21,80,31,97,27,11,2,1,0,0,0,0,0,12,2
108,8,國立中央大學,D,D,520126,    通訊工程學系,177,134,43,31,6,28,12,30,14,39,10,5,1,1,0,0,0,0,0,6,1
108,8,國立中央大學,D,D,520199,    資訊電機學院學士班,42,32,10,14,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,D,440401,    大氣科學學系,275,189,86,35,20,47,24,52,22,50,18,4,2,1,0,0,0,0,0,5,2
108,8,國立中央大學,D,D,440201,    地球科學學系,178,120,58,31,19,31,14,32,11,25,13,1,1,0,0,0,0,0,0,1,1
108,8,國立中央大學,D,D,,    地球科學學院學士班,16,7,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,94,34,60,8,24,9,19,7,7,9,7,1,3,0,0,0,0,0,0,1,3
108,8,國立中央大學,D,D,420103,    生命科學系,148,78,70,22,17,19,13,17,18,16,18,4,4,0,0,0,0,0,0,4,4
108,8,國立中央大學,D,D,521116,    生醫科學與工程學系,90,43,47,9,14,8,11,8,18,18,4,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,2,SUBT2,碩士班           共計,3289,2158,1131,970,512,924,452,190,106,73,60,1,1,0,0,0,0,0,0,1,1
108,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,22,12,10,5,3,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,220201,    中國文學系碩士班,54,21,33,5,11,7,8,7,6,2,8,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,220310,    英美語文學系碩士班,28,8,20,2,7,3,5,1,7,2,1,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,220314,    法國語文學系碩士班,17,7,10,0,3,3,2,2,0,2,5,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,221101,    哲學研究所碩士班,27,15,12,3,5,5,1,4,4,3,2,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,220901,    歷史研究所碩士班,29,17,12,8,1,1,3,5,3,3,4,0,1,0,0,0,0,0,0,0,1
108,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,27,6,21,1,6,3,4,2,5,0,6,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,35,6,29,1,9,4,8,1,7,0,5,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),13,3,10,1,3,1,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,460101,    數學系碩士班,61,42,19,20,6,14,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,440301,    物理學系碩士班,86,69,17,29,8,25,5,8,2,7,2,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,440101,    化學學系碩士班,125,73,52,34,29,37,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,460201,    統計研究所碩士班,43,33,10,18,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,138,122,16,54,10,52,5,10,1,6,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,440601,    天文研究所碩士班,26,16,10,7,6,2,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,4,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,12,9,3,3,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520301,    土木工程學系碩士班,193,148,45,71,25,65,18,11,2,1,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520201,    機械工程學系碩士班,234,205,29,90,13,88,10,20,6,7,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,132,91,41,42,26,49,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,74,44,30,17,12,14,15,10,3,3,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,56,52,4,26,1,20,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,46,39,7,18,2,17,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,47,33,14,16,7,15,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,,    國際永續發展碩士學位學程,7,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,,    土木工程學系營建管理碩士班,24,15,9,10,3,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,340301,    企業管理學系碩士班,124,52,72,24,39,25,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,118,70,48,36,26,34,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,55,22,33,10,12,8,14,4,5,0,2,0,0,0,0,0,0,0,0,0,0
