108學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3277,2161,1116,2045,1027,32,17,84,72
,8,國立中央大學,N,,SUBT1,學士班           共計,1378,875,503,844,483,29,15,2,5
,8,國立中央大學,N,,1146,中國文學系,44,4,40,4,37,,2,,1
,8,國立中央大學,N,,1150,英美語文學系,45,6,39,6,39,,,,
,8,國立中央大學,N,,1152,法國語文學系,41,7,34,6,33,1,1,,
,8,國立中央大學,N,,1162,數學系,64,51,13,50,13,1,,,
,8,國立中央大學,N,,1165,物理學系,45,37,8,36,8,1,,,
,8,國立中央大學,N,,1168,化學學系,41,24,17,24,17,,,,
,8,國立中央大學,N,,5470,光電科學與工程學系,38,35,3,33,3,1,,1,
,8,國立中央大學,N,,7077,理學院學士班,14,11,3,11,3,,,,
,8,國立中央大學,N,,1186,土木工程學系,69,58,11,55,11,3,,,
,8,國立中央大學,N,,1190,機械工程學系,135,117,18,113,18,4,,,
,8,國立中央大學,N,,1183,化學工程與材料工程學系,52,36,16,35,16,1,,,
,8,國立中央大學,N,,1205,企業管理學系,93,30,63,30,58,,4,,1
,8,國立中央大學,N,,1209,資訊管理學系,105,53,52,52,49,1,2,,1
,8,國立中央大學,N,,1216,財務金融學系,62,29,33,29,31,,1,,1
,8,國立中央大學,N,,1213,經濟學系,69,32,37,31,37,1,,,
,8,國立中央大學,N,,1229,電機工程學系,98,83,15,82,14,1,1,,
,8,國立中央大學,N,,1233,資訊工程學系,134,106,28,97,26,8,1,1,1
,8,國立中央大學,N,,1237,通訊工程學系,55,44,11,43,11,1,,,
,8,國立中央大學,N,,1243,大氣科學學系,65,46,19,42,19,4,,,
,8,國立中央大學,N,,1246,地球科學學系,34,23,11,23,11,,,,
,8,國立中央大學,N,,9250,客家語文暨社會科學學系,17,8,9,8,9,,,,
,8,國立中央大學,N,,1177,生命科學系,38,19,19,18,16,1,3,,
,8,國立中央大學,N,,10236,生醫科學與工程學系,20,16,4,16,4,,,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1368,926,442,862,383,3,2,61,57
,8,國立中央大學,N,,7073,遙測科技碩士學位學程,10,6,4,4,1,,,2,3
,8,國立中央大學,N,,1148,中國文學系碩士班,7,2,5,2,4,,,,1
,8,國立中央大學,N,,1151,英美語文學系碩士班,5,2,3,2,2,,,,1
,8,國立中央大學,N,,1153,法國語文學系碩士班,3,0,3,,3,,,,
,8,國立中央大學,N,,1155,哲學研究所碩士班,4,3,1,2,1,,,1,
,8,國立中央大學,N,,1157,歷史研究所碩士班,5,3,2,3,1,,,,1
,8,國立中央大學,N,,1159,藝術學研究所碩士班,10,2,8,2,8,,,,
,8,國立中央大學,N,,1160,學習與教學研究所碩士班,10,1,9,1,8,,,,1
,8,國立中央大學,N,,1164,數學系碩士班,18,12,6,11,5,,,1,1
,8,國立中央大學,N,,1167,物理學系碩士班,28,22,6,20,5,,,2,1
,8,國立中央大學,N,,1170,化學學系碩士班,61,38,23,38,21,,,,2
,8,國立中央大學,N,,1176,統計研究所碩士班,18,12,6,12,6,,,,
,8,國立中央大學,N,,1174,光電科學與工程學系碩士班,67,60,7,57,5,1,,2,2
,8,國立中央大學,N,,1172,天文研究所碩士班,5,3,2,2,2,,,1,
,8,國立中央大學,N,,9931,物理學系生物物理碩士班,3,3,0,3,,,,,
,8,國立中央大學,N,,9935,光電科學與工程學系照明與顯示科技碩士班,9,7,2,7,2,,,,
,8,國立中央大學,N,,1188,土木工程學系碩士班,90,66,24,61,24,,,5,
,8,國立中央大學,N,,1192,機械工程學系碩士班,101,94,7,90,6,,,4,1
,8,國立中央大學,N,,1185,化學工程與材料工程學系碩士班,64,52,12,51,12,,,1,
,8,國立中央大學,N,,1195,環境工程研究所碩士班,26,14,12,13,10,,,1,2
,8,國立中央大學,N,,9932,機械工程學系光機電工程碩士班,22,21,1,20,,,,1,1
,8,國立中央大學,N,,1203,能源工程研究所碩士班,17,13,4,10,3,1,,2,1
,8,國立中央大學,N,,1200,材料科學與工程研究所碩士班,24,15,9,14,8,,,1,1
,8,國立中央大學,N,,9251,應用材料科學國際研究生碩士學位學程,4,3,1,,,,,3,1
,8,國立中央大學,N,,14902,土木工程學系營建管理碩士班,15,9,6,6,5,1,,2,1
,8,國立中央大學,N,,1207,企業管理學系碩士班,56,26,30,24,29,,1,2,
,8,國立中央大學,N,,1211,資訊管理學系碩士班,53,33,20,33,19,,1,,
,8,國立中央大學,N,,1221,產業經濟研究所碩士班,30,9,21,9,21,,,,
,8,國立中央大學,N,,1227,工業管理研究所碩士班,37,20,17,19,17,,,1,
,8,國立中央大學,N,,1224,人力資源管理研究所碩士班,26,5,21,5,20,,,,1
,8,國立中央大學,N,,1218,財務金融學系碩士班,29,17,12,17,10,,,,2
,8,國立中央大學,N,,1215,經濟學系碩士班,15,6,9,6,9,,,,
,8,國立中央大學,N,,5478,會計研究所碩士班,16,6,10,6,9,,,,1
,8,國立中央大學,N,,1231,電機工程學系碩士班,117,94,23,91,21,,,3,2
,8,國立中央大學,N,,1235,資訊工程學系碩士班,124,93,31,83,22,,,10,9
,8,國立中央大學,N,,1239,通訊工程學系碩士班,55,47,8,45,5,,,2,3
,8,國立中央大學,N,,1241,網路學習科技研究所碩士班,27,13,14,8,9,,,5,5
,8,國立中央大學,N,,9934,資訊工程學系軟體工程碩士班,9,9,0,9,,,,,
,8,國立中央大學,N,,9641,大氣科學學系大氣物理碩士班,19,12,7,10,6,,,2,1
,8,國立中央大學,N,,9643,地球科學學系地球物理碩士班,21,14,7,12,5,,,2,2
,8,國立中央大學,N,,1252,應用地質研究所碩士班,11,7,4,3,4,,,4,
,8,國立中央大學,N,,1253,水文與海洋科學研究所碩士班,7,3,4,3,2,,,,2
,8,國立中央大學,N,,15185,太空科學與工程學系碩士班,21,16,5,16,5,,,,
,8,國立中央大學,N,,1257,法律與政府研究所碩士班,9,3,6,3,5,,,,1
,8,國立中央大學,N,,9936,客家語文暨社會科學學系客家社會文化碩士班,5,1,4,1,4,,,,
,8,國立中央大學,N,,9938,客家語文暨社會科學學系客家語文碩士班,2,2,0,2,,,,,
,8,國立中央大學,N,,9464,客家語文暨社會科學學系客家政治經濟碩士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,1179,生命科學系碩士班,15,7,8,7,5,,,,3
,8,國立中央大學,N,,1180,認知神經科學研究所碩士班,2,0,2,,1,,,,1
,8,國立中央大學,N,,10238,生醫科學與工程學系系統生物與生物資訊碩士班,13,6,7,6,6,,,,1
,8,國立中央大學,N,,10237,生醫科學與工程學系生物醫學工程碩士班,20,13,7,12,5,,,1,2
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,423,276,147,275,145,,,1,2
,8,國立中央大學,N,,1156,哲學研究所碩士在職專班,5,2,3,2,3,,,,
,8,國立中央大學,N,,1158,歷史研究所碩士在職專班,8,5,3,5,3,,,,
,8,國立中央大學,N,,5469,光電科學與工程學系碩士在職專班,11,8,3,8,3,,,,
,8,國立中央大學,N,,1189,土木工程學系碩士在職專班,34,27,7,27,7,,,,
,8,國立中央大學,N,,1193,機械工程學系碩士在職專班,14,14,0,14,,,,,
,8,國立中央大學,N,,1196,環境工程研究所碩士在職專班,6,5,1,5,1,,,,
,8,國立中央大學,N,,5480,國際永續發展碩士在職專班,3,1,2,,,,,1,2
,8,國立中央大學,N,,14904,土木工程學系營建管理碩士在職專班,17,15,2,15,2,,,,
,8,國立中央大學,N,,5479,管理學院高階主管企管碩士班,74,63,11,63,11,,,,
,8,國立中央大學,N,,1208,企業管理學系碩士在職專班,20,11,9,11,9,,,,
,8,國立中央大學,N,,1212,資訊管理學系碩士在職專班,33,24,9,24,9,,,,
,8,國立中央大學,N,,1222,產業經濟研究所碩士在職專班,25,12,13,12,13,,,,
,8,國立中央大學,N,,1228,工業管理研究所碩士在職專班,26,20,6,20,6,,,,
,8,國立中央大學,N,,1225,人力資源管理研究所碩士在職專班,27,7,20,7,20,,,,
,8,國立中央大學,N,,1219,財務金融學系碩士在職專班,27,18,9,18,9,,,,
,8,國立中央大學,N,,10218,會計研究所企業資源規劃會計碩士在職專班,20,9,11,9,11,,,,
,8,國立中央大學,N,,1232,電機工程學系碩士在職專班,1,1,0,1,,,,,
,8,國立中央大學,N,,1236,資訊工程學系碩士在職專班,18,18,0,18,,,,,
,8,國立中央大學,N,,1240,通訊工程學系碩士在職專班,14,9,5,9,5,,,,
,8,國立中央大學,N,,10243,網路學習科技研究所碩士在職專班,12,2,10,2,10,,,,
,8,國立中央大學,N,,9581,客家語文暨社會科學學系客家研究碩士在職專班,28,5,23,5,23,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,108,84,24,64,16,,,20,8
,8,國立中央大學,N,,1147,中國文學系博士班,7,3,4,3,3,,,,1
,8,國立中央大學,N,,1154,哲學研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1161,學習與教學研究所博士班,5,3,2,3,1,,,,1
,8,國立中央大學,N,,1163,數學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1166,物理學系博士班,10,7,3,5,2,,,2,1
,8,國立中央大學,N,,1169,化學學系博士班,4,3,1,2,,,,1,1
,8,國立中央大學,N,,1175,統計研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1173,光電科學與工程學系博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,1171,天文研究所博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,10047,物理學系生物物理博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1187,土木工程學系博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1191,機械工程學系博士班,6,6,0,3,,,,3,
,8,國立中央大學,N,,1184,化學工程與材料工程學系博士班,6,6,0,5,,,,1,
,8,國立中央大學,N,,9933,機械工程學系光機電工程博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,9466,能源工程研究所博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,,14903,土木工程學系營建管理博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1206,企業管理學系博士班,8,6,2,4,2,,,2,
,8,國立中央大學,N,,1210,資訊管理學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1226,工業管理研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1217,財務金融學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1230,電機工程學系博士班,7,5,2,5,1,,,,1
,8,國立中央大學,N,,1234,資訊工程學系博士班,8,7,1,4,,,,3,1
,8,國立中央大學,N,,1238,通訊工程學系博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,1242,網路學習科技研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,9642,大氣科學學系大氣物理博士班,4,4,0,3,,,,1,
,8,國立中央大學,N,,9644,地球科學學系地球物理博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,15122,太空科學與工程學系博士班,6,5,1,5,1,,,,
,8,國立中央大學,N,,5483,地球系統科學國際研究生博士學位學程,2,2,0,,,,,2,
,8,國立中央大學,N,,1178,生命科學系博士班,8,4,4,4,3,,,,1
,8,國立中央大學,N,,8497,認知神經科學研究所博士班,4,1,3,,2,,,1,1
,8,國立中央大學,N,,10241,生醫科學與工程學系跨領域轉譯醫學博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,10239,生醫科學與工程學系生物醫學工程博士班,1,1,0,1,,,,,
