年齡別別學生人數統計1091(依據109/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,8,國立中央大學,,,TOTAL,11938,7661,4277,0,0,0,0,2,2,710,468,866,533,911,558,888,540,849,409,883,439,510,237,271,133,177,110,125,76,124,64,96,57,387,203,288,141,232,116,168,103,149,77,25,11
109,8,國立中央大學,D,B,1,1517,916,601,0,0,0,0,2,2,707,468,159,103,28,17,11,7,3,2,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,2,1425,890,535,0,0,0,0,0,0,3,0,704,423,144,93,25,12,7,6,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,3,1430,887,543,0,0,0,0,0,0,0,0,3,7,733,442,116,84,17,9,11,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,4,1418,896,522,0,0,0,0,0,0,0,0,0,0,6,6,732,436,128,66,18,9,10,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
109,8,國立中央大學,D,B,5,195,132,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,42,24,18,9,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,6,30,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,7,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1,1497,1000,497,0,0,0,0,0,0,0,0,0,0,0,0,3,1,595,280,228,110,83,49,26,23,20,12,12,6,11,6,8,2,7,4,3,1,2,0,0,0,1,3,1,0
109,8,國立中央大學,D,M,2,1418,935,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,569,289,214,106,70,35,37,16,13,11,8,7,4,3,10,5,3,6,0,0,1,1,1,1,1,0
109,8,國立中央大學,D,M,3,427,288,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,146,62,74,37,34,25,14,3,8,1,2,1,7,5,1,1,0,2,0,0,1,0,0,0
109,8,國立中央大學,D,M,4,173,108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,38,15,26,21,18,4,6,8,5,3,5,5,2,2,3,2,2,2,1,2,0,0
109,8,國立中央大學,D,M,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,8,國立中央大學,V,M,1,543,331,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,8,13,5,13,7,16,18,22,8,17,14,62,41,56,31,53,39,38,21,29,19,3,1
109,8,國立中央大學,V,M,2,504,290,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,4,9,2,8,5,7,11,13,13,58,40,52,34,50,34,41,43,39,24,5,1
109,8,國立中央大學,V,M,3,168,125,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,8,2,6,3,35,13,27,7,25,7,12,6,7,1,2,1
109,8,國立中央大學,V,M,4,91,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,19,7,15,2,7,4,9,4,6,6,1,2
109,8,國立中央大學,V,M,5,69,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,18,6,9,2,5,5,4,5,1,0
109,8,國立中央大學,D,D,1,193,136,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,4,14,1,7,10,4,2,10,5,6,0,20,9,21,7,17,5,7,6,8,3,1,0
109,8,國立中央大學,D,D,2,181,129,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,3,12,6,10,7,10,2,3,2,25,16,19,5,14,3,8,5,7,0,2,0
109,8,國立中央大學,D,D,3,176,126,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,8,4,11,9,9,3,8,2,33,11,17,7,11,6,9,2,7,2,1,0
109,8,國立中央大學,D,D,4,154,105,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,5,8,5,7,9,7,3,29,8,17,6,9,5,11,2,8,4,2,1
109,8,國立中央大學,D,D,5,129,87,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,11,0,11,8,26,12,7,13,10,2,7,3,5,2,1,1
109,8,國立中央大學,D,D,6,93,65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,21,11,10,9,7,0,11,2,10,2,1,2
109,8,國立中央大學,D,D,7,98,76,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21,11,18,3,12,3,7,1,13,2,3,2
109,8,國立中央大學,D,D,8,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0
109,8,國立中央大學,D,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
