1091(依據109/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
109,8,國立中央大學,,,TOTAL,全校班級,11938,7661,4277,2383,1367,2244,1284,1426,775,1170,666,265,129,91,32,77,22,5,2,210,93
109,8,國立中央大學,D,1,SUBT1,學士班           共計,6016,3748,2268,916,601,890,535,887,543,896,522,132,63,26,4,1,0,0,0,159,67
109,8,國立中央大學,D,D,1146,    中國文學系,208,44,164,11,38,12,40,12,36,5,45,4,5,0,0,0,0,0,0,4,5
109,8,國立中央大學,D,D,1150,    英美語文學系,215,53,162,15,31,13,38,11,45,13,41,1,7,0,0,0,0,0,0,1,7
109,8,國立中央大學,D,D,1152,    法國語文學系,209,33,176,10,38,7,42,10,37,3,46,3,11,0,2,0,0,0,0,3,13
109,8,國立中央大學,D,D,15182,    文學院學士班,20,4,16,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1162,    數學系,306,231,75,50,28,55,16,52,16,59,11,11,4,3,0,1,0,0,0,15,4
109,8,國立中央大學,D,D,1165,    物理學系,194,157,37,36,12,36,8,37,11,39,5,8,1,1,0,0,0,0,0,9,1
109,8,國立中央大學,D,D,1168,    化學學系,159,84,75,14,23,18,19,26,16,24,16,1,1,1,0,0,0,0,0,2,1
109,8,國立中央大學,D,D,5470,    光電科學與工程學系,176,123,53,27,11,33,11,25,17,33,13,5,1,0,0,0,0,0,0,5,1
109,8,國立中央大學,D,D,7077,    理學院學士班,72,50,22,11,7,12,4,10,7,15,3,1,1,1,0,0,0,0,0,2,1
109,8,國立中央大學,D,D,1186,    土木工程學系,374,305,69,82,19,59,21,74,12,80,14,9,3,1,0,0,0,0,0,10,3
109,8,國立中央大學,D,D,1190,    機械工程學系,536,469,67,114,18,101,13,112,16,113,19,24,1,5,0,0,0,0,0,29,1
109,8,國立中央大學,D,D,1183,    化學工程與材料工程學系,200,136,64,33,13,29,17,32,17,38,15,4,2,0,0,0,0,0,0,4,2
109,8,國立中央大學,D,D,14515,    工學院學士班,74,56,18,14,13,21,3,21,2,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1205,    企業管理學系,400,177,223,53,58,44,51,34,57,40,50,5,7,1,0,0,0,0,0,6,7
109,8,國立中央大學,D,D,1209,    資訊管理學系,417,244,173,64,38,67,42,54,46,53,44,5,3,1,0,0,0,0,0,6,3
109,8,國立中央大學,D,D,1216,    財務金融學系,261,112,149,28,32,31,31,23,42,25,40,3,4,2,0,0,0,0,0,5,4
109,8,國立中央大學,D,D,1213,    經濟學系,246,140,106,29,29,35,25,32,26,40,24,4,2,0,0,0,0,0,0,4,2
109,8,國立中央大學,D,D,1229,    電機工程學系,448,366,82,79,19,90,22,82,22,95,18,16,1,4,0,0,0,0,0,20,1
109,8,國立中央大學,D,D,1233,    資訊工程學系,414,300,114,64,30,70,31,78,21,79,30,8,1,1,1,0,0,0,0,9,2
109,8,國立中央大學,D,D,1237,    通訊工程學系,178,132,46,32,11,34,9,33,12,30,14,3,0,0,0,0,0,0,0,3,0
109,8,國立中央大學,D,D,14516,    資訊電機學院學士班,64,48,16,16,6,14,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1243,    大氣科學學系,250,171,79,19,14,41,19,47,23,53,22,8,1,3,0,0,0,0,0,11,1
109,8,國立中央大學,D,D,1246,    地球科學學系,176,116,60,29,20,25,12,30,16,28,9,4,3,0,0,0,0,0,0,4,3
109,8,國立中央大學,D,D,14765,    地球科學學院學士班,34,17,17,9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,15188,    太空科學與工程學系,28,19,9,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,9250,    客家語文暨社會科學學系,122,43,79,14,31,8,21,11,18,7,7,2,2,1,0,0,0,0,0,3,2
109,8,國立中央大學,D,D,1177,    生命科學系,142,77,65,23,18,20,13,15,13,17,18,1,2,1,1,0,0,0,0,2,3
109,8,國立中央大學,D,D,10236,    生醫科學與工程學系,93,41,52,17,11,7,12,8,11,7,18,2,0,0,0,0,0,0,0,2,0
109,8,國立中央大學,D,2,SUBT2,碩士班           共計,3516,2331,1185,1000,497,935,483,288,139,108,65,0,1,0,0,0,0,0,0,0,1
109,8,國立中央大學,D,M,7073,    遙測科技碩士學位學程,21,10,11,4,5,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1148,    中國文學系碩士班,60,26,34,7,7,7,12,6,8,6,7,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1151,    英美語文學系碩士班,33,10,23,2,7,3,7,3,5,2,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1153,    法國語文學系碩士班,17,8,9,1,2,0,2,4,2,3,3,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1155,    哲學研究所碩士班,24,11,13,2,2,3,5,3,1,3,5,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1157,    歷史研究所碩士班,31,23,8,10,1,7,1,1,3,5,2,0,1,0,0,0,0,0,0,0,1
109,8,國立中央大學,D,M,1159,    藝術學研究所碩士班,29,6,23,1,7,1,6,3,4,1,6,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1160,    學習與教學研究所碩士班,34,6,28,1,11,1,8,4,5,0,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9253,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),17,5,12,2,2,1,4,1,2,1,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1164,    數學系碩士班,70,51,19,21,6,19,6,8,7,3,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1167,    物理學系碩士班,88,72,16,26,5,25,8,13,3,8,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1170,    化學學系碩士班,131,79,52,40,24,31,27,7,1,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1176,    統計研究所碩士班,46,33,13,13,9,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1174,    光電科學與工程學系碩士班,168,144,24,65,13,45,9,24,2,10,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1172,    天文研究所碩士班,29,16,13,5,6,7,6,1,0,3,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9931,    物理學系生物物理碩士班,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9935,    光電科學與工程學系照明與顯示科技碩士班,9,8,1,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1188,    土木工程學系碩士班,200,152,48,66,23,73,20,11,3,2,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1192,    機械工程學系碩士班,256,224,32,97,13,86,10,29,7,12,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1185,    化學工程與材料工程學系碩士班,136,83,53,42,29,38,22,3,2,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1195,    環境工程研究所碩士班,88,57,31,21,6,18,11,11,13,7,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9932,    機械工程學系光機電工程碩士班,61,58,3,22,1,24,1,10,1,2,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1203,    能源工程研究所碩士班,46,39,7,8,3,18,3,11,1,2,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1200,    材料科學與工程研究所碩士班,48,37,11,16,6,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,14766,    國際永續發展碩士學位學程,12,6,6,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,14902,    土木工程學系營建管理碩士班,23,14,9,5,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1207,    企業管理學系碩士班,137,50,87,23,39,21,37,4,11,2,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1211,    資訊管理學系碩士班,132,79,53,42,25,36,26,1,2,0,0,0,0,0,0,0,0,0,0,0,0
