109學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3390,2148,1242,2011,1135,32,19,105,88
,8,國立中央大學,N,,SUBT1,學士班           共計,1416,884,532,858,513,22,16,4,3
,8,國立中央大學,N,,1146,中國文學系,44,6,38,6,37,,1,,
,8,國立中央大學,N,,1150,英美語文學系,58,13,45,13,45,,,,
,8,國立中央大學,N,,1152,法國語文學系,46,2,44,2,43,,1,,
,8,國立中央大學,N,,1162,數學系,61,45,16,45,16,,,,
,8,國立中央大學,N,,1165,物理學系,42,37,5,36,4,1,1,,
,8,國立中央大學,N,,1168,化學學系,41,26,15,26,15,,,,
,8,國立中央大學,N,,5470,光電科學與工程學系,43,30,13,30,13,,,,
,8,國立中央大學,N,,7077,理學院學士班,19,14,5,14,5,,,,
,8,國立中央大學,N,,1186,土木工程學系,99,81,18,79,17,1,1,1,
,8,國立中央大學,N,,1190,機械工程學系,138,121,17,117,17,3,,1,
,8,國立中央大學,N,,1183,化學工程與材料工程學系,55,40,15,39,15,1,,,
,8,國立中央大學,N,,1205,企業管理學系,94,40,54,39,51,1,1,,2
,8,國立中央大學,N,,1209,資訊管理學系,93,50,43,46,42,3,1,1,
,8,國立中央大學,N,,1216,財務金融學系,67,25,42,22,40,2,2,1,
,8,國立中央大學,N,,1213,經濟學系,64,39,25,38,23,1,2,,
,8,國立中央大學,N,,1229,電機工程學系,115,98,17,97,17,1,,,
,8,國立中央大學,N,,1233,資訊工程學系,108,76,32,72,30,4,1,,1
,8,國立中央大學,N,,1237,通訊工程學系,45,32,13,31,13,1,,,
,8,國立中央大學,N,,1243,大氣科學學系,74,55,19,55,18,,1,,
,8,國立中央大學,N,,1246,地球科學學系,38,26,12,25,12,1,,,
,8,國立中央大學,N,,9250,客家語文暨社會科學學系,10,3,7,3,7,,,,
,8,國立中央大學,N,,1177,生命科學系,36,17,19,16,16,1,3,,
,8,國立中央大學,N,,10236,生醫科學與工程學系,26,8,18,7,17,1,1,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1412,921,491,847,423,10,3,64,65
,8,國立中央大學,N,,7073,遙測科技碩士學位學程,10,5,5,3,4,,,2,1
,8,國立中央大學,N,,1148,中國文學系碩士班,13,5,8,3,5,2,,,3
,8,國立中央大學,N,,1151,英美語文學系碩士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,1153,法國語文學系碩士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,1155,哲學研究所碩士班,7,3,4,3,2,,1,,1
,8,國立中央大學,N,,1157,歷史研究所碩士班,7,3,4,2,2,1,,,2
,8,國立中央大學,N,,1159,藝術學研究所碩士班,6,0,6,,5,,,,1
,8,國立中央大學,N,,1160,學習與教學研究所碩士班,8,1,7,1,7,,,,
,8,國立中央大學,N,,9253,亞際文化研究國際碩士學位學程(台灣聯合大學系統),5,2,3,,,,2,2,1
,8,國立中央大學,N,,1164,數學系碩士班,25,17,8,16,8,,,1,
,8,國立中央大學,N,,1167,物理學系碩士班,33,24,9,21,5,,,3,4
,8,國立中央大學,N,,1170,化學學系碩士班,65,35,30,35,30,,,,
,8,國立中央大學,N,,1176,統計研究所碩士班,23,19,4,19,4,,,,
,8,國立中央大學,N,,1174,光電科學與工程學系碩士班,69,61,8,58,7,2,,1,1
,8,國立中央大學,N,,1172,天文研究所碩士班,10,7,3,4,1,,,3,2
,8,國立中央大學,N,,9935,光電科學與工程學系照明與顯示科技碩士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,1188,土木工程學系碩士班,83,59,24,52,18,1,,6,6
,8,國立中央大學,N,,1192,機械工程學系碩士班,110,94,16,87,15,,,7,1
,8,國立中央大學,N,,1185,化學工程與材料工程學系碩士班,63,40,23,38,23,,,2,
,8,國立中央大學,N,,1195,環境工程研究所碩士班,30,15,15,12,15,,,3,
,8,國立中央大學,N,,9932,機械工程學系光機電工程碩士班,23,20,3,20,3,,,,
,8,國立中央大學,N,,1203,能源工程研究所碩士班,24,20,4,17,3,,,3,1
,8,國立中央大學,N,,1200,材料科學與工程研究所碩士班,23,19,4,18,4,,,1,
,8,國立中央大學,N,,14766,國際永續發展碩士學位學程,7,4,3,,,,,4,3
,8,國立中央大學,N,,14902,土木工程學系營建管理碩士班,10,8,2,6,2,2,,,
,8,國立中央大學,N,,1207,企業管理學系碩士班,61,19,42,18,42,,,1,
,8,國立中央大學,N,,1211,資訊管理學系碩士班,61,34,27,33,27,,,1,
,8,國立中央大學,N,,1221,產業經濟研究所碩士班,19,10,9,10,9,,,,
,8,國立中央大學,N,,1227,工業管理研究所碩士班,24,16,8,16,8,,,,
,8,國立中央大學,N,,1224,人力資源管理研究所碩士班,30,3,27,3,25,,,,2
,8,國立中央大學,N,,1218,財務金融學系碩士班,32,15,17,13,14,,,2,3
,8,國立中央大學,N,,1215,經濟學系碩士班,13,5,8,5,7,,,,1
,8,國立中央大學,N,,5478,會計研究所碩士班,15,10,5,9,4,,,1,1
,8,國立中央大學,N,,1231,電機工程學系碩士班,118,99,19,96,17,,,3,2
,8,國立中央大學,N,,1235,資訊工程學系碩士班,110,76,34,69,31,1,,6,3
,8,國立中央大學,N,,1239,通訊工程學系碩士班,55,47,8,47,8,,,,
,8,國立中央大學,N,,1241,網路學習科技研究所碩士班,18,11,7,9,6,,,2,1
,8,國立中央大學,N,,9934,資訊工程學系軟體工程碩士班,11,11,0,11,,,,,
,8,國立中央大學,N,,14701,資訊工程學系AI碩士班,5,5,0,5,,,,,
,8,國立中央大學,N,,9641,大氣科學學系大氣物理碩士班,26,11,15,11,13,,,,2
,8,國立中央大學,N,,9643,地球科學學系地球物理碩士班,16,8,8,8,3,,,,5
,8,國立中央大學,N,,1252,應用地質研究所碩士班,19,13,6,9,3,1,,3,3
,8,國立中央大學,N,,1253,水文與海洋科學研究所碩士班,10,9,1,9,,,,,1
,8,國立中央大學,N,,15185,太空科學與工程學系碩士班,14,11,3,10,3,,,1,
,8,國立中央大學,N,,1257,法律與政府研究所碩士班,14,7,7,7,7,,,,
,8,國立中央大學,N,,9936,客家語文暨社會科學學系客家社會文化碩士班,6,2,4,2,4,,,,
,8,國立中央大學,N,,9938,客家語文暨社會科學學系客家語文碩士班,6,1,5,1,5,,,,
,8,國立中央大學,N,,9464,客家語文暨社會科學學系客家政治經濟碩士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,1179,生命科學系碩士班,24,8,16,4,9,,,4,7
,8,國立中央大學,N,,1180,認知神經科學研究所碩士班,7,3,4,3,3,,,,1
,8,國立中央大學,N,,10238,生醫科學與工程學系系統生物與生物資訊碩士班,6,4,2,4,1,,,,1
,8,國立中央大學,N,,10237,生醫科學與工程學系生物醫學工程碩士班,26,17,9,15,4,,,2,5
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,418,235,183,233,183,,,2,0
,8,國立中央大學,N,,1149,中國文學系碩士在職專班,1,0,1,,1,,,,
,8,國立中央大學,N,,1156,哲學研究所碩士在職專班,5,1,4,1,4,,,,
,8,國立中央大學,N,,1158,歷史研究所碩士在職專班,10,6,4,6,4,,,,
,8,國立中央大學,N,,5469,光電科學與工程學系碩士在職專班,7,6,1,6,1,,,,
,8,國立中央大學,N,,1189,土木工程學系碩士在職專班,25,20,5,20,5,,,,
,8,國立中央大學,N,,1193,機械工程學系碩士在職專班,21,19,2,19,2,,,,
,8,國立中央大學,N,,1196,環境工程研究所碩士在職專班,12,8,4,8,4,,,,
,8,國立中央大學,N,,5480,國際永續發展碩士在職專班,2,2,0,,,,,2,
,8,國立中央大學,N,,14904,土木工程學系營建管理碩士在職專班,8,6,2,6,2,,,,
,8,國立中央大學,N,,5479,管理學院高階主管企管碩士班,84,55,29,55,29,,,,
,8,國立中央大學,N,,1208,企業管理學系碩士在職專班,30,8,22,8,22,,,,
,8,國立中央大學,N,,1212,資訊管理學系碩士在職專班,36,22,14,22,14,,,,
,8,國立中央大學,N,,1222,產業經濟研究所碩士在職專班,15,2,13,2,13,,,,
,8,國立中央大學,N,,1228,工業管理研究所碩士在職專班,24,13,11,13,11,,,,
,8,國立中央大學,N,,1225,人力資源管理研究所碩士在職專班,29,7,22,7,22,,,,
,8,國立中央大學,N,,1219,財務金融學系碩士在職專班,27,9,18,9,18,,,,
,8,國立中央大學,N,,10218,會計研究所企業資源規劃會計碩士在職專班,17,8,9,8,9,,,,
,8,國立中央大學,N,,1236,資訊工程學系碩士在職專班,18,11,7,11,7,,,,
,8,國立中央大學,N,,1240,通訊工程學系碩士在職專班,18,18,0,18,,,,,
,8,國立中央大學,N,,10243,網路學習科技研究所碩士在職專班,14,9,5,9,5,,,,
,8,國立中央大學,N,,9581,客家語文暨社會科學學系客家研究碩士在職專班,15,5,10,5,10,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,144,108,36,73,16,,,35,20
,8,國立中央大學,N,,12881,環境科技博士學位學程(台灣聯合大學系統),1,1,0,,,,,1,
,8,國立中央大學,N,,1147,中國文學系博士班,4,2,2,1,1,,,1,1
,8,國立中央大學,N,,1154,哲學研究所博士班,2,0,2,,2,,,,
,8,國立中央大學,N,,1161,學習與教學研究所博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,1163,數學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1166,物理學系博士班,9,6,3,4,1,,,2,2
,8,國立中央大學,N,,1169,化學學系博士班,4,1,3,1,1,,,,2
,8,國立中央大學,N,,1173,光電科學與工程學系博士班,4,3,1,3,1,,,,
,8,國立中央大學,N,,1171,天文研究所博士班,3,3,0,2,,,,1,
,8,國立中央大學,N,,1187,土木工程學系博士班,5,5,0,3,,,,2,
,8,國立中央大學,N,,1191,機械工程學系博士班,13,13,0,8,,,,5,
,8,國立中央大學,N,,1184,化學工程與材料工程學系博士班,8,7,1,7,,,,,1
,8,國立中央大學,N,,1194,環境工程研究所博士班,3,2,1,,,,,2,1
,8,國立中央大學,N,,9933,機械工程學系光機電工程博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,9466,能源工程研究所博士班,2,2,0,,,,,2,
,8,國立中央大學,N,,5473,材料科學與工程研究所博士班,4,2,2,2,1,,,,1
,8,國立中央大學,N,,14903,土木工程學系營建管理博士班,2,0,2,,,,,,2
,8,國立中央大學,N,,1206,企業管理學系博士班,13,7,6,6,4,,,1,2
,8,國立中央大學,N,,1210,資訊管理學系博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,1226,工業管理研究所博士班,3,3,0,2,,,,1,
,8,國立中央大學,N,,1217,財務金融學系博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1230,電機工程學系博士班,3,3,0,2,,,,1,
,8,國立中央大學,N,,1234,資訊工程學系博士班,11,7,4,7,2,,,,2
,8,國立中央大學,N,,1238,通訊工程學系博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,1242,網路學習科技研究所博士班,2,1,1,1,,,,,1
,8,國立中央大學,N,,9642,大氣科學學系大氣物理博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,9644,地球科學學系地球物理博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1251,應用地質研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,5482,水文與海洋科學研究所博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,,15464,太空科學與工程學系博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,5483,地球系統科學國際研究生博士學位學程,9,6,3,,1,,,6,2
,8,國立中央大學,N,,9465,客家語文暨社會科學學系客家研究博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1178,生命科學系博士班,10,7,3,6,1,,,1,2
,8,國立中央大學,N,,8497,認知神經科學研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,10241,生醫科學與工程學系跨領域轉譯醫學博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,10239,生醫科學與工程學系生物醫學工程博士班,5,4,1,1,,,,3,1
