年齡別統計1101(依據110/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
學校名稱,學年度,學制代碼,學制班別,年級,學生數總計男,學生數總計女,十五歲及以下男,十五歲及以下女,十六歲男,十六歲女,十七歲男,十七歲女,十八歲男,十八歲女,十九歲男,十九歲女,二十歲男,二十歲女,廿一歲男,廿一歲女,廿二歲男,廿二歲女,廿三歲男,廿三歲女,廿四歲男,廿四歲女,廿五歲男,廿五歲女,廿六歲男,廿六歲女,廿七歲男,廿七歲女,廿八歲男,廿八歲女,廿九歲男,廿九歲女,三十至三十四歲男,三十至三十四歲女,三十五至三十九歲男,三十五至三十九歲女,四十至四十四歲男,四十至四十四歲女,四五至四十九歲男,四五至四十九歲女,五十至五十九歲男,五十至五十九歲女,六十歲及以上男,六十歲及以上女,補充說明
本表總數(僅供檢核使用)合計,,,,,7823,4305,0,0,0,0,5,4,768,454,858,543,880,540,910,561,916,450,884,407,528,216,280,151,188,95,140,91,116,72,123,55,372,201,282,150,229,131,168,81,149,92,27,11,
國立中央大學,110,d1,博士班,1,148,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,14,4,21,10,7,5,10,4,9,1,6,4,13,8,24,10,18,4,8,4,7,4,3,0,
國立中央大學,110,d1,博士班,2,120,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,4,11,1,6,9,4,2,8,2,22,8,15,6,17,4,9,4,8,4,1,0,
國立中央大學,110,d1,博士班,3,112,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,3,11,6,10,6,8,2,21,13,18,7,10,3,9,1,6,1,1,0,
國立中央大學,110,d1,博士班,4,113,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3,7,3,11,9,7,3,33,12,15,6,13,6,7,0,8,3,1,0,
國立中央大學,110,d1,博士班,5,79,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,4,4,7,8,20,8,18,3,6,8,11,3,8,3,2,1,
國立中央大學,110,d1,博士班,6,70,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,11,0,25,14,7,6,9,5,3,3,7,2,2,1,
國立中央大學,110,d1,博士班,7,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,8,7,4,3,9,1,8,5,3,0,
國立中央大學,110,d1,博士班,8,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,5,1,3,0,2,1,1,0,
國立中央大學,110,d1,博士班,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
國立中央大學,110,m1,碩士班,1,1105,513,0,0,0,0,0,0,0,0,0,0,0,0,3,4,656,309,249,111,103,28,38,20,20,13,11,6,5,4,5,3,6,8,3,3,2,2,2,1,2,1,0,0,
國立中央大學,110,m1,碩士班,2,926,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,557,266,209,111,80,45,24,20,18,10,11,6,9,6,12,4,1,2,0,0,1,0,1,1,0,1,
國立中央大學,110,m1,碩士班,3,277,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,57,61,35,22,13,13,4,4,5,1,2,9,3,4,2,0,1,1,1,1,1,0,0,
國立中央大學,110,m1,碩士班,4,90,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,28,13,16,17,6,4,4,3,5,5,4,1,1,5,0,0,1,1,0,0,
國立中央大學,110,m1,碩士班,5,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,4,5,4,2,4,1,3,2,1,0,2,0,1,1,0,1,0,0,
國立中央大學,110,m2,碩士在職專班,1,344,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,6,10,6,23,12,23,14,22,10,19,8,62,41,51,42,43,36,41,23,36,25,4,3,
國立中央大學,110,m2,碩士在職專班,2,314,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,6,13,4,12,7,15,18,20,8,59,41,57,39,55,34,37,25,33,21,4,1,
國立中央大學,110,m2,碩士在職專班,3,112,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,2,4,1,5,3,37,16,22,8,17,13,8,6,9,10,1,1,
國立中央大學,110,m2,碩士在職專班,4,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,21,4,19,1,13,2,9,5,4,2,2,1,
國立中央大學,110,m2,碩士在職專班,5,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,8,5,6,2,8,2,7,4,2,2,
國立中央大學,110,m2,碩士在職專班,6,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,6,1,1,1,1,2,0,0,
國立中央大學,110,u1,學士班,1,995,573,0,0,0,0,5,4,766,453,171,89,32,21,10,6,3,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,2,911,590,0,0,0,0,0,0,2,1,684,454,174,105,32,18,12,8,3,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,3,860,518,0,0,0,0,0,0,0,0,3,0,671,407,143,92,28,12,8,5,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,4,869,540,0,0,0,0,0,0,0,0,0,0,3,7,721,441,114,82,17,9,9,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,5,129,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,38,23,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,6,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,5,1,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
國立中央大學,110,u1,學士班,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
