1101(依據110/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
代碼,學年度,學期,學院代碼,學院,單位代碼,校區,單位,學制代碼,學制班別,班次,學籍分組,年級,正式學籍之在學學生總人數男,正式學籍之在學學生總人數女,轉學生男,轉學生女,補充說明,各學制,女,男,總計
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,1,13,4,0,0,,博士班,302,705,1007
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,2,8,4,0,0,,碩士在職專班,537,896,1433
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,3,9,4,0,0,,碩士班,1190,2430,3620
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,4,11,0,0,0,,學士班,2276,3792,6068
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,5,10,2,0,0,,全校人數,4305,7823,12128
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,6,1,1,0,0,,,,,
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,7,1,0,0,0,,,,,
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,8,2,0,0,0,,,,,
1187,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,,,9,0,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,1,3,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,2,2,1,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,3,3,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,4,1,1,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,5,3,1,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,6,1,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,7,1,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,8,0,0,0,0,,,,,
14903,110,1,69,工學院,541,校本部,土木工程學系,d1,博士班,營建管理博士班,,9,0,0,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,1,23,5,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,2,21,6,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,3,7,2,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,4,2,0,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,5,0,0,0,0,,,,,
1189,110,1,69,工學院,541,校本部,土木工程學系,m2,碩士在職專班,,,6,1,0,0,0,,,,,
