112學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
學年度,學校代碼,學校名稱,日夜別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,TOTAL,全校班級,3399,2141,1258,2044,1211,20,11,77,36
,8,國立中央大學,N,SUBT1,學士班           共計,1422,838,584,826,574,11,10,1,0
,8,國立中央大學,N,1146,中國文學系,42,7,35,7,32,,3,,
,8,國立中央大學,N,1150,英美語文學系,45,13,32,13,32,,,,
,8,國立中央大學,N,1152,法國語文學系,59,10,49,10,48,,1,,
,8,國立中央大學,N,15182,文學院學士班,16,3,13,3,13,,,,
,8,國立中央大學,N,1162,數學系,73,46,27,46,26,,1,,
,8,國立中央大學,N,1165,物理學系,44,34,10,34,10,,,,
,8,國立中央大學,N,1168,化學學系,30,8,22,8,22,,,,
,8,國立中央大學,N,5470,光電科學與工程學系,40,27,13,27,13,,,,
,8,國立中央大學,N,7077,理學院學士班,19,11,8,11,8,,,,
,8,國立中央大學,N,1186,土木工程學系,89,71,18,71,16,,2,,
,8,國立中央大學,N,1190,機械工程學系,136,119,17,117,17,2,,,
,8,國立中央大學,N,1183,化學工程與材料工程學系,39,24,15,24,15,,,,
,8,國立中央大學,N,14515,工學院學士班,23,13,10,13,10,,,,
,8,國立中央大學,N,1205,企業管理學系,86,39,47,36,47,2,,1,
,8,國立中央大學,N,1209,資訊管理學系,90,55,35,53,34,2,1,,
,8,國立中央大學,N,1216,財務金融學系,64,28,36,26,36,2,,,
,8,國立中央大學,N,1213,經濟學系,56,29,27,29,26,,1,,
,8,國立中央大學,N,1229,電機工程學系,105,82,23,82,23,,,,
,8,國立中央大學,N,1233,資訊工程學系,101,67,34,66,34,1,,,
,8,國立中央大學,N,1237,通訊工程學系,47,35,12,35,12,,,,
,8,國立中央大學,N,14516,資訊電機學院學士班,25,19,6,19,6,,,,
,8,國立中央大學,N,1243,大氣科學學系,32,14,18,13,18,1,,,
,8,國立中央大學,N,1246,地球科學學系,44,21,23,20,22,1,1,,
,8,國立中央大學,N,14765,地球科學學院學士班,13,8,5,8,5,,,,
,8,國立中央大學,N,15188,太空科學與工程學系,26,20,6,20,6,,,,
,8,國立中央大學,N,9250,客家語文暨社會科學學系,30,12,18,12,18,,,,
,8,國立中央大學,N,1177,生命科學系,27,14,13,14,13,,,,
,8,國立中央大學,N,10236,生醫科學與工程學系,21,9,12,9,12,,,,
,8,國立中央大學,N,SUBT2,碩士班           共計,1395,944,451,895,428,9,1,40,22
,8,國立中央大學,N,7073,遙測科技碩士學位學程,12,6,6,2,4,,,4,2
,8,國立中央大學,N,1148,中國文學系碩士班,9,7,2,7,2,,,,
,8,國立中央大學,N,1151,英美語文學系碩士班,5,3,2,2,2,,,1,
,8,國立中央大學,N,1153,法國語文學系碩士班,1,0,1,,1,,,,
,8,國立中央大學,N,1155,哲學研究所碩士班,4,1,3,,3,1,,,
,8,國立中央大學,N,1157,歷史研究所碩士班,3,2,1,1,1,1,,,
,8,國立中央大學,N,1159,藝術學研究所碩士班,7,0,7,,6,,,,1
,8,國立中央大學,N,1160,學習與教學研究所碩士班,7,2,5,2,5,,,,
,8,國立中央大學,N,9253,亞際文化研究國際碩士學位學程(台灣聯合大學系統),3,1,2,1,2,,,,
,8,國立中央大學,N,1164,數學系碩士班,17,12,5,12,5,,,,
,8,國立中央大學,N,1167,物理學系碩士班,34,30,4,28,4,1,,1,
,8,國立中央大學,N,1170,化學學系碩士班,67,41,26,41,26,,,,
,8,國立中央大學,N,1176,統計研究所碩士班,25,15,10,15,10,,,,
,8,國立中央大學,N,1174,光電科學與工程學系碩士班,71,57,14,56,13,,,1,1
,8,國立中央大學,N,1172,天文研究所碩士班,3,0,3,,3,,,,
,8,國立中央大學,N,9935,光電科學與工程學系照明與顯示科技碩士班,4,4,0,4,,,,,
,8,國立中央大學,N,1188,土木工程學系碩士班,90,65,25,58,24,1,,6,1
,8,國立中央大學,N,1192,機械工程學系碩士班,110,101,9,92,9,2,,7,
,8,國立中央大學,N,1185,化學工程與材料工程學系碩士班,72,47,25,47,24,,,,1
,8,國立中央大學,N,1195,環境工程研究所碩士班,22,13,9,12,8,,,1,1
,8,國立中央大學,N,9932,機械工程學系光機電工程碩士班,15,13,2,13,2,,,,
,8,國立中央大學,N,1203,能源工程研究所碩士班,14,12,2,9,2,,,3,
,8,國立中央大學,N,1200,材料科學與工程研究所碩士班,24,14,10,14,10,,,,
,8,國立中央大學,N,14902,土木工程學系營建管理碩士班,12,7,5,7,2,,,,3
,8,國立中央大學,N,1207,企業管理學系碩士班,57,24,33,24,32,,1,,
,8,國立中央大學,N,1211,資訊管理學系碩士班,63,36,27,36,27,,,,
,8,國立中央大學,N,1221,產業經濟研究所碩士班,26,14,12,14,12,,,,
