表4-3  年齡別別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8,國立中央大學,,,TOTAL,12586,7948,4638,0,0,0,0,5,3,726,469,874,540,903,592,940,563,867,496,911,510,619,276,345,180,172,96,151,85,141,75,98,83,390,214,222,128,204,117,169,100,159,98,52,13
114,8,國立中央大學,D,B,1,1497,925,572,0,0,0,0,5,3,724,467,157,79,25,12,7,6,3,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,2,1497,937,560,0,0,0,0,0,0,2,2,716,460,161,80,37,15,15,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,3,1493,884,609,0,0,0,0,0,0,0,0,1,1,715,499,133,83,18,15,4,10,7,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,4,1469,918,551,0,0,0,0,0,0,0,0,0,0,2,1,756,455,124,75,22,12,5,4,6,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,5,233,149,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,68,37,10,8,4,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,6,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,M,1,1708,1100,608,0,0,0,0,0,0,0,0,0,0,0,0,7,3,603,330,270,153,105,50,48,29,17,13,20,11,13,5,3,4,10,3,2,2,1,1,0,0,0,4,1,0
114,8,國立中央大學,D,M,2,1573,1027,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,549,313,269,126,104,42,34,20,19,10,8,5,8,8,17,9,5,5,3,0,4,3,2,1,1,2
114,8,國立中央大學,D,M,3,496,327,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,190,77,85,52,25,13,12,10,7,2,2,4,2,7,0,2,1,2,0,0,0,0,1,0
114,8,國立中央大學,D,M,4,209,122,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,35,24,22,13,6,8,6,1,9,9,2,3,1,1,1,2,1,1,0,1
114,8,國立中央大學,D,M,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,V,M,1,546,342,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,13,7,14,6,19,8,22,9,24,14,71,50,54,30,43,28,35,25,34,24,9,0
114,8,國立中央大學,V,M,2,512,298,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,11,8,15,15,22,15,8,22,71,53,36,26,41,21,47,24,32,26,7,1
114,8,國立中央大學,V,M,3,197,132,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,1,11,4,8,9,41,13,22,15,23,9,5,6,11,5,3,1
114,8,國立中央大學,V,M,4,109,72,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2,2,4,24,6,14,5,12,3,9,6,4,3,1,5
114,8,國立中央大學,V,M,5,89,58,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,13,7,10,4,10,7,8,5,6,7,5,1
114,8,國立中央大學,D,D,1,207,145,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,7,14,6,13,7,7,0,4,5,7,2,8,1,21,3,13,7,16,10,14,9,13,3,2,2
114,8,國立中央大學,D,D,2,167,109,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,12,9,4,5,8,3,9,8,4,1,20,7,12,5,12,5,6,3,11,7,5,0
114,8,國立中央大學,D,D,3,139,94,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,2,10,3,7,3,3,4,18,10,10,5,5,7,10,5,13,3,3,0
114,8,國立中央大學,D,D,4,136,91,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,10,3,11,6,4,2,20,13,12,5,12,3,8,7,6,5,2,0
114,8,國立中央大學,D,D,5,114,77,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,13,7,19,8,5,3,10,10,13,0,8,5,1,0
114,8,國立中央大學,D,D,6,75,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,15,6,13,3,7,2,4,2,6,4,6,0
114,8,國立中央大學,D,D,7,83,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,8,12,7,7,7,5,3,12,0,5,0
114,8,國立中央大學,D,D,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
114,8,國立中央大學,D,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
