表4-3  年齡別學生人數統計（依據99/10/15在學學生資料-不含交換生及休學生）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度 ,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲及以上,
 2碼,4碼,(中文),1碼,1碼,1碼,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
99,0008,國立中央大學,D,B,1,1520,1027,493,0,0,0,0,9,10,838,429,145,38,24,9,6,2,1,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,B,2,1516,999,517,0,0,0,0,0,0,7,5,832,440,120,57,19,12,11,2,4,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,B,3,1442,932,510,0,0,0,0,0,0,0,0,9,10,773,431,110,52,21,12,9,2,5,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,B,4,1366,859,507,0,0,0,0,0,0,0,0,0,0,14,9,671,427,148,51,17,8,4,5,2,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,B,8,246,194,52,0,0,0,0,0,0,0,0,0,0,0,0,1,2,112,29,49,13,16,3,7,2,1,3,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,M,1,1414,970,444,0,0,0,0,0,0,0,0,0,1,0,0,9,5,535,247,220,105,102,34,54,19,20,10,11,6,5,2,3,3,6,7,2,4,1,0,0,0,2,1,0,0
99,0008,國立中央大學,D,M,2,1309,876,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,461,245,209,110,99,27,43,15,26,6,16,6,2,3,9,11,2,2,1,1,1,3,1,0,0,0
99,0008,國立中央大學,D,M,3,348,208,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,49,63,38,26,17,12,14,8,6,1,2,10,6,0,0,1,2,2,1,0,1,0,0
99,0008,國立中央大學,D,M,4,165,79,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,13,15,13,16,9,11,13,5,13,8,3,2,0,2,1,0,1,3,0,0
99,0008,國立中央大學,D,M,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,V,M,1,539,384,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,4,11,7,16,9,21,9,24,11,133,53,76,28,43,13,31,13,22,7,2,0
99,0008,國立中央大學,V,M,2,517,355,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,8,7,22,14,20,9,124,48,87,32,46,25,25,12,12,10,4,0
99,0008,國立中央大學,V,M,3,247,170,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,7,5,7,78,29,45,15,14,14,11,2,7,2,1,0
99,0008,國立中央大學,V,M,4,169,127,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,62,18,31,9,15,7,7,3,5,1,1,0
99,0008,國立中央大學,V,M,8,94,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,2,25,4,9,8,9,1,3,0,1,0
99,0008,國立中央大學,D,D,1,249,195,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,26,12,32,7,17,6,11,4,13,2,9,1,33,9,20,5,10,4,10,0,7,2,0,0
99,0008,國立中央大學,D,D,2,270,222,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,56,4,31,5,16,3,12,3,14,7,36,10,23,5,11,5,8,2,8,2,0,0
99,0008,國立中央大學,D,D,3,257,200,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,1,34,8,27,5,23,9,15,5,36,10,25,7,14,6,9,5,4,0,1,0
99,0008,國立中央大學,D,D,4,253,209,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,35,7,28,4,14,3,63,16,23,6,20,5,10,2,6,0,0,0
99,0008,國立中央大學,D,D,5,181,153,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,31,1,28,2,40,12,13,5,19,4,7,0,6,1,0,1
99,0008,國立中央大學,D,D,6,154,121,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,23,5,46,18,21,4,11,1,14,2,3,1,0,0
99,0008,國立中央大學,D,D,7,125,101,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,49,13,16,6,11,2,11,1,5,1,0,0
99,0008,國立中央大學,D,D,8,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,2,2,0,0
99,0008,國立中央大學,D,M,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0008,國立中央大學,D,M,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
