表5-1  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
98,0008,國立中央大學,,,TOTAL,全校班級,3110,2133,977,2077,950,36,15,20,12
98,0008,國立中央大學,,,SUBT1,學士班           共計,1300,854,446,824,431,30,15,0,0
98,0008,國立中央大學,D,B,220201,中國文學系,43,8,35,8,34,0,1,0,0
98,0008,國立中央大學,D,B,220310,英美語文學系,52,15,37,14,36,1,1,0,0
98,0008,國立中央大學,D,B,220314,法國語文學系,44,6,38,6,36,0,2,0,0
98,0008,國立中央大學,D,B,460101,數學系,50,42,8,41,8,1,0,0,0
98,0008,國立中央大學,D,B,440301,物理學系,57,49,8,49,8,0,0,0,0
98,0008,國立中央大學,D,B,440101,化學學系,37,26,11,26,11,0,0,0,0
98,0008,國立中央大學,D,B,420103,生命科學系,40,26,14,26,13,0,1,0,0
98,0008,國立中央大學,D,B,520106,光電科學與工程學系,26,18,8,18,8,0,0,0,0
98,0008,國立中央大學,D,B,520301,土木工程學系,76,61,15,60,15,1,0,0,0
98,0008,國立中央大學,D,B,520201,機械工程學系,136,123,13,121,12,2,1,0,0
98,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,55,37,18,37,18,0,0,0,0
98,0008,國立中央大學,D,B,340301,企業管理學系,102,26,76,21,73,5,3,0,0
98,0008,國立中央大學,D,B,480109,資訊管理學系,93,55,38,53,36,2,2,0,0
98,0008,國立中央大學,D,B,340501,財務金融學系,61,20,41,19,41,1,0,0,0
98,0008,國立中央大學,D,B,310101,經濟學系,64,31,33,27,31,4,2,0,0
98,0008,國立中央大學,D,B,520101,電機工程學系,119,113,6,111,6,2,0,0,0
98,0008,國立中央大學,D,B,520114,資訊工程學系,95,83,12,76,11,7,1,0,0
98,0008,國立中央大學,D,B,520126,通訊工程學系,49,42,7,40,6,2,1,0,0
98,0008,國立中央大學,D,B,440401,大氣科學學系,54,41,13,40,13,1,0,0,0
98,0008,國立中央大學,D,B,440201,地球科學學系,47,32,15,31,15,1,0,0,0
98,0008,國立中央大學,,,SUBT2,碩士班           共計,1202,855,347,841,339,5,0,9,8
98,0008,國立中央大學,D,M,449904,遙測科技碩士學位學程,9,7,2,5,0,0,0,2,2
98,0008,國立中央大學,D,M,220201,中國文學系碩士班,7,2,5,2,5,0,0,0,0
98,0008,國立中央大學,D,M,220310,英美語文學系碩士班,13,4,9,4,9,0,0,0,0
98,0008,國立中央大學,D,M,220314,法國語文學系碩士班,4,0,4,0,4,0,0,0,0
98,0008,國立中央大學,D,M,221101,哲學研究所碩士班,10,2,8,2,8,0,0,0,0
98,0008,國立中央大學,D,M,220901,歷史研究所碩士班,13,11,2,10,2,0,0,1,0
98,0008,國立中央大學,D,M,210701,藝術學研究所碩士班,7,1,6,1,6,0,0,0,0
98,0008,國立中央大學,D,M,140111,學習與教學研究所碩士班,6,0,6,0,6,0,0,0,0
98,0008,國立中央大學,D,M,460101,數學系碩士班,17,13,4,13,4,0,0,0,0
98,0008,國立中央大學,D,M,440301,物理學系碩士班,28,21,7,21,7,0,0,0,0
98,0008,國立中央大學,D,M,440101,化學學系碩士班,43,33,10,33,10,0,0,0,0
98,0008,國立中央大學,D,M,420103,生命科學系碩士班,24,7,17,7,17,0,0,0,0
98,0008,國立中央大學,D,M,460201,統計研究所碩士班,19,9,10,9,10,0,0,0,0
98,0008,國立中央大學,D,M,520106,光電科學與工程學系碩士班,47,40,7,40,7,0,0,0,0
98,0008,國立中央大學,D,M,310510,認知與神經科學研究所碩士班,4,1,3,1,3,0,0,0,0
98,0008,國立中央大學,D,M,440601,天文研究所碩士班,9,3,6,3,6,0,0,0,0
98,0008,國立中央大學,D,M,440304,生物物理研究所碩士班,6,3,3,2,3,1,0,0,0
98,0008,國立中央大學,D,M,520165,照明與顯示科技研究所,5,5,0,5,0,0,0,0,0
98,0008,國立中央大學,D,M,420611,系統生物與生物資訊研究所碩士班,14,8,6,8,6,0,0,0,0
98,0008,國立中央大學,D,M,520301,土木工程學系碩士班,86,70,16,66,14,2,0,2,2
98,0008,國立中央大學,D,M,520201,機械工程學系碩士班,79,73,6,71,6,0,0,2,0
98,0008,國立中央大學,D,M,520403,化學工程與材料工程學系碩士班,61,46,15,46,15,0,0,0,0
98,0008,國立中央大學,D,M,349927,營建管理研究所碩士班,13,11,2,11,2,0,0,0,0
98,0008,國立中央大學,D,M,520901,環境工程研究所碩士班,16,13,3,13,3,0,0,0,0
98,0008,國立中央大學,D,M,520229,光機電工程研究所碩士班,20,20,0,20,0,0,0,0,0
98,0008,國立中央大學,D,M,521309,能源工程研究所碩士班,14,13,1,12,1,1,0,0,0
98,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,11,9,2,9,2,0,0,0,0
98,0008,國立中央大學,D,M,521108,生物醫學工程研究所碩士班,9,8,1,7,1,1,0,0,0
98,0008,國立中央大學,D,M,340301,企業管理學系碩士班,64,39,25,39,24,0,0,0,1
98,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,48,35,13,35,13,0,0,0,0
98,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,26,15,11,15,11,0,0,0,0
98,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,31,21,10,21,10,0,0,0,0
98,0008,國立中央大學,D,M,349919,人力資源管理研究所碩士班,27,6,21,5,20,0,0,1,1
98,0008,國立中央大學,D,M,340501,財務金融學系碩士班,27,16,11,16,11,0,0,0,0
98,0008,國立中央大學,D,M,310101,經濟學系碩士班,13,7,6,7,6,0,0,0,0
98,0008,國立中央大學,D,M,340201,會計研究所碩士班,8,5,3,5,3,0,0,0,0
98,0008,國立中央大學,D,M,520101,電機工程學系碩士班,113,102,11,102,11,0,0,0,0
98,0008,國立中央大學,D,M,520114,資訊工程學系碩士班,93,79,14,79,14,0,0,0,0
98,0008,國立中央大學,D,M,520126,通訊工程學系碩士班,42,28,14,28,14,0,0,0,0
98,0008,國立中央大學,D,M,140805,網路學習科技研究所碩士班,16,11,5,11,5,0,0,0,0
98,0008,國立中央大學,D,M,480306,軟體工程研究所碩士班,3,2,1,2,1,0,0,0,0
98,0008,國立中央大學,D,M,440402,大氣物理研究所碩士班,22,12,10,11,10,0,0,1,0
98,0008,國立中央大學,D,M,440209,地球物理研究所碩士班,14,11,3,11,3,0,0,0,0
98,0008,國立中央大學,D,M,440603,太空科學研究所碩士班,20,16,4,16,3,0,0,0,1
98,0008,國立中央大學,D,M,440204,應用地質研究所碩士班,11,7,4,7,4,0,0,0,0
98,0008,國立中央大學,D,M,440207,水文與海洋科學研究所碩士班,6,4,2,4,2,0,0,0,0
98,0008,國立中央大學,D,M,310723,客家社會文化研究所碩士班,4,0,4,0,3,0,0,0,1
98,0008,國立中央大學,D,M,220103,客家語文研究所碩士班,9,2,7,2,7,0,0,0,0
98,0008,國立中央大學,D,M,310403,客家政治經濟研究所碩士班,8,3,5,3,5,0,0,0,0
98,0008,國立中央大學,D,M,380103,法律與政府研究所碩士班,3,1,2,1,2,0,0,0,0
98,0008,國立中央大學,,M,SUBT3,碩士在職專班           共計,411,268,143,265,141,0,0,3,2
98,0008,國立中央大學,V,M,220201,中國文學系碩士在職專班,17,2,15,2,15,0,0,0,0
98,0008,國立中央大學,V,M,221101,哲學研究所碩士在職專班,6,1,5,1,5,0,0,0,0
98,0008,國立中央大學,V,M,220901,歷史研究所碩士在職專班,26,11,15,11,15,0,0,0,0
98,0008,國立中央大學,V,M,520106,光電科學與工程學系碩士在職專班,6,5,1,5,1,0,0,0,0
98,0008,國立中央大學,V,M,520301,土木工程學系碩士在職專班,23,21,2,21,2,0,0,0,0
98,0008,國立中央大學,V,M,520201,機械工程學系碩士在職專班,13,13,0,13,0,0,0,0,0
98,0008,國立中央大學,V,M,349927,營建管理研究所碩士在職專班,3,3,0,3,0,0,0,0,0
98,0008,國立中央大學,V,M,520901,環境工程研究所碩士在職專班,19,16,3,16,3,0,0,0,0
98,0008,國立中央大學,V,M,520911,國際永續發展碩士在職專班,5,3,2,0,0,0,0,3,2
98,0008,國立中央大學,V,M,349939,管理學院高階主管企管碩士班,57,44,13,44,13,0,0,0,0
98,0008,國立中央大學,V,M,340301,企業管理學系碩士在職專班,30,17,13,17,13,0,0,0,0
98,0008,國立中央大學,V,M,480109,資訊管理學系碩士在職專班,28,21,7,21,7,0,0,0,0
98,0008,國立中央大學,V,M,310104,產業經濟研究所碩士在職專班,25,15,10,15,10,0,0,0,0
98,0008,國立中央大學,V,M,349906,工業管理研究所碩士在職專班,27,21,6,21,6,0,0,0,0
98,0008,國立中央大學,V,M,349919,人力資源管理研究所碩士在職專班,31,12,19,12,19,0,0,0,0
98,0008,國立中央大學,V,M,340501,財務金融學系碩士在職專班,25,11,14,11,14,0,0,0,0
98,0008,國立中央大學,V,M,520101,電機工程學系碩士在職專班,6,5,1,5,1,0,0,0,0
98,0008,國立中央大學,V,M,520114,資訊工程學系碩士在職專班,23,20,3,20,3,0,0,0,0
98,0008,國立中央大學,V,M,520126,通訊工程學系碩士在職專班,23,23,0,23,0,0,0,0,0
98,0008,國立中央大學,V,M,310403,客家研究碩士在職專班,18,4,14,4,14,0,0,0,0
98,0008,國立中央大學,,,SUBT4,博士班           共計,180,141,39,139,39,1,0,1,0
98,0008,國立中央大學,D,D,220201,中國文學系博士班,9,1,8,1,8,0,0,0,0
98,0008,國立中央大學,D,D,221101,哲學研究所博士班,5,2,3,1,3,1,0,0,0
98,0008,國立中央大學,D,D,460101,數學系博士班,2,1,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,440301,物理學系博士班,5,5,0,5,0,0,0,0,0
98,0008,國立中央大學,D,D,440101,化學學系博士班,3,3,0,3,0,0,0,0,0
98,0008,國立中央大學,D,D,460201,統計研究所博士班,4,3,1,3,1,0,0,0,0
98,0008,國立中央大學,D,D,520106,光電科學與工程學系博士班,13,13,0,13,0,0,0,0,0
98,0008,國立中央大學,D,D,440601,天文研究所博士班,2,1,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,520301,土木工程學系博士班,12,11,1,11,1,0,0,0,0
98,0008,國立中央大學,D,D,520201,機械工程學系博士班,22,21,1,20,1,0,0,1,0
98,0008,國立中央大學,D,D,520403,化學工程與材料工程學系博士班,9,9,0,9,0,0,0,0,0
98,0008,國立中央大學,D,D,520901,環境工程研究所博士班,3,2,1,2,1,0,0,0,0
98,0008,國立中央大學,D,D,340301,企業管理學系博士班,18,11,7,11,7,0,0,0,0
98,0008,國立中央大學,D,D,480109,資訊管理學系博士班,11,6,5,6,5,0,0,0,0
98,0008,國立中央大學,D,D,310104,產業經濟研究所博士班,2,1,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,349906,工業管理研究所博士班,1,0,1,0,1,0,0,0,0
98,0008,國立中央大學,D,D,349919,人力資源管理研究所博士班,1,0,1,0,1,0,0,0,0
98,0008,國立中央大學,D,D,340501,財務金融學系博士班,1,1,0,1,0,0,0,0,0
98,0008,國立中央大學,D,D,310101,經濟學系博士班,2,1,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,520101,電機工程學系博士班,16,15,1,15,1,0,0,0,0
98,0008,國立中央大學,D,D,520114,資訊工程學系博士班,21,20,1,20,1,0,0,0,0
98,0008,國立中央大學,D,D,440402,大氣物理研究所博士班,3,3,0,3,0,0,0,0,0
98,0008,國立中央大學,D,D,440209,地球物理研究所博士班,10,7,3,7,3,0,0,0,0
98,0008,國立中央大學,D,D,440603,太空科學研究所博士班,5,4,1,4,1,0,0,0,0
98,0008,國立中央大學,,,SUBT5,產業研發碩士專班           共計,17,15,2,8,0,0,0,7,2
98,0008,國立中央大學,D,M,520188,光電科學與工程學系光電產業研發碩士專班,3,3,0,3,0,0,0,0,0
98,0008,國立中央大學,D,M,520188,光電科學與工程學系光電顯示產業研發碩士專班,5,5,0,5,0,0,0,0,0
98,0008,國立中央大學,D,M,520188,資電學院嵌入式系統產業研發碩士外國學生專班,9,7,2,0,0,0,0,7,2
