九十學年度大學部新生報到率,Unnamed: 1,Unnamed: 2,Unnamed: 3
系所名稱,實際錄取人數,註冊人數,新生報到率
中國文學系,50,49,0.98
英美語文學系,49,49,1
法國語文學系,45,45,1
數學系,92,91,0.9891304347826086
物理學系,52,51,0.9807692307692307
化學學系,40,39,0.975
生命科學系,38,28,0.7368421052631579
土木工程學系,104,103,0.9903846153846154
機械工程學系,156,153,0.9807692307692307
化學工程與材料工程學系,51,53,1.0392156862745099
企業管理學系,106,106,1
資訊管理學系,106,102,0.9622641509433962
經濟學系,55,54,0.9818181818181818
財務金融學系,63,63,1
電機工程學系,103,94,0.912621359223301
資訊工程學系,104,97,0.9326923076923077
大氣科學學系,49,47,0.9591836734693877
地球科學學系,54,54,1
總計,1317,1278,0.9703872437357631
