九十一 學年度大學部新生報到率,Unnamed: 1,Unnamed: 2,Unnamed: 3
系所名稱,實際錄取人數,註冊人數,新生報到率
中國文學系,51,47,0.9215686274509803
英美語文學系,48,48,1
法國語文學系,44,42,0.9545454545454546
數學系,84,82,0.9761904761904762
物理學系,48,46,0.9583333333333334
化學學系,42,42,1
生命科學系,38,32,0.8421052631578947
土木工程學系,104,97,0.9326923076923077
機械工程學系,156,155,0.9935897435897436
化學工程與材料工程學系,53,52,0.9811320754716981
企業管理學系,109,106,0.9724770642201835
資訊管理學系,107,100,0.9345794392523364
經濟學系,59,56,0.9491525423728814
財務金融學系,63,60,0.9523809523809523
電機工程學系,103,102,0.9902912621359223
資訊工程學系,106,94,0.8867924528301887
大氣科學學系,53,53,1
地球科學學系,51,49,0.9607843137254902
總計,1319,1263,0.9575435936315391
