九十二學年度大學部新生報到率,Unnamed: 1,Unnamed: 2,Unnamed: 3
系所名稱,實際錄取人數,註冊人數,新生報到率
中國文學系,50,49,0.98
英美語文學系,51,51,1
法國語文學系,41,38,0.926829268292683
數學系,82,81,0.9878048780487805
物理學系,49,47,0.9591836734693877
化學學系,41,38,0.926829268292683
生命科學系,38,30,0.7894736842105263
土木工程學系,106,101,0.9528301886792453
機械工程學系,157,157,1
化學工程與材料工程學系,54,52,0.9629629629629629
企業管理學系,111,107,0.963963963963964
資訊管理學系,108,102,0.9444444444444444
經濟學系,59,57,0.9661016949152542
財務金融學系,63,63,1
電機工程學系,104,101,0.9711538461538461
資訊工程學系,105,98,0.9333333333333333
通訊工程學系,50,50,1
大氣科學學系,58,56,0.9655172413793104
地球科學學系,51,49,0.9607843137254902
總計,1378,1327,0.9629898403483309
