表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十五        學年度,,,,,,,,,,,,,,,,
學年報：根據04月19日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
大學部共計,,5475,3658,1817,894,472,873,457,827,454,822,396,,,,,,,242,38
文學院,,583,93,490,39,116,18,118,21,121,11,118,,,,,,,4,17
    中國文學系,  ,212,34,178,12,47,6,42,12,38,2,42,,,,,,,2,9
    英美語文學系,  ,207,34,173,19,33,5,41,3,48,6,45,,,,,,,1,6
    法國語文學系,  ,164,25,139,8,36,7,35,6,35,3,31,,,,,,,1,2
理學院,,881,683,198,180,48,158,45,162,46,124,57,,,,,,,59,2
    數學系,  ,306,253,53,53,9,53,11,61,16,55,15,,,,,,,31,2
    物理學系,  ,218,191,27,41,6,50,4,45,9,36,8,,,,,,,19,
    化學學系,  ,166,120,46,33,10,31,13,29,10,20,13,,,,,,,7,
    生命科學系,  ,161,97,64,31,15,24,17,27,11,13,21,,,,,,,2,
    物理與地球科學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    光電科學與工程學系,  ,30,22,8,22,8,,,,,0,0,,,,,,,,
    大氣物理學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
工學院,,1172,979,193,237,55,222,53,196,57,230,26,,,,,,,94,2
    化學工程學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    土木工程學系,  ,360,281,79,77,22,70,21,50,27,59,8,,,,,,,25,1
    機械工程學系,  ,576,521,55,125,13,117,15,101,17,128,9,,,,,,,50,1
    化學工程與材料工程學系,  ,236,177,59,35,20,35,17,45,13,43,9,,,,,,,19,
    (此代碼不要用)電機工程學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
管理學院,,1369,680,689,136,194,161,179,173,156,177,147,,,,,,,33,13
    企業管理學系,  ,457,177,280,31,85,42,71,48,57,46,61,,,,,,,10,6
    資訊管理學系,  ,417,277,140,53,40,68,34,66,41,73,23,,,,,,,17,2
    財務管理學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    財務金融學系,  ,254,115,139,26,35,26,37,31,32,29,34,,,,,,,3,1
    經濟學系,  ,241,111,130,26,34,25,37,28,26,29,29,,,,,,,3,4
資訊電機學院,,1070,924,146,219,29,237,42,216,46,215,27,,,,,,,37,2
    電機工程學系,  ,449,399,50,93,9,102,15,98,13,94,12,,,,,,,12,1
    資訊工程學系,  ,413,356,57,85,14,90,15,77,17,79,10,,,,,,,25,1
    通訊工程學系,  ,208,169,39,41,6,45,12,41,16,42,5,,,,,,,,
地球科學學院,,400,299,101,83,30,77,20,59,28,65,21,,,,,,,15,2
    大氣科學學系,  ,222,178,44,45,15,46,7,39,11,39,9,,,,,,,9,2
    地球科學學系,  ,178,121,57,38,15,31,13,20,17,26,12,,,,,,,6,
客家學院,,0,0,0,,,,,,,0,0,,,,,,,,
