表11－1  一年級學生人數分析統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
學校名稱：0008 中央大學             ,,                                 中華民國        九十七        學年度,,,,,,,
學年報：根據上學年度資料於十月三十日前報部,,,,,,,,單位：人,
,總                       計,,,新                  生                 人                  數,,,,"僑生分及、
復學生及其他",
,,,,應屆畢業入學者,,"以前年度畢業入學者
（含同等學力）",,,
,,,,,,,,,
,計,男,女,男,女,男,女,男,女
碩士班一年級    小計,1873,1286,587,768,286,518,301,22,19
,1359,,,,,,,,
一般生,1349,941,408,761,285,180,123,17,13
產業專班,10,8,2,4,1,4,1,0,0
在職專班,520,342,178,8,1,334,177,5,6
,,,,,,,,,
大學部一年級    小計,1456,946,510,882,489,64,21,43,27
    高中（含高職普通科）畢業,,,,,,,,,
    高職（含高中附設職業科）畢業,,,,,,,,,
    高級進修學校（補校）畢業（含其他）,,,,,,,,,
,,,,,,,,,
二技一年級    小計,,,,,,,,,
    二專畢業,,,,,,,,,
    五專畢業,,,,,,,,,
    專科進修學校（補校）畢業（含其他）,,,,,,,,,
,,,,,,,,,
二專一年級    小計,,,,,,,,,
    高中（含高職普通科）畢業,,,,,,,,,
    高職（含高中附設職業科）畢業,,,,,,,,,
    高級進修學校（補校）畢業（含其他）,,,,,,,,,
,,,,,,,,,
五專一年級  小計,,,,,,,,,
    國中畢業 ,,,,,,,,,
    補校畢業,,,,,,,,,
校長：,主辦業務人員：,,,審核：,,填表：,,,中華民國97年10月19日編報
,主辦統計人員：,,,,,,,,聯絡電話：（03）4227151#7121
,,,,,,,,,
"填表說明：1.表中一年級學生合計欄應與表號4-1一年級學生數相符（二技除外）。
                    2.本表旨在瞭解新生中，國中、高中、高職、專科、補校、大學應屆畢業生中升學之人數。
                    3.大學新增第二部（乙部、B部、轉型）之新生，可單獨或合併日大一年級填表；進修學士班，則請單獨填表；七年一貫制新生請填
                       於五專欄位，並註明。
                    4.本表編製一式二作，一份送教育部統計處，一份存校備查。",,,,,,,,,
