表4-3A  年齡別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
學年度 ,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30歲及以上,
 2碼,4碼,(中文),1碼,1碼,1碼,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30
97,0008,國立中央大學,D,B,TOTAL,11954,8205,3749,0,0,0,0,4,2,771,415,812,504,862,424,786,442,757,365,856,320,569,232,342,129,266,104,208,73,171,85,207,84,1594,570
97,0008,國立中央大學,D,B,SUBT1,5792,3800,1992,,,,,4,2,771,415,812,504,862,424,781,437,349,145,128,30,50,22,20,2,10,4,2,3,3,1,3,1,5,2
97,0008,國立中央大學,D,B,1,1456,946,510,,,,,4,2,763,410,142,84,21,9,10,1,3,2,1,1,2,1,,,,,,,,,,,,
97,0008,國立中央大學,D,B,2,1437,916,521,,,,,,,8,5,660,417,207,72,26,13,5,5,5,5,4,1,1,,,1,,1,,,,,,1
97,0008,國立中央大學,D,B,3,1310,859,451,,,,,,,,,10,3,631,340,158,94,35,8,9,3,5,3,3,,5,,,,,,1,,2,
97,0008,國立中央大學,D,B,4,1304,851,453,,,,,,,,,,,3,3,587,329,191,101,47,10,13,4,5,2,2,2,1,,1,,,1,1,1
97,0008,國立中央大學,D,B,8,285,228,57,,,,,,,,,,,,,,,115,29,66,11,26,13,11,,3,1,1,2,2,1,2,,2,
97,0008,國立中央大學,D,M,SUBT2,3119,2128,991,,,,,0,0,0,0,0,0,0,0,5,5,406,219,714,288,465,196,225,105,143,62,62,25,32,27,20,10,56,54
97,0008,國立中央大學,D,M,1,1349,941,408,,,,,,,,,,,,,5,5,402,215,296,99,109,43,54,21,30,9,16,5,10,2,6,2,13,7
97,0008,國立中央大學,D,M,2,1294,899,395,,,,,,,,,,,,,,,4,4,416,188,263,110,87,37,64,21,26,10,9,8,10,3,20,14
97,0008,國立中央大學,D,M,3,329,224,105,,,,,,,,,,,,,,,,,2,1,93,43,68,30,28,15,11,3,6,1,4,2,12,10
97,0008,國立中央大學,D,M,4,147,64,83,,,,,,,,,,,,,,,,,,,,,16,17,21,17,9,7,7,16,,3,11,23
97,0008,國立中央大學,N,M,SUBT3,1465,1015,450,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,14,15,16,25,31,29,74,51,874,327
97,0008,國立中央大學,N,M,1,520,342,178,,,,,,,,,,,,,,,,,,,1,2,3,1,10,9,6,14,19,14,33,24,270,114
97,0008,國立中央大學,N,M,2,509,358,151,,,,,,,,,,,,,,,,,,,,,2,,3,5,10,7,10,7,26,17,307,115
97,0008,國立中央大學,N,M,3,247,173,74,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,7,10,6,160,56
97,0008,國立中央大學,N,M,4,148,109,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,104,34
97,0008,國立中央大學,N,M,5,41,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8
97,0008,國立中央大學,D,D,SUBT4,1538,1225,313,,,,,0,0,0,0,0,0,0,0,0,0,1,1,12,1,47,10,85,21,95,23,122,20,102,28,106,22,655,187
97,0008,國立中央大學,D,D,1,305,239,66,,,,,,,,,,,,,,,1,1,11,1,38,9,35,10,25,11,19,5,11,3,11,3,88,23
97,0008,國立中央大學,D,D,2,312,258,54,,,,,,,,,,,,,,,,,1,,9,1,40,9,31,4,21,3,15,6,16,3,125,28
97,0008,國立中央大學,D,D,3,242,196,46,,,,,,,,,,,,,,,,,,,,,10,2,36,5,31,2,17,4,10,5,92,28
97,0008,國立中央大學,D,D,4,225,179,46,,,,,,,,,,,,,,,,,,,,,,,3,3,35,8,24,7,18,4,99,24
97,0008,國立中央大學,D,D,5,220,169,51,,,,,,,,,,,,,,,,,,,,,,,,,16,2,30,8,28,5,95,36
97,0008,國立中央大學,D,D,6,119,99,20,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,17,1,77,19
97,0008,國立中央大學,D,D,7,115,85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,79,29
97,0008,國立中央大學,D,M,SUBT5,40,37,3,,,,,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,2,7,0,4,0,6,0,3,0,4,0,4,0
97,0008,國立中央大學,D,M,1,10,8,2,,,,,,,,,,,,,,,1,,2,1,4,1,,,,,,,,,1,,,
97,0008,國立中央大學,D,M,2,20,19,1,,,,,,,,,,,,,,,,,,,1,1,7,,3,,4,,1,,,,3,
97,0008,國立中央大學,D,M,3,8,8,0,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,3,,1,
97,0008,國立中央大學,D,M,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
