國立中央大學九十學年度第一學期學士班學生退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
院別,系所別,各年級退學生人數,,,,
,,一年級,二年級,三年級,四年級,
文學院,中國文學研究所,,,,,1.1
文學院,中國文學系,,,,,
,英美語文學系,0,0,2,0,
,法國語文學系,1,1,1,0,
,總計,1,1,3,0,
,數學研究所,0,,,0,
理學院,數學系,2,3,4,1,
,物理學系,0,0,0,0,
,化學學系,3,0,1,1,
,生命科學系,3,0,4,0,
,,0,,,0,
,總計,8,3,9,2,
工學院,化學工程與材料工程學系,1,1,1,0,
,土木工程學系,1,2,1,0,
,機械工程學系,2,5,5,2,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,總計,4,8,7,2,
管理學院,企業管理學系,0,1,0,0,
,資訊管理學系,3,2,0,0,
,經濟學系,0,0,0,0,
,財務金融學系,0,0,0,0,
,,,,,,
,,,,,,
,總計,3,3,0,0,
資電學院,電機工程學系,4,0,2,0,
,資訊工程學系,2,2,1,0,
,,,,,,
,總計,6,2,3,0,
地科學院,大氣科學學系,0,0,1,0,
,地球科學學系,0,2,0,0,
,,,,,,
,總計,0,2,1,0,
總         計  ：,,22,19,23,4,
