國立中央大學九十一學年度第一學期碩士班學生退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3
院別,系所別,各年級退學生   人數,
,,一年級,二年級以上
文學院,中國文學系碩士班,,
,英美語文學系碩士班,1,1
,法國語文學系碩士班,1,0
,哲學研究所碩士班,0,1
,哲學研究所碩士班,0,1
,哲學碩士在職專班,0,0
,總計,2,2
理學院,數學系碩士班,0,1
,物理學系碩士班,1,1
,化學學系碩士班,1,0
,光電科學研究所碩士班,2,0
,天文研究所碩士班,0,0
,總計,4,2
工學院,化學工程與材料工程學系碩士班,0,1
,土木工程學系碩士班,0,1
,機械工程學系碩士班,1,1
,環境工程研究所碩士班,0,1
,總計,1,4
,,,
,,,
管理學院,企業管理學系碩士班,0,0
,資訊管理學系碩士班,0,0
,產業經濟研究所碩士班,1,0
,財務金融學系碩士班,1,0
,工業管理研究所碩士班,0,0
,人力資源管理碩士在職專班,0,1
,管理學院高階企管碩士專班,0,0
,企業管理學系碩士在職專班,0,0
,資訊管理學系碩士在職專班,0,0
,總計,2,1
資電學院,電機工程學系碩士班,1,0
,資訊工程學系碩士班,0,3
,總計,1,3
地科學院,大氣物理研究所碩士班,0,2
,地球物理研究所碩士班,0,0
,太空科學研究所碩士班,1,1
,應用地質研究所碩士班,0,0
,應用地質研究所碩士班,0,0
,,0,0
,總計,1,3
總         計  ：,,11,15
