國立中央大學九十一學年度第二學期全校退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
院別,系所別,各年級退學生人數,,,
,,一年級,二年級,三年級,四年級
文學院,中國文學系,0,2,0,0
,英美語文學系,0,0,0,0
,法國語文學系,1,1,2,1
,大學部合計,1,3,2,1
,中國文學系碩士班,0,1,—,—
,哲學研究所碩士班,1,3,—,—
,哲學碩士在職專班,1,0,—,—
,研究所合計,2,4,—,—
,合計,3,7,2,1
理學院,數學系,1,3,1,0
,物理學系,0,3,0,1
,化學學系,0,0,2,1
,生命科學系,0,1,0,1
,大學部合計,1,7,3,3
,化學學系碩士班,0,1,—,—
,光電科學碩士在職專班,0,1,—,—
,數學系博士班,0,2,—,—
,物理學系博士班,0,3,—,—
,光電科學研究所博士班,1,1,—,—
,研究所合計,1,8,—,—
,合計,2,15,3,3
工學院,化學工程與材料工程學系,0,0,0,0
,土木工程學系,1,2,3,2
,機械工程學系,2,1,0,1
,大學部合計,3,3,3,3
,土木工程學系碩士班,1,1,—,—
,機械工程學系碩士班,0,1,—,—
,化學工程與材料工程學系博士班,1,0,—,—
,機械工程學系博士班,1,0,—,—
,環境工程研究所博士班,0,1,—,—
,研究所合計,3,3,—,—
,合計,6,6,3,3
,,,,,
,,,,,
管理學院,企業管理學系,1,2,0,2
,資訊管理學系,0,0,0,0
,經濟學系,1,2,1,0
,財務金融學系,0,0,0,0
,大學部合計,2,4,1,2
,產業經濟研究所碩士班,0,1,—,—
,財務金融學系碩士班,1,0,—,—
,人力資源管理碩士在職專班,1,1,—,—
,管理學院高階企管碩士專班,1,1,—,—
,資訊管理學系博士班,0,1,—,—
,研究所合計,3,4,—,—
,合計,5,8,1,2
資電學院,電機工程學系,1,1,0,2
,資訊工程學系,0,0,2,1
,大學部合計,1,1,2,3
,,,,,
,資訊工程學系碩士班,0,1,—,—
,研究所合計,0,1,—,—
,合計,1,2,2,3
地科學院,大氣科學學系,2,1,0,0
,地球科學學系,0,1,0,0
,大學部合計,2,2,0,0
,太空科學研究所碩士班,0,1,—,—
,應用地質研究所碩士班,0,1,—,—
,大氣物理研究所博士班,0,1,—,—
,研究所合計,0,3,—,—
,合計,2,5,0,0
總         計  ：,,19,43,11,12
