國立中央大學九十二學年度第一學期全校退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
院別,系所別,各年級退學生人數,,,
,,一年級,二年級,三年級,四年級
文學院,中國文學系,0,0,1,1
,英美語文學系,0,0,1,0
,法國語文學系,0,1,0,1
,大學部合計,0,1,2,2
,法國語文學系碩士班,0,1,—,—
,哲學研究所碩士班,1,1,—,—
,哲學研究所碩士在職專班,0,4,—,—
,歷史研究所碩士班,1,0,—,—
,藝術學研究所碩士班,0,2,—,—
,哲學研究所博士班,0,1,—,—
,研究所合計,2,9,—,—
,合計,2,10,2,2
理學院,數學系,2,2,2,0
,物理學系,0,0,2,2
,化學學系,0,1,0,1
,生命科學系,2,1,2,0
,大學部合計,4,4,6,3
,物理學系碩士班,1,0,—,—
,化學學系碩士班,1,0,—,—
,光電科學研究所碩士班,1,0,—,—
,光電科學碩士在職專班,0,1,—,—
,天文研究所碩士班,1,0,—,—
,數學系博士班,0,2,—,—
,物理學系博士班,0,1,—,—
,光電科學研究所博士班,2,0,—,—
,研究所合計,6,4,—,—
,合計,10,8,6,3
工學院,土木工程學系,1,2,1,1
,機械工程學系,2,6,4,4
,化學工程與材料工程學系,2,0,1,1
,大學部合計,5,8,6,6
,土木工程學系碩士班,6,1,—,—
,機械工程學系碩士班,3,0,—,—
,土木工程學系博士班,0,1,—,—
,機械工程學系博士班,1,2,—,—
,化學工程與材料工程學系博士班,0,2,—,—
,環境工程研究所博士班,0,1,—,—
,研究所合計,10,7,—,—
,合計,15,15,6,6
管理學院,企業管理學系,3,0,1,0
,資訊管理學系,2,0,0,0
,經濟學系,0,2,1,1
,財務金融學系,0,1,1,0
,大學部合計,5,3,3,1
,企業管理學系碩士班,1,3,—,—
,企業管理學系碩士在職專班,0,1,—,—
,資訊管理學系碩士班,0,,—,—
,資訊管理學系碩士在職專班,1,0,—,—
,產業經濟研究所碩士班,0,0,—,—
,財務金融學系碩士班,1,1,—,—
,管理學院高階企管碩士專班,0,0,—,—
,企業管理學系博士班,1,0,—,—
,資訊管理學系博士班,1,2,—,—
,產業經濟研究所博士班,1,0,—,—
,研究所合計,6,7,—,—
,合計,11,10,3,1
資電學院,電機工程學系,1,2,0,0
,資訊工程學系,3,1,1,1
,大學部合計,4,3,1,1
,電機工程學系碩士班,1,0,—,—
,資訊工程學系碩士班,2,1,—,—
,資訊工程學系碩士在職專班,0,1,—,—
,通訊工程學系碩士班,2,0,—,—
,網路學習科技研究所碩士班,0,1,—,—
,電機工程學系博士班,1,0,—,—
,資訊工程學系博士班,1,1,—,—
,研究所合計,7,4,—,—
,合計,11,7,1,1
地科學院,大氣科學學系,0,0,0,0
,地球科學學系,0,0,1,0
,大學部合計,0,0,1,0
,地球物理研究所碩士班,0,2,—,—
,水文科學研究所碩士班,1,0,—,—
,水文科學研究所碩士班,,,,
,大氣物理研究所博士班,0,1,—,—
,研究所合計,1,2,—,—
,合計,1,2,1,0
總         計  ：,,50,52,19,13
