國立中央大學九十二學年度第二學期全校退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
院別,系所別,各年級退學生人數,,,
,,一年級,二年級,三年級,四年級
文學院,英美語文學系,0,0,0,1
,法國語文學系,0,1,0,0
,大學部總計,0,1,0,1
,中國文學系碩士班,1,0,,
,英美語文學系碩士班,0,4,,
,法國語文學系碩士班,0,0,,
,哲學研究所碩士班,0,3,,
,哲學研究所碩士在職專班,0,0,,
,歷史研究所碩士班,0,1,,
,藝術學研究所碩士班,0,1,,
,碩士班總計,1,9,,
,中國文學系博士班,0,1,,
,哲學研究所博士班,1,0,,
,博士班總計,1,1,,
,合計,2,11,0,1
理學院,數學系,0,3,0,0
,物理學系,0,1,0,0
,化學學系,0,0,0,0
,生命科學系,0,0,0,0
,大學部總計,0,4,0,0
,數學系碩士班,0,0,,
,物理學系碩士班,0,1,,
,化學學系碩士班,2,0,,
,統計研究所碩士班,1,0,,
,光電科學研究所碩士班,0,0,,
,光電科學碩士在職專班,0,0,,
,天文研究所碩士班,0,0,,
,碩士班總計,3,1,,
,數學系博士班,0,0,,
,物理學系博士班,0,2,,
,光電科學研究所博士班,0,0,,
,博士班總計,0,2,,
,合計,3,7,0,0
工學院,化學工程與材料工程學系,0,0,0,0
,土木工程學系,0,0,0,0
,機械工程學系,2,0,1,1
,大學部總計,2,0,1,1
,化學工程與材料工程學系碩士班,0,1,,
,土木工程學系碩士班,0,0,,
,機械工程學系碩士班,0,2,,
,環境工程研究所碩士班,0,2,,
,環境工程研究所碩士在職專班,1,0,,
,碩士班總計,1,5,,
,土木工程學系博士班,1,2,,
,機械工程學系博士班,0,2,,
,土木工程學系博士班,1,2,,
,化學工程與材料工程學系博士班,0,0,,
,環境工程研究所博士班,0,0,,
,博士班總計,1,4,,
,合計,4,9,1,1
管理學院,企業管理學系,2,1,0,0
,資訊管理學系,0,1,1,2
,經濟學系,0,0,0,0
,財務金融學系,1,0,0,0
,大學部總計,3,2,1,2
,企業管理學系碩士班,0,0,,
,企業管理學系碩士在職專班,0,1,,
,資訊管理學系碩士班,1,0,,
,資訊管理學系碩士在職專班,0,0,,
,產業經濟研究所碩士班,1,0,,
,財務金融學系碩士班,0,0,,
,財務金融學系碩士在職專班,1,0,,
,人力資源管理碩士在職專班,1,0,,
,管理學院高階企管碩士專班,1,0,,
,碩士班總計,5,1,,
,企業管理學系博士班,0,0,,
,資訊管理學系博士班,0,1,,
,財務金融學系博士班,1,0,,
,工業管理研究所博士班,0,0,,
,人力資源管理研究所博士班,0,0,,
,產業經濟研究所博士班,0,0,,
,博士班總計,1,1,,
,合計,9,4,1,2
資電學院,電機工程學系,1,0,0,1
,資訊工程學系,1,1,1,0
,大學部總計,2,1,1,1
,電機工程學系碩士班,0,0,,
,資訊工程學系碩士班,1,3,,
,資訊工程學系碩士在職專班,0,0,,
,通訊工程學系碩士班,0,0,,
,網路學習科技研究所碩士班,0,0,,
,碩士班總計,1,3,,
,電機工程學系博士班,0,3,,
,資訊工程學系博士班,0,1,,
,通訊工程學系博士班,1,0,,
,博士班總計,1,4,,
,合計,4,8,1,1
地科學院,大氣科學學系,0,0,0,1
,地球科學學系,1,2,0,0
,大學部總計,1,2,0,1
,大氣物理研究所碩士班,0,1,,
,應用地質研究所碩士班,0,1,,
,碩士班總計,0,2,,
,合計,1,4,0,1
